date,value
1980-01-01,33.1000
1981-01-01,34.7700
1982-01-01,36.6300
1983-01-01,48.1900
1984-01-01,53.6300
1985-01-01,37.8900
1986-01-01,43.7500
1987-01-01,47.8900
1988-01-01,84.9000
1989-01-01,102.9000
1990-01-01,65.7100
1991-01-01,65.7400
1992-01-01,83.9600
1993-01-01,80.2600
1994-01-01,39.5200
1995-01-01,36.5600
1996-01-01,44.1500
1997-01-01,46.4800
1998-01-01,59.8900
1999-01-01,73.9000
2000-01-01,65.6000
2001-01-01,70.1000
2002-01-01,78.8000
2003-01-01,73.8000
2004-01-01,70.1000
2005-01-01,68.6000
2006-01-01,65.8000
2007-01-01,64.1000
2008-01-01,62.3000
2009-01-01,65.5000
2010-01-01,63.0000
2011-01-01,61.2000
2012-01-01,62.2000
2013-01-01,60.2000
2014-01-01,62.3000
2015-01-01,72.6000
2016-01-01,78.3000
2017-01-01,83.6000
2018-01-01,85.6000
2019-01-01,87.7000
2020-01-01,98.9000
2021-01-01,98.4000
2022-01-01,98.8000
2023-01-01,100.1000
2024-01-01,101.0000
2025-01-01,101.4000
2026-01-01,101.7000
