date,value
2010-01-01,277100.6309
2010-04-01,280486.7976
2010-07-01,282997.2910
2010-10-01,286931.3866
2011-01-01,291000.5290
2011-04-01,293806.6253
2011-07-01,293184.3520
2011-10-01,295803.0160
2012-01-01,291691.6977
2012-04-01,296876.7854
2012-07-01,302078.6228
2012-10-01,301997.8715
2013-01-01,303600.6725
2013-04-01,308073.2718
2013-07-01,309381.0526
2013-10-01,309796.1475
2014-01-01,312516.8500
2014-04-01,307836.8938
2014-07-01,307687.2350
2014-10-01,309253.6677
2015-01-01,306889.8923
2015-04-01,299589.9010
2015-07-01,294664.6451
2015-10-01,292391.3123
2016-01-01,288073.1701
2016-04-01,289165.3691
2016-07-01,287428.9056
2016-10-01,287097.3476
2017-01-01,290238.7020
2017-04-01,292544.2676
2017-07-01,293163.3079
2017-10-01,294469.7629
2018-01-01,296630.8078
2018-04-01,296316.0564
2018-07-01,299011.7567
2018-10-01,297946.9918
2019-01-01,300665.3069
2019-04-01,301851.2856
2019-07-01,301520.6529
2019-10-01,302622.6885
2020-01-01,296397.8402
2020-04-01,269084.5799
2020-07-01,289706.5615
2020-10-01,298868.4622
