date,value
2013-01-01,102.1000
2013-02-01,99.6000
2013-03-01,101.2000
2013-04-01,102.9000
2013-05-01,102.5000
2013-06-01,103.2000
2013-07-01,102.4000
2013-08-01,102.9000
2013-09-01,103.6000
2013-10-01,102.4000
2013-11-01,103.0000
2013-12-01,99.0000
2014-01-01,100.6000
2014-02-01,101.3000
2014-03-01,101.1000
2014-04-01,100.1000
2014-05-01,98.8000
2014-06-01,96.2000
2014-07-01,98.3000
2014-08-01,99.2000
2014-09-01,99.4000
2014-10-01,99.7000
2014-11-01,98.6000
2014-12-01,95.5000
2015-01-01,96.0000
2015-02-01,95.4000
2015-03-01,95.0000
2015-04-01,93.0000
2015-05-01,92.2000
2015-06-01,91.3000
2015-07-01,89.5000
2015-08-01,90.3000
2015-09-01,88.2000
2015-10-01,88.0000
2015-11-01,86.4000
2015-12-01,84.8000
2016-01-01,86.0000
2016-02-01,84.9000
2016-03-01,85.5000
2016-04-01,85.4000
2016-05-01,85.8000
2016-06-01,84.8000
2016-07-01,85.5000
2016-08-01,83.5000
2016-09-01,84.3000
2016-10-01,83.3000
2016-11-01,84.0000
2016-12-01,85.5000
2017-01-01,86.4000
2017-02-01,87.5000
2017-03-01,85.7000
2017-04-01,85.9000
2017-05-01,86.3000
2017-06-01,87.0000
2017-07-01,87.2000
2017-08-01,86.9000
2017-09-01,87.3000
2017-10-01,87.9000
2017-11-01,88.4000
2017-12-01,91.3000
2018-01-01,89.0000
2018-02-01,88.7000
2018-03-01,89.7000
2018-04-01,90.2000
2018-05-01,80.4000
2018-06-01,90.5000
2018-07-01,89.8000
2018-08-01,88.8000
2018-09-01,86.4000
2018-10-01,87.3000
2018-11-01,87.3000
2018-12-01,87.9000
2019-01-01,87.0000
2019-02-01,87.7000
2019-03-01,87.2000
2019-04-01,87.5000
2019-05-01,87.7000
2019-06-01,86.9000
2019-07-01,85.6000
2019-08-01,86.7000
2019-09-01,86.8000
2019-10-01,88.3000
2019-11-01,86.7000
2019-12-01,86.0000
2020-01-01,86.7000
2020-02-01,87.8000
2020-03-01,80.9000
2020-04-01,64.9000
2020-05-01,70.3000
2020-06-01,76.9000
2020-07-01,83.4000
2020-08-01,86.1000
2020-09-01,88.3000
2020-10-01,89.2000
2020-11-01,90.0000
2020-12-01,90.6000
2021-01-01,90.9000
2021-02-01,90.0000
2021-03-01,87.8000
