date,value
2011-01-01,11.2500
2011-03-01,11.7500
2011-04-01,12.0000
2011-06-01,12.2500
2011-07-01,12.5000
2011-08-01,12.0000
2011-10-01,11.5000
2011-11-01,11.0000
2012-01-01,10.5000
2012-03-01,9.7500
2012-04-01,9.0000
2012-05-01,8.5000
2012-07-01,8.0000
2012-08-01,7.5000
2012-10-01,7.2500
2012-11-01,7.2500
2013-01-01,7.2500
2013-03-01,7.2500
2013-04-01,7.5000
2013-05-01,8.0000
2013-07-01,8.5000
2013-08-01,9.0000
2013-09-01,9.0000
2013-10-01,9.5000
2013-11-01,10.0000
2013-12-01,10.0000
2014-01-01,10.5000
2014-02-01,10.7500
2014-04-01,11.0000
2014-05-01,11.0000
2014-07-01,11.0000
2014-09-01,11.0000
2014-10-01,11.2500
2014-11-01,11.2500
2014-12-01,11.7500
2015-01-01,12.2500
2015-03-01,12.7500
2015-04-01,13.2500
2015-06-01,13.7500
2015-07-01,14.2500
2015-09-01,14.2500
2015-10-01,14.2500
2015-11-01,14.2500
2015-12-01,14.2500
2016-01-01,14.2500
2016-03-01,14.2500
2016-04-01,14.2500
2016-06-01,14.2500
2016-07-01,14.2500
2016-08-01,14.2500
2016-10-01,14.0000
2016-11-01,13.7500
2016-12-01,13.7500
2017-01-01,13.0000
2017-02-01,12.2500
2017-04-01,11.2500
2017-05-01,10.2500
2017-07-01,9.2500
2017-09-01,8.2500
2017-10-01,7.5000
2017-12-01,7.0000
2018-02-01,6.7500
2018-03-01,6.5000
2018-05-01,6.5000
2018-06-01,6.5000
2018-08-01,6.5000
2018-09-01,6.5000
2018-10-01,6.5000
2018-11-01,6.5000
2018-12-01,6.5000
2019-01-01,6.5000
2019-02-01,6.5000
2019-03-01,6.5000
2019-05-01,6.5000
2019-06-01,6.5000
2019-07-01,6.0000
2019-09-01,5.5000
2019-10-01,5.0000
2019-12-01,4.5000
2020-02-01,4.2500
2020-03-01,3.7500
2020-05-01,3.0000
2020-06-01,2.2500
2020-08-01,2.0000
2020-09-01,2.0000
2020-10-01,2.0000
2020-12-01,2.0000
2021-01-01,2.0000
2021-03-01,2.7500
2021-05-01,3.5000
