date,rate
2016/1/1,0.89 
2016/2/1,0.76 
2016/3/1,-0.64 
2016/4/1,0.14 
2016/5/1,0.47 
2016/6/1,0.01 
2016/7/1,0.17 
2016/8/1,0.45 
2016/9/1,0.90 
2016/10/1,0.76 
2016/11/1,0.07 
2016/12/1,0.13 
2017/1/1,-0.16 
2017/2/1,0.95 
2017/3/1,0.35 
2017/4/1,-0.75 
2017/5/1,0.57 
2017/6/1,1.12 
2017/7/1,1.40 
2017/8/1,0.21 
2017/9/1,-0.41 
2017/10/1,0.10 
2017/11/1,0.66 
2017/12/1,1.26 
2018/1/1,0.89 
2018/2/1,0.50 
2018/3/1,1.20 
2018/4/1,1.28 
2018/5/1,0.74 
2018/6/1,0.26 
2018/7/1,0.20 
2018/8/1,1.46 
2018/9/1,1.09 
2018/10/1,-0.43 
2018/11/1,-0.15 
2018/12/1,0.47 
2019/1/1,0.37 
2019/2/1,0.27 
2019/3/1,0.32 
2019/4/1,0.06 
2019/5/1,-0.06 
2019/6/1,0.44 
2019/7/1,0.61 
2019/8/1,0.93 
2019/9/1,1.38 
2019/10/1,0.73 
2019/11/1,1.19 
2019/12/1,2.38 
2020/1/1,1.21 
2020/2/1,0.84 
2020/3/1,3.30 
2020/4/1,6.30 
2020/5/1,7.93 
2020/6/1,5.55 
2020/7/1,4.56 
2020/8/1,4.20 
2020/9/1,1.33 
2020/10/1,2.84 
2020/11/1,0.75 
2020/12/1,-2.74 
2021/1/1,1.11 
2021/2/1,1.28 
2021/3/1,-0.97 
