date,value
2012-06-01,48.5000
2012-07-01,48.7000
2012-08-01,49.3000
2012-09-01,49.8000
2012-10-01,50.2000
2012-11-01,52.2000
2012-12-01,51.1000
2013-01-01,53.2000
2013-02-01,52.5000
2013-03-01,51.8000
2013-04-01,50.8000
2013-05-01,50.4000
2013-06-01,50.4000
2013-07-01,48.5000
2013-08-01,49.4000
2013-09-01,49.9000
2013-10-01,50.2000
2013-11-01,49.7000
2013-12-01,50.5000
2014-01-01,50.8000
2014-02-01,50.4000
2014-03-01,50.6000
2014-04-01,49.3000
2014-05-01,48.8000
2014-06-01,48.7000
2014-07-01,49.1000
2014-08-01,50.2000
2014-09-01,49.3000
2014-10-01,49.1000
2014-11-01,48.7000
2014-12-01,50.2000
2015-01-01,50.7000
2015-02-01,49.6000
2015-03-01,46.2000
2015-04-01,46.0000
2015-05-01,45.9000
2015-06-01,46.5000
2015-07-01,47.2000
2015-08-01,45.8000
2015-09-01,47.0000
2015-10-01,44.1000
2015-11-01,43.8000
2015-12-01,45.6000
2016-01-01,47.4000
2016-02-01,44.5000
2016-03-01,46.0000
2016-04-01,42.6000
2016-05-01,41.6000
2016-06-01,43.2000
2016-07-01,46.0000
2016-08-01,45.7000
2016-09-01,46.0000
2016-10-01,46.3000
2016-11-01,46.2000
2016-12-01,45.2000
2017-01-01,44.0000
2017-02-01,46.9000
2017-03-01,49.6000
2017-04-01,50.1000
2017-05-01,52.0000
2017-06-01,50.5000
2017-07-01,50.0000
2017-08-01,50.9000
2017-09-01,50.9000
2017-10-01,51.2000
2017-11-01,53.5000
2017-12-01,52.4000
2018-01-01,51.2000
2018-02-01,53.2000
2018-03-01,53.4000
2018-04-01,52.3000
2018-05-01,50.7000
2018-06-01,49.8000
2018-07-01,50.5000
2018-08-01,51.1000
2018-09-01,50.9000
2018-10-01,51.1000
2018-11-01,52.7000
2018-12-01,52.6000
2019-01-01,52.7000
2019-02-01,53.4000
2019-03-01,52.8000
2019-04-01,51.5000
2019-05-01,50.2000
2019-06-01,51.0000
2019-07-01,49.9000
2019-08-01,52.5000
2019-09-01,53.4000
2019-10-01,52.2000
2019-11-01,52.9000
2019-12-01,50.2000
2020-01-01,51.0000
2020-02-01,52.3000
2020-03-01,48.4000
2020-04-01,36.0000
2020-05-01,38.3000
2020-06-01,51.6000
2020-07-01,58.2000
2020-08-01,64.7000
2020-09-01,64.9000
2020-10-01,66.7000
2020-11-01,64.0000
2020-12-01,61.5000
2021-01-01,56.5000
2021-02-01,58.4000
2021-03-01,52.8000
2021-04-01,52.3000
