date,value
2016/1/1,40911.2
2016/2/1,41636.4
2016/3/1,47592.4
2016/4/1,52145.6
2016/5/1,50651.8
2016/6/1,50280.2
2016/7/1,54891
2016/8/1,57645
2016/9/1,58280.8
2016/10/1,62328.2
2016/11/1,62469.4
2016/12/1,60225
2017/1/1,63106.8
2017/2/1,66247.8
2017/3/1,65304.6
2017/4/1,64966.4
2017/5/1,63986.6
2017/6/1,62538.4
2017/7/1,64564.8
2017/8/1,69005.2
2017/9/1,73340.4
2017/10/1,74956
2017/11/1,72855.2
2017/12/1,74510.4
2018/1/1,81769
2018/2/1,84776.6
2018/3/1,85258.2
2018/4/1,85507.2
2018/5/1,80326.8
2018/6/1,74053.2
2018/7/1,76745.4
2018/8/1,77847.4
2018/9/1,77948.2
2018/10/1,84133.2
2018/11/1,88142.4
2018/12/1,88083.8
2019/1/1,93723.2
2019/2/1,96115.2
2019/3/1,95687.4
2019/4/1,95615.4
2019/5/1,95560
2019/6/1,99454.6
2019/7/1,102264
2019/8/1,100958.4
2019/9/1,103206
2019/10/1,105483.8
2019/11/1,107724
2019/12/1,113105.8
2020/1/1,115118.4
2020/2/1,107951.4
2020/3/1,84159
2020/4/1,77084.6
2020/5/1,83819
2020/6/1,92407.4
2020/7/1,100330.4
2020/8/1,100937.4
2020/9/1,97044.4
2020/10/1,95622.6
2020/11/1,103463
2020/12/1,115311.2
2021/1/1,118249.8
2021/2/1,113221.4
2021/3/1,113574.4
2021/4/1,118279.4
2021/5/1,120661.6
2021/5/14,121478.9063
