date,rate
2011/2/1,14.1
2011/3/1,14.8
2011/4/1,13.4
2011/5/1,13.3
2011/6/1,15.1
2011/7/1,14
2011/8/1,13.5
2011/9/1,13.8
2011/10/1,13.2
2011/11/1,12.4
2011/12/1,12.8
2012/2/1,11.4
2012/3/1,11.9
2012/4/1,9.3
2012/5/1,9.6
2012/6/1,9.5
2012/7/1,9.2
2012/8/1,8.9
2012/9/1,9.2
2012/10/1,9.6
2012/11/1,10.1
2012/12/1,10.3
2013/2/1,9.9
2013/3/1,8.9
2013/4/1,9.3
2013/5/1,9.2
2013/6/1,8.9
2013/7/1,9.7
2013/8/1,10.4
2013/9/1,10.2
2013/10/1,10.3
2013/11/1,10
2013/12/1,9.7
2014/2/1,8.6
2014/3/1,8.8
2014/4/1,8.7
2014/5/1,8.8
2014/6/1,9.2
2014/7/1,9
2014/8/1,6.9
2014/9/1,8
2014/10/1,7.7
2014/11/1,7.2
2014/12/1,7.9
2015/2/1,6.8
2015/3/1,5.6
2015/4/1,5.9
2015/5/1,6.1
2015/6/1,6.8
2015/7/1,6
2015/8/1,6.1
2015/9/1,5.7
2015/10/1,5.6
2015/11/1,6.2
2015/12/1,5.9
2016/2/1,5.4
2016/3/1,6.8
2016/4/1,6
2016/5/1,6
2016/6/1,6.2
2016/7/1,6
2016/8/1,6.3
2016/9/1,6.1
2016/10/1,6.1
2016/11/1,6.2
2016/12/1,6
2017/2/1,6.3
2017/3/1,7.6
2017/4/1,6.5
2017/5/1,6.5
2017/6/1,7.6
2017/7/1,6.4
2017/8/1,6
2017/9/1,6.6
2017/10/1,6.2
2017/11/1,6.1
2017/12/1,6.2
2018/2/1,7.2
2018/3/1,6
2018/4/1,7
2018/5/1,6.8
2018/6/1,6
2018/7/1,6
2018/8/1,6.1
2018/9/1,5.8
2018/10/1,5.9
2018/11/1,5.4
2018/12/1,5.7
2019/2/1,5.3
2019/3/1,8.5
2019/4/1,5.4
2019/5/1,5
2019/6/1,6.3
2019/7/1,4.8
2019/8/1,4.4
2019/9/1,5.8
2019/10/1,4.7
2019/11/1,6.2
2019/12/1,6.9
2020/2/1,-13.5
2020/3/1,-1.1
2020/4/1,3.9
2020/5/1,4.4
2020/6/1,4.8
2020/7/1,4.8
2020/8/1,5.6
2020/9/1,6.9
2020/10/1,6.9
2020/11/1,7
2020/12/1,7.3
2021/2/1,35.1
2021/3/1,14.1
