date,rate
2011/1/1,17.3072
2011/2/1,15.7307
2011/3/1,16.645
2011/4/1,15.3563
2011/5/1,15.0837
2011/6/1,15.8623
2011/7/1,14.6683
2011/8/1,13.5774
2011/9/1,13.0565
2011/10/1,16.7271
2011/11/1,16.2113
2011/12/1,17.323
2012/1/1,16.6258
2012/2/1,17.8012
2012/3/1,18.1281
2012/4/1,17.4574
2012/5/1,17.8986
2012/6/1,18.4639
2012/7/1,18.9086
2012/8/1,18.4468
2012/9/1,19.8478
2012/10/1,14.6389
2012/11/1,14.4566
2012/12/1,14.3916
2013/1/1,15.9166
2013/2/1,15.1561
2013/3/1,15.6653
2013/4/1,16.0687
2013/5/1,15.7903
2013/6/1,13.9907
2013/7/1,14.4863
2013/8/1,14.7435
2013/9/1,14.1668
2013/10/1,14.2927
2013/11/1,14.2274
2013/12/1,13.5889
2014/1/1,13.2434
2014/2/1,13.3347
2014/3/1,12.0508
2014/4/1,13.1965
2014/5/1,13.4461
2014/6/1,14.7177
2014/7/1,13.4989
2014/8/1,12.8379
2014/9/1,11.5718
2014/10/1,12.0528
2014/11/1,11.985
2014/12/1,11.0119
2015/1/1,10.6085
2015/2/1,11.0995
2015/3/1,9.8774
2015/4/1,9.5795
2015/5/1,10.5775
2015/6/1,10.2339
2015/7/1,13.3106
2015/8/1,13.3118
2015/9/1,13.1253
2015/10/1,13.4906
2015/11/1,13.6811
2015/12/1,13.3431
2016/1/1,13.9702
2016/2/1,13.3005
2016/3/1,13.3977
2016/4/1,12.8383
2016/5/1,11.8053
2016/6/1,11.78
2016/7/1,10.22
2016/8/1,11.35
2016/9/1,11.5
2016/10/1,11.64
2016/11/1,11.39
2016/12/1,11.33
2017/1/1,10.7
2017/2/1,10.4
2017/3/1,10.1
2017/4/1,9.8
2017/5/1,9.1
2017/6/1,9.1
2017/7/1,8.9
2017/8/1,8.6
2017/9/1,9
2017/10/1,8.9
2017/11/1,9.1
2017/12/1,8.1
2018/1/1,8.62
2018/2/1,8.8
2018/3/1,8.2
2018/4/1,8.3
2018/5/1,8.3
2018/6/1,8.3
2018/7/1,8.5
2018/8/1,8.2
2018/9/1,8.3
2018/10/1,8
2018/11/1,8
2018/12/1,8.1
2019/1/1,8.4
2019/2/1,8
2019/3/1,8.6
2019/4/1,8.5
2019/5/1,8.5
2019/6/1,8.5
2019/7/1,8.1
2019/8/1,8.2
2019/9/1,8.4
2019/10/1,8.4
2019/11/1,8.2
2019/12/1,8.7
2020/1/1,8.4
2020/2/1,8.8
2020/3/1,10.1
2020/4/1,11.1
2020/5/1,11.1
2020/6/1,11.1
2020/7/1,10.7
2020/8/1,10.4
2020/9/1,10.9
2020/10/1,10.5
2020/11/1,10.7
2020/12/1,10.1
2021/1/1,9.4
2021/2/1,10.1
2021/3/1,9.4
2021/4/1,8.1
