date,value
2011/1/4,307.04
2011/1/5,307.25
2011/1/6,306.59
2011/1/7,307.6
2011/1/10,306.14
2011/1/11,305.24
2011/1/12,307.83
2011/1/13,308.16
2011/1/14,306.55
2011/1/17,297.19
2011/1/18,295.63
2011/1/19,302.23
2011/1/20,296.87
2011/1/21,299.98
2011/1/24,298.66
2011/1/25,296.28
2011/1/26,299
2011/1/27,301.93
2011/1/28,304.63
2011/1/31,306.45
2011/2/1,306.58
2011/2/9,302.98
2011/2/10,306.49
2011/2/11,308.11
2011/2/14,311.7
2011/2/15,310.91
2011/2/16,313.35
2011/2/17,313.36
2011/2/18,313.71
2011/2/21,315.87
2011/2/22,309.27
2011/2/23,311.21
2011/2/24,312.35
2011/2/25,312.76
2011/2/28,315.14
2011/3/1,315.71
2011/3/2,314.93
2011/3/3,313.35
2011/3/4,317
2011/3/7,320.79
2011/3/8,321.05
2011/3/9,320.7
2011/3/10,319.74
2011/3/11,319.71
2011/3/14,320.15
2011/3/15,315.33
2011/3/16,316.81
2011/3/17,312.97
2011/3/18,315.65
2011/3/21,316.86
2011/3/22,318.56
2011/3/23,320.35
2011/3/24,320.67
2011/3/25,321.47
2011/3/28,321.95
2011/3/29,319.38
2011/3/30,318.52
2011/3/31,317.45
2011/4/1,320.24
2011/4/6,322.06
2011/4/7,323.97
2011/4/8,325.38
2011/4/11,325.43
2011/4/12,325.54
2011/4/13,327.86
2011/4/14,328.27
2011/4/15,326.87
2011/4/18,325.29
2011/4/19,325.2
2011/4/20,327.22
2011/4/21,328.83
2011/4/22,328.03
2011/4/25,322.27
2011/4/26,320.35
2011/4/27,303.26
2011/4/28,294.82
2011/4/29,303.36
2011/5/3,307.85
2011/5/4,301.58
2011/5/5,301.41
2011/5/6,301.11
2011/5/9,303.26
2011/5/10,304.25
2011/5/11,304.37
2011/5/12,300.36
2011/5/13,301.61
2011/5/16,300.08
2011/5/17,300.94
2011/5/18,302.48
2011/5/19,301.66
2011/5/20,299.97
2011/5/23,289.52
2011/5/24,291.56
2011/5/25,287.4
2011/5/26,286
2011/5/27,281.95
2011/5/30,278.25
2011/5/31,288.4
2011/6/1,289.58
2011/6/2,284.19
2011/6/3,286.51
2011/6/7,283.86
2011/6/8,278.95
2011/6/9,256.91
2011/6/10,249.91
2011/6/13,244.14
2011/6/14,251.95
2011/6/15,252.13
2011/6/16,247.6
2011/6/17,247.33
2011/6/20,248.3
2011/6/21,253.78
2011/6/22,258.4
2011/6/23,264.83
2011/6/24,267.04
2011/6/27,269.22
2011/6/28,271.13
2011/6/29,267.78
2011/6/30,271.31
2011/7/1,272.48
2011/7/4,280.03
2011/7/5,281.31
2011/7/6,282.97
2011/7/7,283.97
2011/7/8,285
2011/7/11,286.82
2011/7/12,277.94
2011/7/13,284.42
2011/7/14,286.71
2011/7/15,287.77
2011/7/18,286.58
2011/7/19,284.77
2011/7/20,286.68
2011/7/21,283.85
2011/7/22,285.55
2011/7/25,276.47
2011/7/26,278.46
2011/7/27,282.79
2011/7/28,282.48
2011/7/29,281.7
2011/8/1,282.29
2011/8/2,281.52
2011/8/3,281.64
2011/8/4,283.55
2011/8/5,275.27
2011/8/8,258.42
2011/8/9,258.63
2011/8/10,261.6
2011/8/11,262.74
2011/8/12,266.33
2011/8/15,268.46
2011/8/16,268.03
2011/8/17,266.32
2011/8/18,263.52
2011/8/19,261.04
2011/8/22,256.3
2011/8/23,258.4
2011/8/24,257.42
2011/8/25,263.43
2011/8/26,263.38
2011/8/29,260.12
2011/8/30,260.05
2011/8/31,260.64
2011/9/1,260.53
2011/9/2,257.96
2011/9/5,251.77
2011/9/6,251.8
2011/9/7,257.02
2011/9/8,256.37
2011/9/9,255.43
2011/9/13,252.18
2011/9/14,253.01
2011/9/15,252.17
2011/9/16,252.06
2011/9/19,247.98
2011/9/20,248.71
2011/9/21,255.94
2011/9/22,249.07
2011/9/23,247.31
2011/9/26,240.88
2011/9/27,242.6
2011/9/28,242.25
2011/9/29,239.74
2011/9/30,239.33
2011/10/10,237.09
2011/10/11,234.26
2011/10/12,241.62
2011/10/13,245.15
2011/10/14,244.09
2011/10/17,244.86
2011/10/18,239.3
2011/10/19,239.32
2011/10/20,234.47
2011/10/21,232.98
2011/10/24,239.15
2011/10/25,244.37
2011/10/26,246.59
2011/10/27,248.41
2011/10/28,253.59
2011/10/31,254.35
2011/11/1,253.27
2011/11/2,255.47
2011/11/3,256.76
2011/11/4,257.05
2011/11/7,254.3
2011/11/8,252.9
2011/11/9,255.84
2011/11/10,251.5
2011/11/11,252.48
2011/11/14,257.61
2011/11/15,258.67
2011/11/16,253.81
2011/11/17,253.51
2011/11/18,247.17
2011/11/21,246.48
2011/11/22,246.34
2011/11/23,244.18
2011/11/24,244.56
2011/11/25,242.93
2011/11/28,242.14
2011/11/29,244.11
2011/11/30,229.16
2011/12/1,230.61
2011/12/2,222.61
2011/12/5,217.06
2011/12/6,220.9
2011/12/7,222.35
2011/12/8,224.47
2011/12/9,223.59
2011/12/12,221
2011/12/13,213.4
2011/12/14,212.44
2011/12/15,208.4
2011/12/16,215.87
2011/12/19,215.42
2011/12/20,215.62
2011/12/21,213.05
2011/12/22,214.38
2011/12/23,216.2
2011/12/26,215.6
2011/12/27,211.11
2011/12/28,212.58
2011/12/29,212.71
2011/12/30,215.26
2012/1/4,212.09
2012/1/5,207.82
2012/1/6,208.73
2012/1/9,216.94
2012/1/10,222.69
2012/1/11,221.77
2012/1/12,220.49
2012/1/13,216.66
2012/1/16,213.71
2012/1/17,222.21
2012/1/18,221.14
2012/1/19,222.25
2012/1/20,223.23
2012/1/30,221.13
2012/1/31,221.79
2012/2/1,220.04
2012/2/2,223.26
2012/2/3,225.01
2012/2/6,225.73
2012/2/7,223.83
2012/2/8,227.43
2012/2/9,228.42
2012/2/10,229.54
2012/2/13,229.43
2012/2/14,229.43
2012/2/15,232.17
2012/2/16,231.9
2012/2/17,232.71
2012/2/20,233.31
2012/2/21,234.98
2012/2/22,238.02
2012/2/23,238.75
2012/2/24,243.3
2012/2/27,244.45
2012/2/28,243.06
2012/2/29,241.77
2012/3/1,241.25
2012/3/2,245.47
2012/3/5,245.43
2012/3/6,241.29
2012/3/7,239.18
2012/3/8,244.69
2012/3/9,246.99
2012/3/12,247.51
2012/3/13,249.01
2012/3/14,241.87
2012/3/15,240
2012/3/16,244.06
2012/3/19,245.47
2012/3/20,241.13
2012/3/21,242.09
2012/3/22,240.95
2012/3/23,235.53
2012/3/26,235.92
2012/3/27,236.1
2012/3/28,229.74
2012/3/29,229.69
2012/3/30,230.33
2012/4/5,235.47
2012/4/6,236.23
2012/4/9,233.67
2012/4/10,235.47
2012/4/11,239.23
2012/4/12,241
2012/4/13,241.8
2012/4/16,240.16
2012/4/17,237.42
2012/4/18,241.16
2012/4/19,240.75
2012/4/20,242.11
2012/4/23,247.86
2012/4/24,248.91
2012/4/25,249.67
2012/4/26,249.59
2012/4/27,248.37
2012/5/2,250.88
2012/5/3,249.89
2012/5/4,251.6
2012/5/7,251.08
2012/5/8,252.97
2012/5/9,249.09
2012/5/10,246.56
2012/5/11,245.75
2012/5/14,246.43
2012/5/15,244.91
2012/5/16,240.68
2012/5/17,244.72
2012/5/18,239.78
2012/5/21,238.56
2012/5/22,241.64
2012/5/23,240.29
2012/5/24,239.41
2012/5/25,236.83
2012/5/28,232.27
2012/5/29,237.27
2012/5/30,236.08
2012/5/31,237.22
2012/6/1,236.87
2012/6/4,230.13
2012/6/5,230.06
2012/6/6,229.18
