date,value
2000-01-01,47.3000
2001-01-01,48.3000
2002-01-01,51.6000
2003-01-01,49.8000
2004-01-01,46.8000
2005-01-01,41.9000
2006-01-01,37.3000
2007-01-01,35.7000
2008-01-01,33.7000
2009-01-01,38.7000
2010-01-01,37.5000
2011-01-01,36.8000
2012-01-01,36.7000
2013-01-01,37.9000
2014-01-01,39.9000
2015-01-01,43.1000
2016-01-01,47.8000
2017-01-01,50.0000
2018-01-01,51.8000
2019-01-01,54.1000
2020-01-01,63.3000
2021-01-01,64.0000
2022-01-01,66.0000
2023-01-01,67.7000
2024-01-01,69.2000
2025-01-01,70.3000
2026-01-01,71.2000
