date,value
1990-01-01,48.3500
1991-01-01,75.3000
1992-01-01,77.4000
1993-01-01,77.0000
1994-01-01,73.5000
1995-01-01,69.7000
1996-01-01,66.0000
1997-01-01,67.8000
1998-01-01,68.1000
1999-01-01,70.0000
2000-01-01,73.6000
2001-01-01,78.7000
2002-01-01,82.9000
2003-01-01,84.2000
2004-01-01,83.3000
2005-01-01,80.9000
2006-01-01,77.1000
2007-01-01,74.0000
2008-01-01,72.7000
2009-01-01,71.1000
2010-01-01,66.0000
2011-01-01,68.3000
2012-01-01,67.7000
2013-01-01,67.4000
2014-01-01,66.8000
2015-01-01,68.8000
2016-01-01,68.7000
2017-01-01,69.5000
2018-01-01,70.2000
2019-01-01,73.9000
2020-01-01,89.6000
2021-01-01,86.6000
2022-01-01,86.3000
2023-01-01,85.7000
2024-01-01,84.8000
2025-01-01,83.8000
2026-01-01,82.6000
