date,value
2012-04-01,99.3000
2012-05-01,105.0000
2012-06-01,102.3000
2012-07-01,101.5000
2012-08-01,99.9000
2012-09-01,99.0000
2012-10-01,103.7000
2012-11-01,98.3000
2012-12-01,107.1000
2013-01-01,107.2000
2013-02-01,101.4000
2013-03-01,115.2000
2013-04-01,102.6000
2013-05-01,106.0000
2013-06-01,101.3000
2013-07-01,104.7000
2013-08-01,104.3000
2013-09-01,105.7000
2013-10-01,105.7000
2013-11-01,101.9000
2013-12-01,110.9000
2014-01-01,112.3000
2014-02-01,106.7000
2014-03-01,118.5000
2014-04-01,106.6000
2014-05-01,111.0000
2014-06-01,109.7000
2014-07-01,110.4000
2014-08-01,108.0000
2014-09-01,110.2000
2014-10-01,106.0000
2014-11-01,109.4000
2014-12-01,115.3000
2015-01-01,114.3000
2015-02-01,109.9000
2015-03-01,121.3000
2015-04-01,107.3000
2015-05-01,113.0000
2015-06-01,110.8000
2015-07-01,111.8000
2015-08-01,112.0000
2015-09-01,112.6000
2015-10-01,115.5000
2015-11-01,110.3000
2015-12-01,118.9000
2016-01-01,118.9000
2016-02-01,117.8000
2016-03-01,127.6000
2016-04-01,113.7000
2016-05-01,121.3000
2016-06-01,119.7000
2016-07-01,116.8000
2016-08-01,116.5000
2016-09-01,118.2000
2016-10-01,120.3000
2016-11-01,115.9000
2016-12-01,121.7000
2017-01-01,123.1000
2017-02-01,119.2000
2017-03-01,133.2000
2017-04-01,117.3000
2017-05-01,124.8000
2017-06-01,119.3000
2017-07-01,118.0000
2017-08-01,122.1000
2017-09-01,123.1000
2017-10-01,122.5000
2017-11-01,125.8000
2017-12-01,130.6000
2018-01-01,132.3000
2018-02-01,127.4000
2018-03-01,140.3000
2018-04-01,122.6000
2018-05-01,129.6000
2018-06-01,127.7000
2018-07-01,125.7000
2018-08-01,128.0000
2018-09-01,128.8000
2018-10-01,132.8000
2018-11-01,126.1000
2018-12-01,133.9000
2019-01-01,134.4000
2019-02-01,127.6000
2019-03-01,144.1000
2019-04-01,126.5000
2019-05-01,135.4000
2019-06-01,129.3000
2019-07-01,131.8000
2019-08-01,126.2000
2019-09-01,122.9000
2019-10-01,124.0000
2019-11-01,128.8000
2019-12-01,134.5000
2020-01-01,137.4000
2020-02-01,134.2000
2020-03-01,117.2000
2020-04-01,54.0000
2020-05-01,90.2000
2020-06-01,107.9000
2020-07-01,117.9000
2020-08-01,117.2000
2020-09-01,124.1000
2020-10-01,129.6000
2020-11-01,126.7000
2020-12-01,137.4000
2021-01-01,136.2000
2021-02-01,129.6000
2021-03-01,143.4000
