date,value
2011/1/1,6.25
2011/2/1,6.31
2011/3/1,6.5
2011/4/1,6.62
2011/5/1,6.75
2011/6/1,7.227
2011/7/1,7.375
2011/8/1,7.595
2011/9/1,8
2011/10/1,8.125
2011/11/1,8.31
2011/12/1,8.5
2012/1/1,8.5
2012/2/1,8.5
2012/3/1,8.5
2012/4/1,8
2012/6/1,8
2012/7/1,8
2012/9/1,8
2012/10/1,8
2012/12/1,8
2013/1/1,7.75
2013/3/1,7.5
2013/5/1,7.25
2013/6/1,7.25
2013/7/1,7.25
2013/9/1,7.5
2013/10/1,7.75
2013/12/1,7.75
2014/1/1,8
2014/4/1,8
2014/6/1,8
2014/8/1,8
2014/9/1,8
2014/12/1,8
2015/1/1,7.75
2015/2/1,7.75
2015/3/1,7.5
2015/4/1,7.5
2015/6/1,7.25
2015/8/1,7.25
2015/9/1,6.75
2015/12/1,6.75
2016/2/1,6.75
2016/4/1,6.5
2016/6/1,6.5
2016/8/1,6.5
2016/10/1,6.25
2016/12/1,6.25
2017/2/1,6.25
2017/4/1,6.25
2017/6/1,6.25
2017/8/1,6
2017/10/1,6
2017/12/1,6
2018/2/1,6
2018/4/1,6
2018/6/1,6.25
2018/8/1,6.5
2018/10/1,6.5
2018/12/1,6.5
2019/2/1,6.25
2019/4/1,6
2019/6/1,5.75
2019/8/1,5.4
2019/10/1,5.15
2019/12/1,5.15
2020/2/1,5.15
2020/3/1,4.4
2020/5/1,4
2020/8/1,4
2020/10/1,4
2020/12/1,4
2021/2/1,4
2021/4/1,4
