date,value
2000/1/3,5375.11
2000/1/4,5491.01
2000/1/5,5357
2000/1/6,5421.53
2000/1/7,5414.48
2000/1/10,5518.39
2000/1/11,5296.3
2000/1/12,5491.2
2000/1/13,5444.82
2000/1/14,5471.27
2000/1/17,5404.07
2000/1/18,5464.51
2000/1/19,5478.24
2000/1/20,5355.8
2000/1/21,5423.05
2000/1/24,5458.06
2000/1/25,5367.79
2000/1/27,5369.1
2000/1/28,5335.8
2000/1/31,5205.29
2000/2/1,5215.54
2000/2/2,5304.92
2000/2/3,5340.19
2000/2/4,5313.59
2000/2/7,5474
2000/2/8,5610.56
2000/2/9,5649.1
2000/2/10,5789.04
2000/2/11,5933.56
2000/2/14,5924.31
2000/2/15,5803.19
2000/2/16,5725.5
2000/2/17,5835.15
2000/2/18,5721.65
2000/2/21,5876.89
2000/2/22,5883.33
2000/2/23,5642.46
2000/2/24,5810.17
2000/2/25,5623.08
2000/2/28,5740.69
2000/2/29,5446.98
2000/3/1,5642.12
2000/3/2,5528.31
2000/3/3,5378.27
2000/3/6,5520.69
2000/3/7,5589.85
2000/3/8,5511.42
2000/3/9,5328.79
2000/3/10,5301.78
2000/3/13,5129.22
2000/3/14,5175.71
2000/3/15,5249.76
2000/3/16,5102.41
2000/3/21,5133.24
2000/3/22,5201.87
2000/3/23,5115.02
2000/3/24,5141.42
2000/3/27,5146.3
2000/3/28,5156.12
2000/3/29,5102.46
2000/3/30,5041.08
2000/3/31,5001.28
2000/4/3,5052.94
2000/4/4,4691.46
2000/4/5,4757.06
2000/4/6,4866.73
2000/4/7,5219.2
2000/4/10,5442.86
2000/4/11,5541.54
2000/4/12,5426.82
2000/4/13,5172.13
2000/4/17,4880.71
2000/4/18,4745.47
2000/4/19,4665.81
2000/4/20,4657.42
2000/4/24,4511.05
2000/4/25,4533.99
2000/4/26,4792.95
2000/4/27,4679.63
2000/4/28,4657.55
2000/5/2,4372.22
2000/5/3,4335.29
2000/5/4,4553.92
2000/5/5,4693.88
2000/5/8,4463.4
2000/5/9,4578.49
2000/5/10,4458.4
2000/5/11,4251.36
2000/5/12,4107.14
2000/5/15,4212.53
2000/5/16,4230.13
2000/5/17,4234.23
2000/5/18,4192.44
2000/5/19,4068.65
2000/5/22,3920.18
2000/5/23,3943.54
2000/5/24,3933.65
2000/5/25,3999.03
2000/5/26,4084.71
