date,rate
2011/1/1,1.1
2011/4/1,-0.9
2011/7/1,-0.3
2011/10/1,0.2
2012/1/1,3
2012/4/1,2.8
2012/7/1,-0.1
2012/10/1,-0.1
2013/1/1,0
2013/4/1,1.8
2013/7/1,3
2013/10/1,3.1
2014/1/1,2.9
2014/4/1,-0.1
2014/7/1,-1.1
2014/10/1,-0.5
2015/1/1,0.3
2015/4/1,2.4
2015/7/1,2.2
2015/10/1,1.5
2016/1/1,1
2016/4/1,0.5
2016/7/1,0.5
2016/10/1,1
2017/1/1,1
2017/4/1,1.4
2017/7/1,2.1
2017/10/1,2.2
2018/1/1,1.4
2018/4/1,1.2
2018/7/1,-0.2
2018/10/1,-0.2
2019/1/1,0.3
2019/4/1,0.6
2019/7/1,1.3
2019/10/1,-1.1
2020/1/1,-2
2020/4/1,-10.3
2020/7/1,-5.8
2020/10/1,-1.4
