date,value
2011/1/1,103.9
2011/2/1,104.5
2011/3/1,87.3
2011/4/1,89.2
2011/5/1,95.3
2011/6/1,99.3
2011/7/1,100.5
2011/8/1,102.2
2011/9/1,101.3
2011/10/1,103.1
2011/11/1,100.9
2011/12/1,102.9
2012/1/1,103.3
2012/2/1,103.1
2012/3/1,102.9
2012/4/1,102.4
2012/5/1,100.6
2012/6/1,99.8
2012/7/1,99.3
2012/8/1,97.8
2012/9/1,95.7
2012/10/1,96
2012/11/1,95.1
2012/12/1,96.4
2013/1/1,94.8
2013/2/1,96.5
2013/3/1,97.7
2013/4/1,97.7
2013/5/1,99.3
2013/6/1,98.2
2013/7/1,99.8
2013/8/1,100
2013/9/1,101
2013/10/1,101.2
2013/11/1,101.8
2013/12/1,101.8
2014/1/1,103.8
2014/2/1,102.7
2014/3/1,104.2
2014/4/1,99.6
2014/5/1,101.9
2014/6/1,100.3
2014/7/1,100.1
2014/8/1,99.5
2014/9/1,100.7
2014/10/1,100.4
2014/11/1,100.4
2014/12/1,99.9
2015/1/1,102.9
2015/2/1,99.8
2015/3/1,99.3
2015/4/1,99.5
2015/5/1,99.5
2015/6/1,100.4
2015/7/1,100.3
2015/8/1,98.6
2015/9/1,100.6
2015/10/1,100.7
2015/11/1,99.9
2015/12/1,98.5
2016/1/1,100.1
2016/2/1,99.2
2016/3/1,99.7
2016/4/1,99.3
2016/5/1,98.5
2016/6/1,99.2
2016/7/1,99.8
2016/8/1,100.5
2016/9/1,100.7
2016/10/1,101
2016/11/1,102
2016/12/1,102
2017/1/1,100.9
2017/2/1,101.6
2017/3/1,101.5
2017/4/1,104.1
2017/5/1,102.3
2017/6/1,103.3
2017/7/1,102.5
2017/8/1,104
2017/9/1,103
2017/10/1,103.3
2017/11/1,104.2
2017/12/1,105.8
2018/1/1,101.4
2018/2/1,104
2018/3/1,105.1
2018/4/1,104.5
2018/5/1,104.8
2018/6/1,103.7
2018/7/1,103.8
2018/8/1,103.6
2018/9/1,103.5
2018/10/1,105.6
2018/11/1,104.6
2018/12/1,104.7
2019/1/1,102.3
2019/2/1,103.3
2019/3/1,102.8
2019/4/1,102.7
2019/5/1,104.2
2019/6/1,101.5
2019/7/1,102.2
2019/8/1,100.5
2019/9/1,102.4
2019/10/1,98.3
2019/11/1,97.7
2019/12/1,97.9
2020/1/1,99.1
2020/2/1,98.7
2020/3/1,96.2
2020/4/1,86.3
2020/5/1,77.2
2020/6/1,81
2020/7/1,86.6
2020/8/1,88.3
2020/9/1,91.6
2020/10/1,93.5
2020/11/1,94.2
2020/12/1,94
2021/1/1,96.9
2021/2/1,95.6
2021/3/1,97.7
