date,value
2016/5/1,6638970
2016/6/1,6640980
2016/7/1,6668590
2016/8/1,6664180
2016/9/1,6674930
2016/10/1,6732170
2016/11/1,6783620
2016/12/1,6898160
2017/1/1,6932560
2017/2/1,6918880
2017/3/1,6992800
2017/4/1,7108150
2017/5/1,7124270
2017/6/1,7129790
2017/7/1,7152340
2017/8/1,7142600
2017/9/1,7165680
2017/10/1,7216230
2017/11/1,7263330
2017/12/1,7345320
2018/1/1,7371750
2018/2/1,7336730
2018/3/1,7406615
2018/4/1,7545588
2018/5/1,7565323
2018/6/1,7593071
2018/7/1,7603904
2018/8/1,7591960
2018/9/1,7610156
2018/10/1,7639033
2018/11/1,7664868
2018/12/1,7742590
2019/1/1,7754561
2019/2/1,7730901
2019/3/1,7813490
2019/4/1,7979059
2019/5/1,8017252
2019/6/1,7980450
2019/7/1,7975764
2019/8/1,7975736
2019/9/1,7998484
2019/10/1,8028648
2019/11/1,8088389
2019/12/1,8186130
2020/1/1,8211344
2020/2/1,8196812
2020/3/1,8301434
2020/4/1,8544853
2020/5/1,8756381
2020/6/1,8964947
2020/7/1,9026208
2020/8/1,9095958
2020/9/1,9141075
2020/10/1,9158593
2020/11/1,9223914
2020/12/1,9319439
2021/1/1,9384814
2021/2/1,9393542
2021/3/1,9469233
2021/4/1,9663177
