date,value
2017/1/23,0.032
2017/4/17,0.008
2017/5/18,0.023
2017/9/15,0.015
2017/10/16,0.009
2017/11/16,0
2017/12/15,-0.036
2018/1/23,-0.015
2018/2/15,0.029
2018/3/19,0.015
2018/4/16,0.01
2018/5/18,0.013
2018/7/16,0.022
2018/8/15,0.039
2018/9/17,0.027
2018/10/15,0.021
2018/11/16,0.037
2018/12/17,0.024
2019/1/23,0.02
2019/2/15,0.011
2019/3/18,0.041
2019/4/15,0.012
2019/5/22,0.049
2019/6/18,0.009
2019/7/15,0
2019/9/16,0.029
2020/12/15,-0.026
2016/10/17,-0.008
2016/11/16,-0.002
2016/11/16,-0.002
2016/12/15,0.027
2016/5/19,0.005
2016/7/15,0.017
2016/8/15,-0.003
2016/9/15,0.007
2017/2/20,0.023
2017/3/17,-0.027
2017/6/16,0.056
2017/7/17,0.035
2017/8/15,0.011
2018/6/18,0.037
2019/10/16,0.03
2019/11/18,0.026
2019/12/16,0.003
2019/7/16,0.033
2019/8/15,0.028
2020/10/15,-0.05
2020/11/17,-0.059
2020/1/23,0.021
2020/2/17,0.011
2020/3/17,0.033
2020/4/22,0.003
2020/4/22,0.003
2020/5/21,-0.066
2020/6/16,-0.096
2020/7/16,-0.094
2020/8/17,-0.08
2020/9/15,-0.072
2021/1/25,-0.002
2021/2/15,-0.025
2021/3/16,-0.037
2021/4/15,0.011
