date,value
2003-06-01,6.5000
2003-07-01,6.5000
2003-08-01,6.5000
2003-09-01,6.5000
2003-10-01,6.5000
2003-11-01,6.5000
2003-12-01,6.5000
2004-01-01,6.5000
2004-02-01,6.5000
2004-03-01,6.5000
2004-04-01,6.5000
2004-05-01,6.5000
2004-06-01,6.5000
2004-07-01,6.5000
2004-08-01,6.5000
2004-09-01,6.5000
2004-10-01,6.5000
2004-11-01,6.5000
2004-12-01,6.5000
2005-01-01,6.5000
2005-02-01,6.5000
2005-03-01,6.5000
2005-04-01,6.5000
2005-05-01,6.5000
2005-06-01,6.5000
2005-07-01,6.5000
2005-08-01,6.5000
2005-09-01,6.5000
2005-10-01,6.5000
2005-11-01,6.5000
2005-12-01,6.5000
2006-01-01,6.5000
2006-02-01,6.5000
2006-03-01,6.5000
2006-04-01,6.5000
2006-05-01,6.5000
2006-06-01,6.5000
2006-07-01,6.5000
2006-08-01,6.5000
2006-09-01,6.5000
2006-10-01,6.5000
2006-11-01,6.5000
2006-12-01,6.5000
2007-01-01,6.5000
2007-02-01,6.5000
2007-03-01,6.5000
2007-04-01,6.5000
2007-05-01,6.5000
2007-06-01,6.5000
2007-07-01,6.5000
2007-08-01,6.5000
2007-09-01,6.5000
2007-10-01,6.5000
2007-11-01,6.5000
2007-12-01,6.5000
2008-01-01,6.5000
2008-02-01,6.5000
2008-03-01,6.7500
2008-04-01,6.7500
2008-05-01,7.0000
2008-06-01,7.0000
2008-07-01,7.2500
2008-08-01,7.5000
2008-09-01,7.5000
2008-10-01,7.5000
2008-11-01,7.5000
2008-12-01,8.5000
2009-01-01,9.5000
2009-02-01,9.5000
2009-03-01,10.5000
2009-04-01,10.5000
2009-05-01,10.0000
2009-06-01,9.5000
2009-07-01,9.0000
2009-08-01,8.5000
2009-09-01,8.2500
2009-10-01,7.2500
2009-11-01,6.7500
2009-12-01,6.2500
2010-01-01,6.0000
2010-02-01,6.0000
2010-03-01,5.7500
2010-04-01,5.5000
2010-05-01,5.2500
2010-06-01,5.2500
2010-07-01,5.0000
2010-08-01,5.0000
2010-09-01,5.0000
2010-10-01,5.0000
2010-11-01,5.0000
2010-12-01,5.0000
2011-01-01,5.0000
2011-02-01,5.0000
2011-03-01,5.2500
2011-04-01,5.2500
2011-05-01,8.2500
2011-06-01,8.2500
2011-07-01,8.2500
2011-08-01,8.2500
2011-09-01,8.2500
2011-10-01,8.2500
2011-11-01,8.2500
2011-12-01,8.0000
2012-02-01,8.0000
2012-03-01,8.0000
2012-04-01,8.0000
2012-05-01,8.0000
2012-06-01,8.0000
2012-07-01,8.0000
2012-08-01,8.0000
2012-09-01,8.2500
2012-10-01,8.2500
2012-11-01,8.2500
2012-12-01,8.2500
2013-01-01,8.2500
2013-02-01,8.2500
2013-03-01,8.2500
2013-04-01,8.2500
2013-05-01,8.2500
2013-06-01,8.2500
2013-07-01,8.2500
2013-08-01,8.2500
2013-09-01,8.2500
2013-10-01,5.5000
2013-11-01,5.5000
2013-12-01,5.5000
2014-02-01,5.5000
2014-03-01,7.0000
2014-04-01,7.5000
2014-06-01,7.5000
2014-07-01,8.0000
2014-09-01,8.0000
2014-10-01,9.5000
2014-12-01,17.0000
2015-01-01,15.0000
2015-03-01,14.0000
2015-04-01,12.5000
2015-06-01,11.5000
2015-07-01,11.0000
2015-09-01,11.0000
2015-10-01,11.0000
2015-12-01,11.0000
2016-01-01,11.0000
2016-03-01,11.0000
2016-04-01,11.0000
2016-06-01,10.5000
2016-07-01,10.5000
2016-09-01,10.0000
2016-10-01,10.0000
2016-12-01,10.0000
2017-02-01,10.0000
2017-03-01,9.7500
2017-04-01,9.2500
2017-06-01,9.0000
2017-07-01,9.0000
2017-09-01,8.5000
2017-10-01,8.2500
2017-12-01,7.7500
2018-02-01,7.5000
2018-03-01,7.2500
2018-04-01,7.2500
2018-06-01,7.2500
2018-07-01,7.2500
2018-09-01,7.5000
2018-10-01,7.5000
2018-12-01,7.7500
2019-02-01,7.7500
2019-03-01,7.7500
2019-04-01,7.7500
2019-06-01,7.5000
2019-07-01,7.2500
2019-09-01,7.0000
2019-10-01,6.5000
2019-12-01,6.2500
2020-02-01,6.0000
2020-03-01,6.0000
2020-04-01,5.5000
2020-06-01,4.5000
2020-07-01,4.2500
2020-09-01,4.2500
2020-10-01,4.2500
2020-12-01,4.2500
2021-02-01,4.2500
2021-03-01,4.5000
2021-04-01,5.0000
