date,value
2010/1/1,1.93
2010/4/1,1.93
2010/7/1,1.96
2010/10/1,2.04
2011/1/1,2.07
2011/4/1,2.13
2011/7/1,2.21
2011/10/1,2.23
2012/1/1,2.23
2012/4/1,2.24
2012/7/1,2.25
2012/10/1,2.25
2013/1/1,2.23
2013/4/1,2.22
2013/7/1,2.23
2013/10/1,2.22
2014/1/1,2.19
2014/4/1,2.2
2014/7/1,2.21
2014/10/1,2.22
2015/1/1,2.2
2015/4/1,2.21
2015/7/1,2.23
2015/10/1,2.18
2016/1/1,2.09
2016/4/1,2.02
2016/7/1,1.97
2016/10/1,1.94
2017/1/1,1.92
2017/4/1,1.92
2017/7/1,1.93
2017/10/1,1.92
2018/1/1,1.91
2018/4/1,1.9
2018/7/1,1.9
2018/10/1,1.9
2019/1/1,1.88
2019/4/1,1.88
2019/7/1,1.87
2019/10/1,1.87
2020/1/1,1.85
2020/4/1,1.66
2020/7/1,1.61
2020/10/1,1.62
