date,value,rate
2010/1/1,10534688,24.18007
2010/2/1,10598494,24.225
2010/3/1,10526869,19.033
2010/4/1,10638346,17.38354
2010/5/1,10529656,13.13995
2010/6/1,10644739,12.84312
2010/7/1,10784598,12.2891
2010/8/1,10933147,12.25204
2010/9/1,10992267,11.78748
2010/10/1,11050836,8.83668
2010/11/1,11157523,8.78694
2010/12/1,11457126,8.99522
2011/1/1,11691068,10.97688
2011/2/1,11556019,9.03454
2011/3/1,11483651,9.08895
2011/4/1,11452961,7.65735
2011/5/1,11374651,8.02491
2011/6/1,11430835,7.38483
2011/7/1,11578068,7.35744
2011/8/1,11676706,6.80096
2011/9/1,11598677,5.5167
2011/10/1,11565478,4.65704
2011/11/1,11591262,3.88741
2011/12/1,11830216,3.2564
2012/1/1,12015522,2.77523
2012/2/1,11935385,3.28284
2012/3/1,11897189,3.6011
2012/4/1,11839640,3.37624
2012/5/1,11809260,3.82086
2012/6/1,11819696,3.40186
2012/7/1,11922069,2.97114
2012/8/1,12044104,3.14642
2012/9/1,12060808,3.98434
2012/10/1,12011990,3.86073
2012/11/1,12068464,4.11691
2012/12/1,12418380,4.97171
2013/1/1,12551467,4.46044
2013/2/1,12631180,5.82968
2013/3/1,12653789,6.35949
2013/4/1,12608421,6.49328
2013/5/1,12698529,7.53027
2013/6/1,12830939,8.55558
2013/7/1,12963470,8.73507
2013/8/1,13050711,8.35767
2013/9/1,13008673,7.85905
2013/10/1,13065362,8.76934
2013/11/1,13112595,8.65173
2013/12/1,13470752,8.47431
2014/1/1,13794239,9.90141
2014/2/1,13683843,8.33385
2014/3/1,13710392,8.35009
2014/4/1,13742210,8.99232
2014/5/1,13649535,7.4891
2014/6/1,13716369,6.90074
2014/7/1,13911830,7.31563
2014/8/1,14013529,7.37751
2014/9/1,13927034,7.05961
2014/10/1,13916649,6.5156
2014/11/1,14023443,6.94636
2014/12/1,14310086,6.23079
2015/1/1,14365084,4.13829
2015/2/1,14621377,6.85139
2015/3/1,14492155,5.70197
2015/4/1,14561315,5.9605
2015/5/1,14532613,6.46966
2015/6/1,14549096,6.07105
2015/7/1,14647622,5.28897
2015/8/1,14894793,6.28867
2015/9/1,14884055,6.87168
2015/10/1,14912565,7.15629
2015/11/1,14944240,6.56613
2015/12/1,15292587,6.86579
2016/1/1,15382248,7.08081
2016/2/1,15436863,5.57735
2016/3/1,15382278,6.1421
2016/4/1,15466305,6.21503
2016/5/1,15364365,5.72335
2016/6/1,15408539,5.90719
2016/7/1,15574051,6.32477
2016/8/1,15861065,6.48731
2016/9/1,15764355,5.91438
2016/10/1,15886214,6.52905
2016/11/1,15835111,5.9613
2016/12/1,16177676,5.7877
2017/1/1,16323992,6.12228
2017/2/1,16159000,4.678
2017/3/1,16059773,4.40439
2017/4/1,16036832,3.68884
2017/5/1,16056813,4.50684
2017/6/1,16159155,4.87143
2017/7/1,16325635,4.82587
2017/8/1,16607503,4.7061
2017/9/1,16481035,4.54621
2017/10/1,16588703,4.422
2017/11/1,16552342,4.52937
2017/12/1,16741423,3.48472
2018/1/1,16851693,3.23267
2018/2/1,17056346,5.55323
2018/3/1,16910317,5.29611
2018/4/1,16987502,5.92804
2018/5/1,16986357,5.78909
2018/6/1,17035655,5.42417
2018/7/1,17305812,6.00391
2018/8/1,17420433,4.89496
2018/9/1,17378767,5.44706
2018/10/1,17420690,5.01538
2018/11/1,17452012,5.4353
2018/12/1,17715986,5.82127
2019/1/1,18043704,7.07354
2019/2/1,18074220,5.96771
2019/3/1,18187736,7.55408
2019/4/1,18280527,7.61163
2019/5/1,18192700,7.10183
2019/6/1,18376562,7.87118
2019/7/1,18573478,7.32509
2019/8/1,18739242,7.57047
2019/9/1,18711112,7.66651
2019/10/1,18677281,7.21321
2019/11/1,18826260,7.87444
2019/12/1,19060625,7.58998
2020/1/1,19348695,7.23239
2020/2/1,19417498,7.43201
2020/3/1,19533890,7.40144
2020/4/1,19648587,7.4837
2020/5/1,19914630,9.46495
2020/6/1,20156220,9.68439
2020/7/1,20567806,10.7375
2020/8/1,20863604,11.33644
2020/9/1,20917952,11.79427
2020/10/1,21186840,13.43643
2020/11/1,21644538,14.96993
2020/12/1,22280335,16.89194
2021/1/1,22742486,17.54015
2021/2/1,22976917,18.33099
2021/3/1,22998611,17.73697
