date,value
2012/7/1,47.1
2012/8/1,48.2
2012/9/1,49.9
2012/10/1,49.3
2012/11/1,51.7
2012/12/1,55
2013/1/1,55.9
2013/2/1,54.5
2013/3/1,52.9
2013/4/1,53
2013/5/1,53
2013/6/1,52.8
2013/7/1,52.8
2013/8/1,53.3
2013/9/1,54.5
2013/10/1,53.8
2013/11/1,54.5
2013/12/1,54
2014/1/1,53.8
2014/2/1,56
2014/3/1,56.2
2014/4/1,56.5
2014/5/1,56.4
2014/6/1,57.2
2014/7/1,58.5
2014/8/1,56
2014/9/1,54
2014/10/1,53.3
2014/11/1,52.8
2014/12/1,52.5
2015/1/1,53.4
2015/2/1,53.7
2015/3/1,51.5
2015/4/1,49.8
2015/5/1,48.8
2015/6/1,48.6
2015/7/1,48.3
2015/8/1,47
2015/9/1,46.8
2015/10/1,47.6
2015/11/1,48.2
2015/12/1,48.7
2016/1/1,49.6
2016/2/1,48.3
2016/3/1,47.1
2016/4/1,50.8
2016/5/1,52.3
2016/6/1,52.4
2016/7/1,53.8
2016/8/1,55.5
2016/9/1,56.5
2016/10/1,57.5
2016/11/1,59.1
2016/12/1,55.9
2017/1/1,53.1
2017/2/1,63.7
2017/3/1,61
2017/4/1,58.4
2017/5/1,56.3
2017/6/1,54.8
2017/7/1,60
2017/8/1,58.9
2017/9/1,59
2017/10/1,58.9
2017/11/1,60.1
2017/12/1,60.2
2018/1/1,59.7
2018/2/1,58.7
2018/3/1,56.1
2018/4/1,56.5
2018/5/1,56.2
2018/6/1,55.8
2018/7/1,55.3
2018/8/1,54.9
2018/9/1,54.6
2018/10/1,51.2
2018/11/1,46.7
2018/12/1,46.5
2019/1/1,46.1
2019/2/1,47.4
2019/3/1,49.1
2019/4/1,51.7
2019/5/1,48.2
2019/6/1,48.1
2019/7/1,48
2019/8/1,48.2
2019/9/1,50
2019/10/1,51.1
2019/11/1,54.9
2019/12/1,56.2
2020/1/1,51.3
2020/2/1,52.7
2020/3/1,53.1
2020/4/1,47.6
2020/5/1,44.8
2020/6/1,47.2
2020/7/1,54.1
2020/8/1,56
2020/9/1,57.7
2020/10/1,59.3
2020/11/1,61.2
2020/12/1,61.3
2021/1/1,65.1
2021/2/1,63.2
2021/3/1,62.7
2021/4/1,68.7
