date,value
2016/5/16,8053.160352
2016/5/17,8112.268359
2016/5/18,8131.17832
2016/5/19,8117.232324
2016/5/20,8123.562207
2016/5/23,8263.182227
2016/5/24,8316.722266
2016/5/25,8383.066016
2016/5/26,8395.290039
2016/5/27,8444.398242
2016/5/30,8514.77832
2016/5/31,8527.600196
2016/6/1,8565.626172
2016/6/2,8579.811914
2016/6/3,8580.140039
2016/6/4,#DIV/0!
2016/6/6,8604.230274
2016/6/7,8659.236328
2016/6/8,8716.202344
2016/6/13,8572.223437
2016/6/14,8549.293359
2016/6/15,8582.399414
2016/6/16,8526.593359
2016/6/17,8563.973633
2016/6/20,8622.209375
2016/6/21,8663.029297
2016/6/22,8695.379492
2016/6/23,8686.683398
2016/6/24,8540.811523
2016/6/27,8435.789453
2016/6/28,8470.257227
2016/6/29,8568.61543
2016/6/30,8639.791406
2016/7/1,8721.019726
2016/7/4,8748.793555
2016/7/5,8722.271484
2016/7/6,8613.539648
2016/7/7,8629.253516
2016/7/8,8629.253516
2016/7/11,8765.0375
2016/7/12,8822.679492
2016/7/13,8845.623438
2016/7/14,8853.207422
2016/7/15,8912.767188
2016/7/18,8985.967383
2016/7/19,9019.245312
2016/7/20,9006.43711
2016/7/21,9041.800976
2016/7/22,9029.165234
2016/7/25,9003.129297
2016/7/26,9003.677344
2016/7/27,9062.399219
2016/7/28,9062.099219
2016/7/29,9018.219336
2016/8/1,9051.919336
2016/8/2,9071.539063
2016/8/3,8997.31543
2016/8/4,9013.251172
2016/8/5,9066.985352
2016/8/8,9136.399219
2016/8/9,9152.023242
2016/8/10,9178.763281
2016/8/11,9136.667187
2016/8/12,9149.033008
2016/8/15,9145.729102
2016/8/16,9122.94336
2016/8/17,9112.58125
2016/8/18,9114.435156
2016/8/19,9083.523047
2016/8/22,8981.866992
2016/8/23,9016.395118
2016/8/24,9029.805078
2016/8/25,9082.441016
2016/8/26,9116.849024
2016/8/29,9100.325195
2016/8/30,9112.537109
2016/8/31,9087.027344
2016/9/1,9021.47168
2016/9/2,8997.601367
2016/9/5,9069.011328
2016/9/6,9149.393164
2016/9/7,9240.29375
2016/9/8,9253.235351
2016/9/9,9181.323438
2016/9/10,#DIV/0!
2016/9/12,8980.837109
2016/9/13,8953.179492
2016/9/14,8915.773438
2016/9/19,9093.589453
2016/9/20,9153.743555
2016/9/21,9192.113477
2016/9/22,9246.791406
2016/9/23,9264.551562
2016/9/26,9207.439258
2016/9/27,#DIV/0!
2016/9/28,#DIV/0!
2016/9/29,9265.003711
2016/9/30,9195.1375
2016/10/3,9231.373437
2016/10/4,9263.28125
2016/10/5,9265.155664
2016/10/6,9271.829297
2016/10/7,9272.055273
2016/10/11,9249.369531
2016/10/12,9226.401367
2016/10/13,9235.875391
2016/10/14,9179.017383
2016/10/17,9152.151367
2016/10/18,9200.039649
2016/10/19,9264.255664
2016/10/20,9306.799609
2016/10/21,9315.25957
2016/10/24,9326.205664
2016/10/25,9368.829492
2016/10/26,9358.345508
2016/10/27,9324.033594
2016/10/28,9303.699414
2016/10/31,9274.449609
2016/11/1,9268.725586
2016/11/2,9175.513672
2016/11/3,9096.455273
2016/11/4,9069.697656
2016/11/7,9155.455274
2016/11/8,9208.999414
2016/11/9,9072.423437
2016/11/10,9124.961133
2016/11/11,9000.0375
2016/11/14,8941.537695
2016/11/15,8938.875586
2016/11/16,8973.651172
2016/11/17,8981.921485
2016/11/18,8998.653516
2016/11/21,9025.629688
2016/11/22,9109.023437
2016/11/23,9170.521485
2016/11/24,9157.953516
2016/11/25,9161.489453
2016/11/28,9204.133594
2016/11/29,9209.428516
2016/11/30,9221.566602
2016/12/1,9258.66875
2016/12/2,9194.798633
2016/12/5,9173.320703
2016/12/6,9240.356445
2016/12/7,9270.838477
2016/12/8,9349.184961
2016/12/9,9386.906641
2016/12/12,9373.742774
2016/12/13,9370.188281
2016/12/14,9379.802344
2016/12/15,9347.64043
2016/12/16,9342.470703
2016/12/19,9269.94082
2016/12/20,9234.616797
2016/12/21,9222.242578
2016/12/22,9154.050586
2016/12/23,9095.414453
2016/12/26,9104.216797
2016/12/27,9114.458398
2016/12/28,9169.63086
2016/12/29,9164.748437
2016/12/30,9227.736524
2017/1/3,9261.582617
2017/1/4,9283.816601
2017/1/5,9327.94043
2017/1/6,9369.640625
2017/1/9,9358.88086
2017/1/10,9343.302539
2017/1/11,9355.826758
2017/1/12,9392.63457
2017/1/13,9374.222656
2017/1/16,9316.282617
2017/1/17,9332.044727
2017/1/18,9340.412695
2017/1/19,9317.248633
2017/1/20,9331.480664
2017/1/23,9400.574609
2017/1/24,9440.668555
2017/2/2,9459.058399
2017/2/3,9452.622266
2017/2/6,9512.006446
2017/2/7,9540.97832
2017/2/8,9539.424609
2017/2/9,9575.294336
2017/2/10,9648.932617
2017/2/13,9700.710547
2017/2/14,9724.51875
2017/2/15,9772.132617
2017/2/16,9798.426562
2017/2/17,9768.960547
2017/2/18,#DIV/0!
2017/2/20,9772.540625
2017/2/21,9757.194531
2017/2/22,9786.794727
2017/2/23,9774.438476
2017/2/24,9756.634375
2017/3/1,9706.846875
2017/3/2,9706.426367
2017/3/3,9656.47461
2017/3/6,9669.550586
2017/3/7,9718.932813
2017/3/8,9747.428711
2017/3/9,9690.272852
2017/3/10,9625.792578
2017/3/13,9681.026367
2017/3/14,9739.426758
2017/3/15,9737.098437
2017/3/16,9811.104492
2017/3/17,9881.432813
2017/3/20,9903.454297
2017/3/21,9952.630664
2017/3/22,9904.600781
2017/3/23,9925.226758
2017/3/24,9909.012695
2017/3/27,9887.702343
2017/3/28,9877.260742
2017/3/29,9867.576563
2017/3/30,9856.104883
2017/3/31,9830.116406
2017/4/5,9912.263086
2017/4/6,9913.752539
2017/4/7,9865.822656
2017/4/10,9880.60664
2017/4/11,9852.672656
2017/4/12,9818.738477
2017/4/13,9830.286524
2017/4/14,9762.254688
2017/4/17,9721.236719
2017/4/18,9745.44043
2017/4/19,9672.458594
2017/4/20,9638.358789
2017/4/21,9693.54668
2017/4/24,9727.092773
2017/4/25,9800.152735
2017/4/26,9853.070703
2017/4/27,9853.610547
2017/4/28,9871.050586
2017/5/2,9937.172461
2017/5/3,9957.234765
2017/5/4,9962.145898
2017/5/5,9923.150391
2017/5/8,9934.71211
2017/5/9,9939.798242
2017/5/10,9955.202149
2017/5/11,9990.91211
2017/5/12,9985.006055
2017/5/15,10013.4043
2017/5/16,10030.04609
2017/5/17,10008.90996
2017/5/18,9951.328125
2017/5/19,9958.502148
2017/5/22,9983.559961
2017/5/23,10008.22793
2017/5/24,10035.37617
2017/5/25,10088.91621
2017/5/26,10097.75996
2017/5/31,10063.87988
2017/6/1,10079.91602
2017/6/2,10138.48203
2017/6/3,#DIV/0!
2017/6/5,10202.05977
2017/6/6,10207.51172
2017/6/7,10212.33203
2017/6/8,10222.83809
2017/6/9,10221.0041
2017/6/12,10125.11191
2017/6/13,10124.47422
2017/6/14,10097.25586
2017/6/15,10078.3418
2017/6/16,10124.94824
2017/6/19,10215.24766
2017/6/20,10315.37402
2017/6/21,10332.9959
2017/6/22,10387.89785
2017/6/23,10391.05996
2017/6/26,10445.12012
2017/6/27,10514.38379
2017/6/28,10416.4498
2017/6/29,10430.57813
2017/6/30,10376.46211
2017/7/3,10394.17207
2017/7/4,10372.59805
2017/7/5,10374.3
2017/7/6,10366.91621
2017/7/7,10315.15801
2017/7/10,10301.12422
2017/7/11,10374.57422
2017/7/12,10416.54785
2017/7/13,10448.6123
2017/7/14,10445.69609
2017/7/17,10461.7418
2017/7/18,10464.21973
2017/7/19,10499.04766
2017/7/20,10505.98008
2017/7/21,10449.62988
2017/7/24,10443.35605
2017/7/25,10459.6541
2017/7/26,10446.41035
2017/7/27,10477.72617
2017/7/28,10443.59395
2017/7/31,10408.98398
2017/8/1,10432.33418
2017/8/2,10503.26563
2017/8/3,10462.03984
2017/8/4,10492.20586
2017/8/7,10558.89004
2017/8/8,10577.93379
2017/8/9,10491.5959
2017/8/10,10382.1541
2017/8/11,10300.55
2017/8/14,10277.74414
2017/8/15,10300.12012
2017/8/16,10290.3418
2017/8/17,10343.24609
2017/8/18,10311.54199
2017/8/21,10317.5918
2017/8/22,10380.27012
2017/8/23,10413.77188
2017/8/24,10458.4541
2017/8/25,10505.48789
2017/8/28,10519.20215
2017/8/29,10498.74824
2017/8/30,10547.30215
2017/8/31,10583.92832
2017/9/1,10590.82988
2017/9/4,10578.11211
2017/9/5,10600.37578
2017/9/6,10562.84414
2017/9/7,10551.14785
2017/9/8,10586.89414
2017/9/11,10599.30215
2017/9/12,10612.77187
2017/9/13,10563.06191
2017/9/14,10544.51211
2017/9/15,10563.71426
2017/9/18,10615.63008
2017/9/19,10606.20176
2017/9/20,10537.36406
2017/9/21,10552.15215
2017/9/22,10499.2959
2017/9/25,10376.60371
2017/9/26,10295.80781
2017/9/27,10329.8
2017/9/28,10319.63008
2017/9/29,10318.42422
2017/10/2,10448.55195
2017/10/3,10468.51992
2017/10/5,10502.80586
2017/10/6,10534.5998
2017/10/11,10620.62227
2017/10/12,10694.22012
2017/10/13,10712.11602
2017/10/16,10756.22793
2017/10/17,10751.66406
2017/10/18,10737.80801
2017/10/19,10762.13184
2017/10/20,10730.3918
2017/10/23,10750.81191
2017/10/24,10746.07012
2017/10/25,10761.43223
2017/10/26,10735.57969
2017/10/27,10736.05
2017/10/30,10775.34395
2017/10/31,10786.64004
2017/11/1,10811.49824
2017/11/2,10798.16582
2017/11/3,10800.0918
2017/11/6,10811.32617
2017/11/7,10830.40195
2017/11/8,10825.63418
2017/11/9,10768.54785
2017/11/10,10716.18203
2017/11/13,10705.87383
2017/11/14,10696.12188
2017/11/15,10638.64609
2017/11/16,10631.02617
2017/11/17,10695.91777
2017/11/20,10684.0918
2017/11/21,10744.30801
2017/11/22,10828.86602
2017/11/23,10845.62617
2017/11/24,10852.73203
2017/11/27,10788.28398
2017/11/28,10718.56211
2017/11/29,10724.57402
2017/11/30,10590.94023
2017/12/1,10590.68613
2017/12/4,10630.11992
2017/12/5,10583.55391
2017/12/6,10449.31016
2017/12/7,10371.53379
2017/12/8,10391.82598
2017/12/11,10465.50195
2017/12/12,10455.71816
2017/12/13,10464.47617
2017/12/14,10528.5498
2017/12/15,10491.37227
2017/12/18,10498.11582
2017/12/19,10487.81797
2017/12/20,10492.81387
2017/12/21,10507.93184
2017/12/22,10520.28555
2017/12/25,10532.56211
2017/12/26,10461.4
2017/12/27,10462.1457
2017/12/28,10550.77988
