date,value
2011-01-01,2209743.0000
2011-04-01,2037494.0000
2011-07-01,2029932.0000
2011-10-01,2024390.0000
2012-01-01,2272805.0000
2012-04-01,2160308.0000
2012-07-01,2132192.0000
2012-10-01,2337519.0000
2013-01-01,2395328.0000
2013-04-01,2219187.0000
2013-07-01,2185277.0000
2013-10-01,2342295.0000
2014-01-01,2386444.0340
2014-04-01,2237767.9696
2014-07-01,2208911.9571
2014-10-01,2398964.0394
2015-01-01,2459674.6499
2015-04-01,2303095.3539
2015-07-01,2285060.3198
2015-10-01,2473595.6763
2016-01-01,2541549.0000
2016-04-01,2390876.0000
2016-07-01,2357971.0000
2016-10-01,2558106.0000
2017-01-01,2638918.0000
2017-04-01,2494793.0000
2017-07-01,2463648.0000
2017-10-01,2662582.0000
2018-01-01,2772249.0000
2018-04-01,2610265.0000
2018-07-01,2542313.0000
2018-10-01,2764963.0000
2019-01-01,2850075.0000
2019-04-01,2672012.0000
2019-07-01,2609915.0000
2019-10-01,2800065.0000
2020-01-01,2791110.0000
2020-04-01,2348899.0000
2020-07-01,2442804.0000
2020-10-01,2682509.0000
2021-01-01,2717499.0000
