date,rate
2016/1/1,-3.3
2016/2/1,-1.62
2016/3/1,1.83
2016/4/1,0.89
2016/5/1,2.6
2016/6/1,1.37
2016/7/1,-5.1
2016/8/1,3.18
2016/9/1,1.13
2016/10/1,-0.02
2016/11/1,3.8
2016/12/1,0.54
2017/1/1,2.19
2017/2/1,-1.09
2017/3/1,-0.53
2017/4/1,-1.8
2017/5/1,1.4
2017/6/1,-0.16
2017/7/1,3.43
2017/8/1,4.23
2017/9/1,4.88
2017/10/1,-0.33
2017/11/1,4.14
2017/12/1,2.35
2018/1/1,4.7
2018/2/1,4.66
2018/3/1,3.17
2018/4/1,3.1
2018/5/1,2.87
2018/6/1,5
2018/7/1,4.9
2018/8/1,0.79
2018/9/1,-2.67
2018/10/1,5.76
2018/11/1,0.91
2018/12/1,0.75
2019/1/1,0.18
2019/2/1,-1.6
2019/3/1,-2.66
2019/4/1,2.03
2019/5/1,-3.99
2019/6/1,-5.54
2019/7/1,-3.23
2019/8/1,-4.4
2019/9/1,-4.7
2019/10/1,-8.45
2019/11/1,-8.27
2019/12/1,-4.35
2020/1/1,-4.59
2020/2/1,-5.19
2020/3/1,-11.25
2020/4/1,-17.21
2020/5/1,-23.8
2020/6/1,-17.66
2020/7/1,-14.69
2020/8/1,-9.05
2020/9/1,-2.75
2020/10/1,-0.54
2020/11/1,0.35
2020/12/1,-2.8
2021/1/1,-2.8
2021/2/1,-1.35
2021/3/1,4.12
