date,value
2011/1/1,1325519
2011/2/1,1345703
2011/3/1,1344825
2011/4/1,1346223
2011/5/1,1395071
2011/6/1,1335898
2011/7/1,1334795
2011/8/1,1343624
2011/9/1,1326146
2011/10/1,1361383
2011/11/1,1362208
2011/12/1,1413540
2012/1/1,1399788
2012/2/1,1420907
2012/3/1,1435976
2012/4/1,1439256
2012/5/1,1454559
2012/6/1,1451775
2012/7/1,1412246
2012/8/1,1460596
2012/9/1,1482055
2012/10/1,1471275
2012/11/1,1507237
2012/12/1,1597148
2013/1/1,1524307
2013/2/1,1545250
2013/3/1,1575129
2013/4/1,1525896
2013/5/1,1550479
2013/6/1,1517926
2013/7/1,1450159
2013/8/1,1487463
2013/9/1,1497966
2013/10/1,1498899
2013/11/1,1550137
2013/12/1,1661304
2014/1/1,1607902
2014/2/1,1635577
2014/3/1,1634952
2014/4/1,1614487
2014/5/1,1645410
2014/6/1,1584774
2014/7/1,1550182
2014/8/1,1585179
2014/9/1,1564327
2014/10/1,1568737
2014/11/1,1604662
2014/12/1,1682469
2015/1/1,1642189
2015/2/1,1672617
2015/3/1,1664233
2015/4/1,1651197
2015/5/1,1694560
2015/6/1,1619848
2015/7/1,1618498
2015/8/1,1635611
2015/9/1,1618477
2015/10/1,1663402
2015/11/1,1696234
2015/12/1,1778078
2016/1/1,1748935
2016/2/1,1750060
2016/3/1,1748597
2016/4/1,1764102
2016/5/1,1772890
2016/6/1,1742318
2016/7/1,1728094
2016/8/1,1710885
2016/9/1,1721651
2016/10/1,1760911
2016/11/1,1781371
2016/12/1,1864192
2017/1/1,1859332
2017/2/1,1884900
2017/3/1,1870408
2017/4/1,1901903
2017/5/1,1865486
2017/6/1,1870876
2017/7/1,1839466
2017/8/1,1854226
2017/9/1,1889674
2017/10/1,1889773
2017/11/1,1943813
2017/12/1,2038861
2018/1/1,1972209
2018/2/1,1990861
2018/3/1,2012796
2018/4/1,2003080
2018/5/1,2009641
2018/6/1,1970444
2018/7/1,1986904
2018/8/1,1942583
2018/9/1,1960026
2018/10/1,1977411
2018/11/1,1995314
2018/12/1,2095155
2019/1/1,2046126
2019/2/1,2072216
2019/3/1,2123228
2019/4/1,2104941
2019/5/1,2143728
2019/6/1,2103762
2019/7/1,2061535
2019/8/1,2091813
2019/9/1,2116823
2019/10/1,2116108
2019/11/1,2158347
2019/12/1,2214392
2020/1/1,2184133
2020/2/1,2225133
2020/3/1,2319021
2020/4/1,2368692
2020/5/1,2458425
2020/6/1,2406714
2020/7/1,2420181
2020/8/1,2416482
2020/9/1,2421107
2020/10/1,2446282
2020/11/1,2475008
2020/12/1,2529200
2021/1/1,2542241
2021/2/1,2628656
2021/3/1,2616394
