date,value
2016-07-01,49.3000
2016-08-01,49.8000
2016-09-01,48.8000
2016-10-01,48.8000
2016-11-01,48.2000
2016-12-01,50.6000
2017-01-01,50.6000
2017-02-01,50.6000
2017-03-01,50.2000
2017-04-01,49.8000
2017-05-01,49.7000
2017-06-01,50.4000
2017-07-01,49.6000
2017-08-01,49.5000
2017-09-01,50.3000
2017-10-01,49.8000
2017-11-01,50.0000
2017-12-01,50.4000
2018-01-01,50.6000
2018-02-01,50.9000
2018-03-01,49.1000
2018-04-01,49.5000
2018-05-01,51.1000
2018-06-01,50.2000
2018-07-01,50.1000
2018-08-01,49.9000
2018-09-01,50.0000
2018-10-01,48.9000
2018-11-01,49.8000
2018-12-01,50.3000
2019-01-01,50.2000
2019-02-01,49.9000
2019-03-01,50.3000
2019-04-01,51.0000
2019-05-01,50.7000
2019-06-01,50.6000
2019-07-01,50.3000
2019-08-01,50.0000
2019-09-01,50.6000
2019-10-01,50.0000
2019-11-01,49.3000
2019-12-01,50.1000
2020-01-01,49.9000
2020-02-01,49.5000
2020-03-01,46.7000
2020-04-01,36.8000
2020-05-01,41.6000
2020-06-01,43.5000
2020-07-01,45.9000
2020-08-01,49.7000
2020-09-01,49.9000
2020-10-01,50.8000
2020-11-01,50.4000
2020-12-01,50.8000
2021-01-01,49.0000
2021-02-01,47.2000
2021-03-01,48.8000
2021-04-01,50.7000
