date,value
2011-01-04,1042.4100
2011-01-05,1050.7800
2011-01-06,1050.9800
2011-01-07,1036.4500
2011-01-10,1018.0300
2011-01-11,1013.3900
2011-01-12,1019.5100
2011-01-13,1035.0800
2011-01-14,1032.2600
2011-01-17,1023.1900
2011-01-18,1024.5400
2011-01-19,1034.8000
2011-01-20,1022.1600
2011-01-21,1006.5700
2011-01-24,963.6800
2011-01-25,959.1700
2011-01-26,978.0700
2011-01-27,986.7100
2011-01-28,981.8300
2011-01-31,964.1000
2011-02-01,959.6900
2011-02-02,977.8400
2011-02-03,980.6000
2011-02-04,984.7800
2011-02-07,985.6300
2011-02-08,983.5300
2011-02-09,969.8900
2011-02-10,949.0900
2011-02-11,949.5700
2011-02-14,967.0700
2011-02-15,968.4900
2011-02-16,982.0700
2011-02-17,995.5700
2011-02-21,995.6700
2011-02-22,987.2100
2011-02-23,990.9100
2011-02-24,977.2200
2011-02-25,985.9100
2011-02-28,987.9100
2011-03-01,994.4800
2011-03-02,987.5900
2011-03-03,990.0800
2011-03-04,995.9100
2011-03-07,1002.9400
2011-03-08,1018.5700
2011-03-09,1017.0100
2011-03-10,1019.2200
2011-03-11,1007.0600
2011-03-14,1022.8900
2011-03-15,1003.1000
2011-03-16,1008.1300
2011-03-17,1002.3500
2011-03-18,1003.2900
2011-03-21,1019.9300
2011-03-22,1019.1400
2011-03-23,1027.5400
2011-03-24,1034.3900
2011-03-25,1037.7300
2011-03-28,1032.9400
2011-03-29,1036.3600
2011-03-30,1050.6700
2011-03-31,1047.4800
2011-04-01,1064.3500
2011-04-04,1078.6600
2011-04-05,1076.1300
2011-04-07,1089.2100
2011-04-08,1082.6900
2011-04-11,1076.3300
2011-04-12,1084.9100
2011-04-18,1090.6700
2011-04-19,1095.8800
2011-04-20,1107.3600
2011-04-21,1109.9200
2011-04-22,1105.2900
2011-04-25,1105.4300
2011-04-26,1096.9500
2011-04-27,1101.3500
2011-04-28,1092.3100
2011-04-29,1093.5600
2011-05-03,1070.4300
2011-05-04,1073.8700
2011-05-06,1050.8500
2011-05-09,1072.4700
2011-05-10,1085.5600
2011-05-11,1100.4800
2011-05-12,1086.2700
2011-05-13,1084.9600
2011-05-18,1075.9100
2011-05-19,1077.5000
2011-05-20,1072.9400
2011-05-23,1053.9700
2011-05-24,1064.2400
2011-05-25,1055.5400
2011-05-26,1065.4500
2011-05-27,1067.0000
2011-05-30,1076.5000
2011-05-31,1073.8300
2011-06-01,1065.6300
2011-06-02,1059.8100
2011-06-03,1057.8600
2011-06-06,1046.1600
2011-06-07,1034.7500
2011-06-08,1014.5800
2011-06-09,1016.8500
2011-06-10,1020.3700
2011-06-13,1015.5300
2011-06-14,1034.9200
2011-06-15,1030.3100
2011-06-16,1019.5500
2011-06-17,1018.9600
2011-06-20,1013.0900
