date,value
2011/3/1,15285.8
2011/6/1,15496.2
2011/9/1,15591.9
2011/12/1,15796.5
2012/3/1,16019.8
2012/6/1,16152.3
2012/9/1,16257.2
2012/12/1,16358.9
2013/3/1,16569.6
2013/6/1,16637.9
2013/9/1,16848.7
2013/12/1,17083.1
2014/3/1,17102.9
2014/6/1,17425.8
2014/9/1,17719.8
2014/12/1,17838.5
2015/3/1,17970.4
2015/6/1,18221.3
2015/9/1,18331.1
2015/12/1,18354.4
2016/3/1,18409.1
2016/6/1,18640.7
2016/9/1,18799.6
2016/12/1,18979.2
2017/3/1,19162.6
2017/6/1,19359.1
2017/9/1,19588.1
2017/12/1,19831.8
2018/3/1,20041
2018/6/1,20411.9
2018/9/1,20658.2
2018/12/1,20865.1
2019/3/1,21098.8
2019/6/1,21329.9
2019/9/1,21540.3
2019/12/1,21747.4
2020/3/1,21561.1
2020/6/1,19520.1
2020/9/1,21170.3
2020/12/1,21494.7
2021/3/1,22048.9
