date,value
2011/1/1,95.9364
2011/2/1,95.5154
2011/3/1,96.4643
2011/4/1,96.1187
2011/5/1,96.3377
2011/6/1,96.6154
2011/7/1,97.1292
2011/8/1,97.6731
2011/9/1,97.6494
2011/10/1,98.3222
2011/11/1,98.2433
2011/12/1,98.7876
2012/1/1,99.3925
2012/2/1,99.6203
2012/3/1,99.1551
2012/4/1,99.9006
2012/5/1,100.0924
2012/6/1,100.0728
2012/7/1,100.3354
2012/8/1,99.856
2012/9/1,99.9049
2012/10/1,100.1167
2012/11/1,100.5991
2012/12/1,100.9542
2013/1/1,100.8204
2013/2/1,101.3995
2013/3/1,101.8114
2013/4/1,101.6364
2013/5/1,101.7476
2013/6/1,101.9549
2013/7/1,101.5204
2013/8/1,102.1907
2013/9/1,102.717
2013/10/1,102.5371
2013/11/1,102.8379
2013/12/1,103.1504
2014/1/1,102.7216
2014/2/1,103.5917
2014/3/1,104.5889
2014/4/1,104.6371
2014/5/1,105.0152
2014/6/1,105.4081
2014/7/1,105.6157
2014/8/1,105.4986
2014/9/1,105.8138
2014/10/1,105.8357
2014/11/1,106.6634
2014/12/1,106.5085
2015/1/1,105.9806
2015/2/1,105.4425
2015/3/1,105.1464
2015/4/1,104.5272
2015/5/1,104.0742
2015/6/1,103.7174
2015/7/1,104.3243
2015/8/1,104.1621
2015/9/1,103.7768
2015/10/1,103.3976
2015/11/1,102.6866
2015/12/1,102.1014
2016/1/1,102.9525
2016/2/1,102.2225
2016/3/1,101.4155
2016/4/1,101.5167
2016/5/1,101.4298
2016/6/1,101.8747
2016/7/1,102.1325
2016/8/1,102.0407
2016/9/1,102.0477
2016/10/1,102.2485
2016/11/1,102.0507
2016/12/1,102.9281
2017/1/1,103.0366
2017/2/1,102.6479
2017/3/1,103.343
2017/4/1,104.2721
2017/5/1,104.4129
2017/6/1,104.5849
2017/7/1,104.5427
2017/8/1,104.0475
2017/9/1,104.0502
2017/10/1,105.6287
2017/11/1,106.193
2017/12/1,106.536
2018/1/1,106.2655
2018/2/1,106.6419
2018/3/1,107.2519
2018/4/1,108.2223
2018/5/1,107.3639
2018/6/1,108.1707
2018/7/1,108.652
2018/8/1,109.5246
2018/9/1,109.6749
2018/10/1,109.9165
2018/11/1,110.5067
2018/12/1,110.5516
2019/1/1,110.1185
2019/2/1,109.5631
2019/3/1,109.6811
2019/4/1,108.9888
2019/5/1,109.2264
2019/6/1,109.2774
2019/7/1,109.0852
2019/8/1,109.8543
2019/9/1,109.4725
2019/10/1,109.027
2019/11/1,110.0388
2019/12/1,109.6527
2020/1/1,109.1845
2020/2/1,109.2966
2020/3/1,104.5221
2020/4/1,91.2658
2020/5/1,92.0613
2020/6/1,97.8019
2020/7/1,101.9086
2020/8/1,102.8885
2020/9/1,102.8028
2020/10/1,103.8958
2020/11/1,104.823
2020/12/1,105.9255
2021/1/1,106.8412
2021/2/1,103.1127
2021/3/1,105.6085
2021/4/1,106.3127
