date,value
2011/1/1,0.17
2011/2/1,0.16
2011/3/1,0.14
2011/4/1,0.1
2011/5/1,0.09
2011/6/1,0.09
2011/7/1,0.07
2011/8/1,0.1
2011/9/1,0.08
2011/10/1,0.07
2011/11/1,0.08
2011/12/1,0.07
2012/1/1,0.08
2012/2/1,0.1
2012/3/1,0.13
2012/4/1,0.14
2012/5/1,0.16
2012/6/1,0.16
2012/7/1,0.16
2012/8/1,0.13
2012/9/1,0.14
2012/10/1,0.16
2012/11/1,0.16
2012/12/1,0.16
2013/1/1,0.14
2013/2/1,0.15
2013/3/1,0.14
2013/4/1,0.15
2013/5/1,0.11
2013/6/1,0.09
2013/7/1,0.09
2013/8/1,0.08
2013/9/1,0.08
2013/10/1,0.09
2013/11/1,0.08
2013/12/1,0.09
2014/1/1,0.07
2014/2/1,0.07
2014/3/1,0.08
2014/4/1,0.09
2014/5/1,0.09
2014/6/1,0.1
2014/7/1,0.09
2014/8/1,0.09
2014/9/1,0.09
2014/10/1,0.09
2014/11/1,0.09
2014/12/1,0.12
2015/1/1,0.11
2015/2/1,0.11
2015/3/1,0.11
2015/4/1,0.12
2015/5/1,0.12
2015/6/1,0.13
2015/7/1,0.13
2015/8/1,0.14
2015/9/1,0.14
2015/10/1,0.12
2015/11/1,0.12
2015/12/1,0.24
2016/1/1,0.34
2016/2/1,0.38
2016/3/1,0.36
2016/4/1,0.37
2016/5/1,0.37
2016/6/1,0.38
2016/7/1,0.39
2016/8/1,0.4
2016/9/1,0.4
2016/10/1,0.4
2016/11/1,0.41
2016/12/1,0.54
2017/1/1,0.65
2017/2/1,0.66
2017/3/1,0.79
2017/4/1,0.9
2017/5/1,0.91
2017/6/1,1.04
2017/7/1,1.15
2017/8/1,1.16
2017/9/1,1.15
2017/10/1,1.15
2017/11/1,1.16
2017/12/1,1.3
2018/1/1,1.41
2018/2/1,1.42
2018/3/1,1.51
2018/4/1,1.69
2018/5/1,1.7
2018/6/1,1.82
2018/7/1,1.91
2018/8/1,1.91
2018/9/1,1.95
2018/10/1,2.19
2018/11/1,2.2
2018/12/1,2.27
2019/1/1,2.4
2019/2/1,2.4
2019/3/1,2.41
2019/4/1,2.42
2019/5/1,2.39
2019/6/1,2.38
2019/7/1,2.4
2019/8/1,2.13
2019/9/1,2.04
2019/10/1,1.83
2019/11/1,1.55
2019/12/1,1.55
2020/1/1,1.55
2020/2/1,1.58
2020/3/1,0.65
2020/4/1,0.05
2020/5/1,0.05
2020/6/1,0.08
2020/7/1,0.09
2020/8/1,0.1
2020/9/1,0.09
2020/10/1,0.09
2020/11/1,0.09
2020/12/1,0.09
2021/1/1,0.09
2021/2/1,0.08
2021/3/1,0.07
2021/4/1,0.07
