date,value
2016/4/1,3199.2
2016/5/1,3237.3
2016/6/1,3244.1
2016/7/1,3242.5
2016/8/1,3315.7
2016/9/1,3322.6
2016/10/1,3330.3
2016/11/1,3354.7
2016/12/1,3345.4
2017/1/1,3398.2
2017/2/1,3411.3
2017/3/1,3456.2
2017/4/1,3450.1
2017/5/1,3512.8
2017/6/1,3520.9
2017/7/1,3541.8
2017/8/1,3580.3
2017/9/1,3563.4
2017/10/1,3601.2
2017/11/1,3631.9
2017/12/1,3618.9
2018/1/1,3668.4
2018/2/1,3633.9
2018/3/1,3672.5
2018/4/1,3653.6
2018/5/1,3646.2
2018/6/1,3644.7
2018/7/1,3669.2
2018/8/1,3682.7
2018/9/1,3692.3
2018/10/1,3721.5
2018/11/1,3708.4
2018/12/1,3771.2
2019/1/1,3772.9
2019/2/1,3783.4
2019/3/1,3746.4
2019/4/1,3770.6
2019/5/1,3775.4
2019/6/1,3813.4
2019/7/1,3844.8
2019/8/1,3844
2019/9/1,3887.7
2019/10/1,3926.1
2019/11/1,3955.6
2019/12/1,4011.2
2020/1/1,4018.9
2020/2/1,4027.6
2020/3/1,4280.2
2020/4/1,4773.3
2020/5/1,16275.9
2020/6/1,16601.7
2020/7/1,16792.6
2020/8/1,16906
2020/9/1,17176.3
2020/10/1,17367.1
2020/11/1,17610
2020/12/1,17829.6
2021/1/1,18109.6
2021/2/1,18401
2021/3/1,18682.9
