date,value
2016-04-01,50.7000
2016-05-01,51.0000
2016-06-01,52.8000
2016-07-01,52.3000
2016-08-01,49.4000
2016-09-01,51.7000
2016-10-01,52.0000
2016-11-01,53.5000
2016-12-01,54.5000
2017-01-01,56.0000
2017-02-01,57.6000
2017-03-01,56.6000
2017-04-01,55.3000
2017-05-01,55.5000
2017-06-01,56.7000
2017-07-01,56.5000
2017-08-01,59.3000
2017-09-01,60.2000
2017-10-01,58.5000
2017-11-01,58.2000
2017-12-01,59.3000
2018-01-01,59.1000
2018-02-01,60.7000
2018-03-01,59.3000
2018-04-01,57.9000
2018-05-01,58.7000
2018-06-01,60.0000
2018-07-01,58.4000
2018-08-01,60.8000
2018-09-01,59.5000
2018-10-01,57.5000
2018-11-01,58.8000
2018-12-01,54.3000
2019-01-01,56.6000
2019-02-01,54.2000
2019-03-01,55.3000
2019-04-01,52.8000
2019-05-01,52.1000
2019-06-01,51.7000
2019-07-01,51.2000
2019-08-01,49.1000
2019-09-01,48.2000
2019-10-01,48.5000
2019-11-01,48.1000
2019-12-01,47.8000
2020-01-01,50.9000
2020-02-01,50.1000
2020-03-01,49.1000
2020-04-01,41.5000
2020-05-01,43.1000
2020-06-01,52.6000
2020-07-01,54.2000
2020-08-01,56.0000
2020-09-01,55.7000
2020-10-01,58.8000
2020-11-01,57.5000
2020-12-01,60.5000
2021-01-01,58.7000
2021-02-01,60.8000
2021-03-01,64.7000
2021-04-01,60.7000
