date,value
2016-04-01,70.0000
2016-04-04,69.4600
2016-04-05,68.6400
2016-04-06,69.0200
2016-04-07,68.4100
2016-04-08,69.3000
2016-04-11,69.5300
2016-04-12,69.9900
2016-04-13,71.0700
2016-04-14,71.1700
2016-04-15,71.1400
2016-04-18,71.3900
2016-04-19,72.0700
2016-04-20,72.1100
2016-04-21,71.8900
2016-04-22,71.9400
2016-04-25,71.4400
2016-04-26,71.8100
2016-04-27,72.1100
2016-04-28,71.1700
2016-04-29,70.9600
2016-05-02,71.3800
2016-05-03,70.5700
2016-05-04,69.9400
2016-05-05,69.8100
2016-05-06,70.1700
2016-05-09,69.9200
2016-05-10,71.0900
2016-05-11,70.6000
2016-05-12,70.5500
2016-05-13,69.6600
2016-05-16,70.4900
2016-05-17,70.0500
2016-05-18,70.0500
2016-05-19,69.4600
2016-05-20,69.8800
2016-05-23,69.7200
2016-05-24,70.4700
2016-05-25,70.9500
2016-05-26,70.9900
2016-05-27,70.8600
2016-05-31,70.8300
2016-06-01,70.8600
2016-06-02,70.7900
2016-06-03,71.0100
2016-06-06,71.5100
2016-06-07,71.9200
2016-06-08,72.3100
2016-06-09,71.8800
2016-06-10,70.6400
2016-06-13,69.6400
2016-06-14,69.5100
2016-06-15,69.5400
2016-06-16,69.6800
2016-06-17,69.9300
2016-06-20,71.1100
2016-06-21,70.5300
2016-06-22,70.3100
2016-06-23,71.7700
2016-06-24,67.4000
2016-06-27,65.8500
2016-06-28,67.3300
2016-06-29,68.4000
2016-06-30,69.4600
2016-07-01,69.6800
2016-07-05,68.6900
2016-07-06,68.7400
2016-07-07,68.6900
2016-07-08,69.9200
2016-07-11,71.1800
2016-07-12,71.7400
2016-07-13,71.7700
2016-07-14,72.3500
2016-07-15,72.3100
2016-07-18,72.1500
2016-07-19,72.1000
2016-07-20,72.6700
2016-07-21,71.8600
2016-07-22,71.7700
2016-07-25,71.7500
2016-07-26,72.1300
2016-07-27,72.0500
2016-07-28,72.3200
2016-07-29,72.3600
2016-08-01,71.9600
2016-08-02,71.5200
2016-08-03,71.6400
2016-08-04,71.8200
2016-08-05,72.3100
2016-08-08,72.3600
2016-08-09,72.8800
2016-08-10,73.1400
2016-08-11,73.7500
2016-08-12,73.6000
2016-08-15,73.8700
2016-08-16,73.6300
2016-08-17,73.6600
2016-08-18,74.0100
2016-08-19,74.0000
2016-08-22,74.0000
2016-08-23,74.2200
2016-08-24,73.9600
2016-08-25,73.7300
2016-08-26,73.4100
2016-08-29,73.7900
2016-08-30,73.5100
2016-08-31,73.4000
2016-09-01,73.5200
2016-09-02,74.1300
2016-09-06,74.1700
2016-09-07,74.5500
2016-09-08,74.3100
2016-09-09,72.7200
2016-09-12,73.2500
2016-09-13,72.0500
2016-09-14,71.9200
2016-09-15,72.4300
2016-09-16,71.7500
2016-09-19,72.2400
2016-09-20,72.2600
2016-09-21,73.5100
2016-09-22,74.1400
2016-09-23,73.7200
2016-09-26,72.9700
2016-09-27,73.4800
2016-09-28,73.9100
2016-09-29,73.3600
2016-09-30,73.7900
2016-10-03,73.7600
2016-10-04,73.5000
2016-10-05,73.7800
2016-10-06,73.5900
2016-10-07,73.0700
2016-10-10,72.9700
2016-10-11,72.1500
2016-10-12,72.1900
2016-10-13,72.1700
2016-10-14,72.3200
2016-10-17,72.2600
2016-10-18,72.5300
2016-10-19,72.8500
2016-10-20,72.6700
2016-10-21,72.4000
2016-10-24,72.6100
2016-10-25,72.3200
2016-10-26,72.4600
2016-10-27,71.8800
2016-10-28,72.1800
2016-10-31,72.3900
2016-11-01,71.8000
2016-11-02,71.4500
2016-11-03,71.1800
2016-11-04,71.1500
2016-11-07,72.4800
2016-11-08,72.7900
2016-11-09,73.7300
2016-11-10,74.6200
2016-11-11,74.4000
2016-11-14,74.4600
2016-11-15,74.7600
2016-11-16,74.1000
2016-11-17,74.5900
2016-11-18,74.1600
2016-11-21,74.8300
2016-11-22,74.9800
2016-11-23,75.4300
2016-11-25,75.5400
2016-11-28,75.2400
2016-11-29,75.5000
2016-11-30,75.3500
2016-12-01,75.7100
2016-12-02,75.5300
2016-12-05,75.9500
2016-12-06,76.1600
2016-12-07,77.3500
2016-12-08,77.0000
2016-12-09,77.2700
2016-12-12,76.9700
2016-12-13,77.2100
2016-12-14,76.0700
2016-12-15,76.0000
2016-12-16,76.0000
2016-12-19,76.1800
2016-12-20,76.4500
2016-12-21,76.6500
2016-12-22,75.7800
2016-12-23,75.8400
2016-12-27,76.0900
2016-12-28,75.4800
2016-12-29,75.5700
2016-12-30,75.3600
2017-01-03,75.8700
2017-01-04,76.4400
2017-01-05,76.6000
2017-01-06,76.6400
2017-01-09,76.4700
2017-01-10,76.5100
2017-01-11,76.9000
2017-01-12,77.0300
2017-01-13,77.3100
2017-01-17,76.9400
2017-01-18,76.8600
2017-01-19,77.0100
2017-01-20,77.2300
2017-01-23,76.9900
2017-01-24,77.7600
2017-01-25,78.7700
2017-01-26,78.6800
2017-01-27,78.4800
2017-01-30,77.9000
2017-01-31,77.5900
2017-02-01,77.8000
2017-02-02,77.3800
2017-02-03,77.9300
2017-02-06,77.5300
2017-02-07,77.6800
2017-02-08,77.7900
2017-02-09,78.0900
2017-02-10,78.6300
2017-02-13,79.2000
2017-02-14,79.1900
2017-02-15,79.5200
2017-02-16,79.5800
2017-02-17,79.3800
2017-02-21,79.8000
2017-02-22,79.5500
2017-02-23,79.5000
2017-02-24,79.2300
2017-02-27,79.6100
2017-02-28,79.4400
2017-03-01,80.5600
2017-03-02,79.8400
2017-03-03,80.0800
2017-03-06,79.8100
2017-03-07,79.5500
2017-03-08,79.4700
2017-03-09,79.1100
2017-03-10,79.7100
2017-03-13,79.8200
2017-03-14,79.1500
2017-03-15,80.1400
2017-03-16,80.2400
2017-03-17,80.5500
2017-03-20,80.5100
2017-03-21,79.7400
2017-03-22,79.8400
2017-03-23,79.9700
2017-03-24,80.0100
2017-03-27,79.8800
2017-03-28,80.5400
2017-03-29,80.5400
2017-03-30,80.6900
2017-03-31,80.3800
2017-04-03,80.3600
2017-04-04,80.4800
2017-04-05,80.1800
2017-04-06,80.4900
2017-04-07,80.4700
2017-04-10,80.5500
2017-04-11,80.6500
2017-04-12,80.2000
2017-04-13,79.6700
2017-04-17,80.3700
2017-04-18,80.0800
2017-04-19,80.0500
2017-04-20,80.8700
2017-04-21,80.8400
2017-04-24,82.4200
2017-04-25,82.9100
2017-04-26,82.8800
2017-04-27,82.8600
2017-04-28,82.6000
2017-05-01,82.7700
2017-05-02,83.2500
2017-05-03,83.0300
2017-05-04,83.2900
2017-05-05,83.9500
2017-05-08,83.6600
2017-05-09,83.5400
2017-05-10,83.2300
2017-05-11,83.0900
2017-05-12,83.1100
2017-05-15,83.3200
2017-05-16,83.6400
2017-05-17,82.1900
2017-05-18,82.3700
2017-05-19,83.2600
2017-05-22,83.5700
2017-05-23,83.6900
2017-05-24,83.8500
2017-05-25,84.1600
2017-05-26,84.0100
2017-05-30,84.0600
2017-05-31,84.2000
2017-06-01,84.8600
2017-06-02,85.7300
2017-06-05,85.2800
2017-06-06,84.9900
2017-06-07,84.7900
2017-06-08,84.8800
2017-06-09,85.0200
2017-06-12,84.9500
2017-06-13,85.4500
2017-06-14,85.4700
2017-06-15,85.3600
2017-06-16,85.9800
2017-06-19,86.4700
2017-06-20,84.8700
2017-06-21,84.5200
2017-06-22,84.5200
2017-06-23,84.6800
