date,value
2016/4/1,0.5
2016/5/1,0.5
2016/6/1,0.5
2016/7/1,0.5
2016/8/1,0.5
2016/9/1,0.5
2016/10/1,0.5
2016/11/1,0.5
2016/12/1,0.75
2017/1/1,0.75
2017/2/1,0.75
2017/3/1,1
2017/4/1,1
2017/5/1,1
2017/6/1,1.25
2017/7/1,1.25
2017/8/1,1.25
2017/9/1,1.25
2017/10/1,1.25
2017/11/1,1.25
2017/12/1,1.5
2018/1/1,1.5
2018/2/1,1.5
2018/3/1,1.75
2018/4/1,1.75
2018/5/1,1.75
2018/6/1,2
2018/7/1,2
2018/8/1,2
2018/9/1,2.25
2018/10/1,2.25
2018/11/1,2.25
2018/12/1,2.5
2019/1/1,2.5
2019/2/1,2.5
2019/3/1,2.5
2019/4/1,2.5
2019/5/1,2.5
2019/6/1,2.5
2019/7/1,2.5
2019/8/1,2.25
2019/9/1,2
2019/10/1,1.75
2019/11/1,1.75
2019/12/1,1.75
2020/1/1,1.75
2020/2/1,1.75
2020/3/1,0.25
2020/4/1,0.25
2020/5/1,0.25
2020/6/1,0.25
2020/7/1,0.25
2020/8/1,0.25
2020/9/1,0.25
2020/10/1,0.25
2020/11/1,0.25
2020/12/1,0.25
2021/1/1,0.25
2021/2/1,0.25
2021/3/1,0.25
2021/4/1,0.25
