date,value
2011/3/1,65.44791
2011/4/1,65.73323
2011/5/1,66.57581
2011/6/1,66.96588
2011/7/1,67.65543
2011/8/1,69.90418
2011/9/1,70.34953
2011/10/1,70.648
2011/11/1,71.67655
2011/12/1,71.52276
2012/1/1,72.13911
2012/2/1,72.37103
2012/3/1,72.85564
2012/4/1,73.26195
2012/5/1,73.71732
2012/6/1,74.37572
2012/7/1,75.11284
2012/8/1,75.83877
2012/9/1,76.56673
2012/10/1,77.27563
2012/11/1,77.78978
2012/12/1,78.47823
2013/1/1,79.00891
2013/2/1,79.41785
2013/3/1,79.96713
2013/4/1,80.76175
2013/5/1,81.41135
2013/6/1,81.97498
2013/7/1,82.49786
2013/8/1,83.01888
2013/9/1,83.76691
2013/10/1,84.63768
2013/11/1,85.21912
2013/12/1,86.1628
2014/1/1,87.13217
2014/2/1,87.94425
2014/3/1,88.62595
2014/4/1,89.18948
2014/5/1,89.6967
2014/6/1,90.55167
2014/7/1,91.09422
2014/8/1,90.93753
2014/9/1,92.18998
2014/10/1,92.7521
2014/11/1,93.50819
2014/12/1,94.76427
2015/1/1,95.27107
2015/2/1,96.86037
2015/3/1,97.32575
2015/4/1,98.25997
2015/5/1,98.92281
2015/6/1,99.91695
2015/7/1,100.7497
2015/8/1,101.2542
2015/9/1,102.0561
2015/10/1,102.1558
2015/11/1,103.3808
2015/12/1,103.8466
2016/1/1,104.3366
2016/2/1,105.4906
2016/3/1,106.427
2016/4/1,107.543
2016/5/1,108.5105
2016/6/1,109.2754
2016/7/1,109.9573
2016/8/1,111.5189
2016/9/1,111.9308
2016/10/1,112.5124
2016/11/1,113.5581
2016/12/1,114.0862
2017/1/1,115.5669
2017/2/1,116.2902
2017/3/1,117.5267
2017/4/1,118.0646
2017/5/1,119.4359
2017/6/1,119.7944
2017/7/1,120.4324
2017/8/1,121.4126
2017/9/1,121.603
2017/10/1,122.7498
2017/11/1,123.7377
2017/12/1,123.9285
2018/1/1,124.9659
2018/2/1,124.7678
2018/3/1,125.8035
2018/4/1,125.885
2018/5/1,126.3423
2018/6/1,127.1338
2018/7/1,127.8614
2018/8/1,128.2666
2018/9/1,128.9449
2018/10/1,129.8585
2018/11/1,129.7092
2018/12/1,130.7486
2019/1/1,131.0291
2019/2/1,131.4294
2019/3/1,130.9784
2019/4/1,131.7475
2019/5/1,132.0872
2019/6/1,132.9869
2019/7/1,134.1621
2019/8/1,134.8315
2019/9/1,136.1387
2019/10/1,137.2945
2019/11/1,138.3863
2019/12/1,140.0542
2020/1/1,140.7246
2020/2/1,141.6646
2020/3/1,148.3523
2020/4/1,160.047
2020/5/1,381.9448
2020/6/1,389.8374
2020/7/1,394.4909
2020/8/1,397.5956
2020/9/1,403.6523
2020/10/1,408.2086
2020/11/1,413.757
2020/12/1,418.6821
2021/1/1,425.0457
2021/2/1,431.5291
