date,value
2011/1/1,55.9
2011/2/1,57.06666667
2011/3/1,54.33333333
2011/4/1,54.2
2011/5/1,53.2
2011/6/1,53.1
2011/7/1,51.8
2011/8/1,51.3
2011/9/1,50.2
2011/10/1,49.83333333
2011/11/1,49.2
2011/12/1,50.06666667
2012/1/1,50.76666667
2012/2/1,50.63333333
2012/3/1,50.03333333
2012/4/1,50.1
2012/5/1,49.66666667
2012/6/1,48.66666667
2012/7/1,47.5
2012/8/1,47.96666667
2012/9/1,48.76666667
2012/10/1,47.83333333
2012/11/1,47.4
2012/12/1,47.16666667
2013/1/1,49.3
2013/2/1,49.83333333
2013/3/1,49.56666667
2013/4/1,49.26666667
2013/5/1,49.93333333
2013/6/1,51.2
2013/7/1,51.96666667
2013/8/1,53.3
2013/9/1,53.2
2013/10/1,54.03333333
2013/11/1,54.56666667
2013/12/1,54.8
2014/1/1,53.83333333
2014/2/1,54.33333333
2014/3/1,53.76666667
2014/4/1,52.7
2014/5/1,52.56666667
2014/6/1,53
2014/7/1,52.9
2014/8/1,53.66666667
2014/9/1,52.7
2014/10/1,53.63333333
2014/11/1,53.23333333
2014/12/1,52.56666667
2015/1/1,52.23333333
2015/2/1,51.83333333
2015/3/1,51.33333333
2015/4/1,51.13333333
2015/5/1,51.96666667
2015/6/1,52.03333333
2015/7/1,52.1
2015/8/1,51.7
2015/9/1,51.06666667
2015/10/1,51.36666667
2015/11/1,51.26666667
2015/12/1,51.26666667
2016/1/1,50.93333333
2016/2/1,50.33333333
2016/3/1,50.8
2016/4/1,50.2
2016/5/1,50.06666667
2016/6/1,51.23333333
2016/7/1,51.46666667
2016/8/1,50.46666667
2016/9/1,51.56666667
2016/10/1,52.3
2016/11/1,52.83333333
2016/12/1,53.93333333
2017/1/1,54.63333333
2017/2/1,55.43333333
2017/3/1,55.06666667
2017/4/1,54.9
2017/5/1,55.2
2017/6/1,55.5
2017/7/1,55.06666667
2017/8/1,56.3
2017/9/1,57.06666667
2017/10/1,56.6
2017/11/1,57.3
2017/12/1,57.96666667
2018/1/1,57.83333333
2018/2/1,57.8
2018/3/1,56.33333333
2018/4/1,55.96666667
2018/5/1,55.66666667
2018/6/1,55.96666667
2018/7/1,55.26666667
2018/8/1,55.96666667
2018/9/1,55.06666667
2018/10/1,54.13333333
2018/11/1,54.26666667
2018/12/1,52.76666667
2019/1/1,52.46666667
2019/2/1,50.8
2019/3/1,50.66666667
2019/4/1,50.3
2019/5/1,49.86666667
2019/6/1,49.53333333
2019/7/1,49.03333333
2019/8/1,48.46666667
2019/9/1,47.6
2019/10/1,47.6
2019/11/1,47.96666667
2019/12/1,47.5
2020/1/1,49.2
2020/2/1,49.03333333
2020/3/1,46.13333333
2020/4/1,38.93333333
2020/5/1,40.3
2020/6/1,46.7
2020/7/1,50.4
2020/8/1,51.63333333
2020/9/1,52.36666667
2020/10/1,54.1
2020/11/1,53.43333333
2020/12/1,55.23333333
2021/1/1,54.43333333
2021/2/1,56.7
2021/3/1,59.96666667
2021/4/1,59.06666667
