date,value
2011/1/1,1286.12
2011/2/1,1327.22
2011/3/1,1325.83
2011/4/1,1363.61
2011/5/1,1345.2
2011/6/1,1320.64
2011/7/1,1292.28
2011/8/1,1218.89
2011/9/1,1131.42
2011/10/1,1253.3
2011/11/1,1246.96
2011/12/1,1257.6
2012/1/1,1312.41
2012/2/1,1365.68
2012/3/1,1408.47
2012/4/1,1397.91
2012/5/1,1310.33
2012/6/1,1362.16
2012/7/1,1379.32
2012/8/1,1406.58
2012/9/1,1440.67
2012/10/1,1412.16
2012/11/1,1416.18
2012/12/1,1426.19
2013/1/1,1498.11
2013/2/1,1514.68
2013/3/1,1569.19
2013/4/1,1597.57
2013/5/1,1630.74
2013/6/1,1606.28
2013/7/1,1685.73
2013/8/1,1632.97
2013/9/1,1681.55
2013/10/1,1756.54
2013/11/1,1805.81
2013/12/1,1848.36
2014/1/1,1782.59
2014/2/1,1859.45
2014/3/1,1872.34
2014/4/1,1883.95
2014/5/1,1923.57
2014/6/1,1960.23
2014/7/1,1930.67
2014/8/1,2003.37
2014/9/1,1972.29
2014/10/1,2018.05
2014/11/1,2067.56
2014/12/1,2058.9
2015/1/1,1994.99
2015/2/1,2104.5
2015/3/1,2067.89
2015/4/1,2085.51
2015/5/1,2107.39
2015/6/1,2063.11
2015/7/1,2103.84
2015/8/1,1972.18
2015/9/1,1920.03
2015/10/1,2079.36
2015/11/1,2080.41
2015/12/1,2043.94
2016/1/1,1940.24
2016/2/1,1932.23
2016/3/1,2059.74
2016/4/1,2065.3
2016/5/1,2096.96
2016/6/1,2098.86
2016/7/1,2173.6
2016/8/1,2170.95
2016/9/1,2168.27
2016/10/1,2126.15
2016/11/1,2198.81
2016/12/1,2238.83
2017/1/1,2278.87
2017/2/1,2363.64
2017/3/1,2362.72
2017/4/1,2384.2
2017/5/1,2411.8
2017/6/1,2423.41
2017/7/1,2470.3
2017/8/1,2471.65
2017/9/1,2519.36
2017/10/1,2575.26
2017/11/1,2647.58
2017/12/1,2673.61
2018/1/1,2823.81
2018/2/1,2713.83
2018/3/1,2640.87
2018/4/1,2648.05
2018/5/1,2705.27
2018/6/1,2718.37
2018/7/1,2816.29
2018/8/1,2901.52
2018/9/1,2913.98
2018/10/1,2711.74
2018/11/1,2760.17
2018/12/1,2506.85
2019/1/1,2704.1
2019/2/1,2784.49
2019/3/1,2834.4
2019/4/1,2945.83
2019/5/1,2752.06
2019/6/1,2941.76
2019/7/1,2980.38
2019/8/1,2926.46
2019/9/1,2976.74
2019/10/1,3037.56
2019/11/1,3140.98
2019/12/1,3230.78
2020/1/1,3225.52
2020/2/1,2954.22
2020/3/1,2584.59
2020/4/1,2912.43
2020/5/1,3044.31
2020/6/1,3100.29
2020/7/1,3271.12
2020/8/1,3500.31
2020/9/1,3363
2020/10/1,3269.96
2020/11/1,3621.63
2020/12/1,3756.07
2021/1/1,3714.24
2021/2/1,3811.15
2021/3/1,3972.89
2021/4/1,4181.17
2021/5/1,4115.68
