date,value
2018/07/20,0.0
2018/07/23,-0.00557081
2018/07/24,-0.0035142
2018/07/25,-0.00171717
2018/07/26,-0.00420306
2018/07/27,-0.00477213
2018/07/30,-0.0052713
2018/07/31,-0.00610992
2018/08/01,-0.00299506
2018/08/02,-0.00652923
2018/08/03,-0.00513153
2018/08/06,-0.00912494
2018/08/07,-0.00740778
2018/08/08,-0.00726801
2018/08/10,-0.00488194
2018/08/13,-0.00517147
2018/08/14,-0.00596017
2018/08/15,-0.00835621
2018/08/16,-0.00802676
2018/08/17,-0.00496181
2018/08/20,-0.00639944
2018/08/21,-0.00545101
2018/08/23,-0.00618979
2018/08/24,-0.00054909
2018/08/27,-0.00179703
2018/08/28,-0.00170718
2018/08/29,-0.00445265
2018/08/30,-0.00535117
2018/08/31,-0.00480208
2018/09/03,-0.00496181
2018/09/04,-0.00622972
2018/09/05,-0.00604003
2018/09/06,-0.00659911
2018/09/07,-0.01037288
2018/09/10,-0.01022313
2018/09/11,-0.01277891
2018/09/12,-0.01204013
2018/09/13,-0.0104827
2018/09/14,-0.01293865
2018/09/17,-0.01077223
2018/09/18,-0.01171068
2018/09/19,-0.01105176
2018/09/20,-0.01016323
2018/09/21,-0.01174063
2018/09/25,-0.01519493
2018/09/26,-0.01435631
2018/09/27,-0.01657266
2018/09/28,-0.01665252
2018/10/02,-0.01417661
2018/10/03,-0.01468577
2018/10/04,-0.01479559
2018/10/05,-0.01386712
2018/10/08,-0.01584386
2018/10/09,-0.01547447
2018/10/11,-0.0112115
2018/10/12,-0.01517496
2018/10/15,-0.0136375
2018/10/16,-0.01364748
2018/10/18,-0.01614336
2018/10/19,-0.01619328
2018/10/22,-0.02006689
2018/10/23,-0.01796037
2018/10/24,-0.01983727
2018/10/25,-0.02094544
2018/10/26,-0.01767084
2018/10/29,-0.01815005
2018/10/30,-0.02141467
2018/10/31,-0.02449958
2018/11/01,-0.02220336
2018/11/02,-0.0212749
2018/11/05,-0.02272251
2018/11/06,-0.02187391
2018/11/07,-0.02107523
2018/11/08,-0.02299206
2018/11/09,-0.02205361
2018/11/12,-0.02258274
2018/11/13,-0.02067588
2018/11/14,-0.01984725
2018/11/15,-0.02166425
2018/11/16,-0.01655269
2018/11/19,-0.01912844
2018/11/20,-0.02024659
2018/11/21,-0.02166425
2018/11/22,-0.02028653
2018/11/23,-0.02186392
2018/11/26,-0.02129486
2018/11/27,-0.0212749
2018/11/28,-0.02124495
2018/11/29,-0.02092547
2018/11/30,-0.02007687
2018/12/03,-0.01324814
2018/12/04,-0.00620975
2018/12/05,-0.00574053
2018/12/06,-0.00916488
2018/12/07,-0.00625967
2018/12/10,-0.00882544
2018/12/11,-0.00869565
2018/12/12,-0.00522138
2018/12/13,-0.00342435
2018/12/14,-0.00481206
2018/12/17,-0.00487196
2018/12/18,-0.00425298
2018/12/19,-0.00562073
2018/12/20,-0.00392353
2018/12/21,-0.0093346
2018/12/24,-0.00550092
2018/12/26,-0.00366395
2018/12/27,-0.00200669
2018/12/28,-0.00407328
2019/01/02,0.00244596
2019/01/03,0.00335447
2019/01/04,0.00478211
2019/01/07,0.00597015
2019/01/08,0.00774722
2019/01/09,0.01044277
2019/01/10,0.01591374
2019/01/11,0.02098537
2019/01/14,0.02074577
2019/01/15,0.02063595
2019/01/16,0.02289223
2019/01/17,0.02283233
2019/01/18,0.01844956
2019/01/21,0.01854939
2019/01/22,0.01871911
2019/01/23,0.02041631
2019/01/24,0.01996705
2019/01/25,0.02529826
2019/01/28,0.02473918
2019/01/29,0.02543803
2019/01/30,0.02875256
2019/01/31,0.03041981
2019/02/01,0.02534818
2019/02/11,0.0255179
2019/02/12,0.02906205
2019/02/13,0.02949134
2019/02/14,0.02881246
2019/02/15,0.03232666
2019/02/18,0.03185744
2019/02/19,0.0324864
2019/02/20,0.0385464
2019/02/21,0.03922528
2019/02/22,0.04028353
2019/02/25,0.04197075
2019/02/26,0.04019368
2019/02/27,0.04055309
2019/03/04,0.038786
2019/03/05,0.0386063
2019/03/06,0.03851645
2019/03/07,0.04106225
2019/03/08,0.03961464
2019/03/11,0.03887585
2019/03/12,0.04156142
2019/03/13,0.04236011
2019/03/14,0.04031348
2019/03/15,0.04343833
2019/03/18,0.04098238
2019/03/19,0.04199072
2019/03/20,0.04453651
2019/03/21,0.04391754
2019/03/22,0.04175111
2019/03/25,0.04342834
2019/03/26,0.04311885
2019/03/27,0.0429092
2019/03/28,0.04214047
2019/03/29,0.043029
2019/04/01,0.04136175
2019/04/02,0.04251984
2019/04/03,0.04255978
2019/04/08,0.0419408
2019/04/09,0.04227025
2019/04/10,0.04160136
2019/04/11,0.04138172
2019/04/12,0.04423701
2019/04/15,0.0420606
2019/04/16,0.04144162
2019/04/17,0.04391754
2019/04/18,0.04279938
2019/04/19,0.04289922
2019/04/22,0.04134179
2019/04/23,0.04017371
2019/04/24,0.04050317
2019/04/25,0.03805721
2019/04/26,0.0413318
2019/04/29,0.04064294
2019/04/30,0.04128188
2019/05/06,0.03755803
2019/05/07,0.03694903
2019/05/08,0.0352119
2019/05/09,0.02911197
2019/05/10,0.03001048
2019/05/13,0.02626666
2019/05/14,0.02635651
2019/05/15,0.02381071
2019/05/16,0.02798383
2019/05/17,0.02695552
2019/05/20,0.02984076
2019/05/21,0.03374432
2019/05/22,0.03719862
2019/05/23,0.03599062
2019/05/24,0.03903559
2019/05/27,0.03564119
2019/05/28,0.03481256
2019/05/29,0.03991414
2019/05/30,0.04113213
2019/05/31,0.03986422
2019/06/03,0.03839665
2019/06/04,0.03782758
2019/06/05,0.03637997
2019/06/06,0.0353317
2019/06/10,0.03285579
2019/06/11,0.03688913
2019/06/12,0.0361204
2019/06/13,0.0376978
2019/06/14,0.03871612
2019/06/17,0.03847651
2019/06/18,0.03977437
2019/06/19,0.03754805
2019/06/20,0.03891579
2019/06/21,0.0388459
2019/06/24,0.0361803
2019/06/25,0.0368492
2019/06/26,0.03768782
2019/06/27,0.03681925
2019/06/28,0.03734838
2019/07/01,0.03795737
2019/07/02,0.03662956
2019/07/03,0.03923526
2019/07/04,0.03977437
2019/07/05,0.03707882
2019/07/08,0.0411521
2019/07/09,0.04065292
2019/07/10,0.03900564
2019/07/11,0.03796735
2019/07/12,0.03870613
2019/07/15,0.03919533
2019/07/16,0.03826686
2019/07/17,0.03795737
2019/07/18,0.03815704
2019/07/19,0.03753806
2019/07/22,0.03970449
2019/07/23,0.03972445
2019/07/24,0.03989417
2019/07/25,0.03940498
2019/07/26,0.03913543
2019/07/29,0.03788749
2019/07/30,0.03843658
2019/07/31,0.03923526
2019/08/01,0.03873609
2019/08/02,0.03790745
2019/08/05,0.03150801
2019/08/06,0.02940149
2019/08/07,0.02771427
2019/08/08,0.02323167
2019/08/12,0.02089552
2019/08/13,0.02556781
2019/08/14,0.02792393
2019/08/15,0.02505865
2019/08/16,0.0249688
2019/08/19,0.02367094
2019/08/20,0.02323167
2019/08/21,0.02210353
2019/08/22,0.0207258
2019/08/23,0.01723157
2019/08/26,0.01604353
2019/08/27,0.01379723
2019/08/28,0.01411671
2019/08/29,0.0160635
2019/08/30,0.01238956
2019/09/02,0.01035292
2019/09/03,0.0101832
2019/09/04,0.01096191
2019/09/05,0.01045275
2019/09/06,0.01326811
2019/09/09,0.01148106
2019/09/10,0.01173064
2019/09/11,0.01102181
2019/09/12,0.00874557
2019/09/16,0.00877552
2019/09/17,0.00652923
2019/09/18,0.00559078
2019/09/19,0.00415315
2019/09/20,0.00089852
2019/09/23,0.00432287
2019/09/24,0.00479209
2019/09/25,0.00359407
2019/09/26,0.00303499
2019/09/27,0.0018769
2019/10/08,-0.00325463
2019/10/09,-0.00136774
2019/10/14,-0.00299506
2019/10/15,-0.00189687
2019/10/16,-0.00338442
2019/10/17,-0.00264563
2019/10/18,-0.00427295
2019/10/21,-0.00449259
2019/10/22,-0.00534119
2019/10/23,-0.00397344
2019/10/24,-0.00438277
2019/10/25,-0.00231618
2019/10/28,-0.00506165
2019/10/29,-0.00520142
2019/10/30,-0.00507163
2019/10/31,-0.00710827
2019/11/01,-0.0077572
2019/11/04,-0.01086208
2019/11/05,-0.00606
2019/11/06,-0.006669
2019/11/07,-0.00296511
2019/11/08,-0.00461239
2019/11/11,-0.00667898
2019/11/12,-0.00599012
2019/11/13,-0.00510158
2019/11/14,-0.00256577
2019/11/15,-0.00087855
2019/11/18,-0.00282534
2019/11/19,-0.00237608
2019/11/20,-0.00425298
2019/11/21,-0.00234613
2019/11/22,-0.00375381
2019/11/25,-0.00207657
2019/11/26,-0.00335447
2019/11/27,-0.00029951
2019/11/28,-0.00252583
2019/11/29,-0.00329456
2019/12/02,-0.00593022
2019/12/03,-0.01707183
2019/12/04,-0.0205461
2019/12/05,-0.01925822
2019/12/06,-0.01737134
2019/12/09,-0.01945789
2019/12/10,-0.02112514
2019/12/11,-0.02289223
2019/12/12,-0.02301203
2019/12/13,-0.0225428
2019/12/16,-0.02110518
2019/12/17,-0.02104528
2019/12/18,-0.0207857
2019/12/19,-0.02174412
2019/12/20,-0.02100534
2019/12/23,-0.02046623
2019/12/24,-0.02023661
2019/12/25,-0.01760096
2019/12/26,-0.01795038
2019/12/27,-0.01581391
2019/12/30,-0.01572406
2019/12/31,-0.01432636
2020/01/02,-0.0118804
2020/01/03,-0.01168073
2020/01/06,-0.01134129
2020/01/07,-0.00822643
2020/01/08,-0.00813657
2020/01/09,-0.00874557
2020/01/10,-0.00606998
2020/01/13,-0.00393351
2020/01/14,-0.00380372
2020/01/15,-0.00450257
2020/01/16,-0.00320471
2020/01/17,-0.00050916
2020/01/20,-0.00033944
2020/01/21,-0.00318475
2020/02/03,-0.00855588
2020/02/04,-0.00910498
2020/02/05,-0.00728797
2020/02/06,-0.0085459
2020/02/07,-0.00962412
2020/02/10,-0.00701842
2020/02/11,-0.00768732
2020/02/12,-0.00883542
2020/02/13,-0.01172066
2020/02/14,-0.01256926
2020/02/17,-0.01052264
2020/02/18,-0.01274896
2020/02/19,-0.0128488
2020/02/20,-0.01493536
2020/02/21,-0.00974392
2020/02/24,-0.00699845
2020/02/25,-0.00732791
2020/02/26,-0.007877
2020/02/27,-0.0076374
2020/03/02,-0.00712824
2020/03/03,-0.0095143
2020/03/04,-0.00218639
2020/03/05,-0.00756751
2020/03/06,-0.00167723
2020/03/09,0.00152748
2020/03/10,-0.00629961
2020/03/11,-0.0015175
2020/03/12,-0.00891529
2020/03/13,-0.01181051
2020/03/16,-0.01060251
2020/03/17,-0.01425648
2020/03/18,-0.01485549
2020/03/19,-0.02367094
2020/03/20,-0.02523836
2020/03/23,-0.02731493
2020/03/24,-0.02046623
2020/03/25,-0.03462287
2020/03/26,-0.02881246
2020/03/27,-0.02947137
2020/03/30,-0.03222683
2020/03/31,-0.02990066
2020/04/01,-0.02601707
2020/04/07,-0.02149453
2020/04/08,-0.01850946
2020/04/09,-0.01992712
2020/04/10,-0.01852943
2020/04/13,-0.01912844
2020/04/14,-0.01995707
2020/04/15,-0.02129486
2020/04/16,-0.01927819
2020/04/17,-0.02094544
2020/04/20,-0.02564768
2020/04/21,-0.02627664
2020/04/22,-0.02464933
2020/04/23,-0.02355114
2020/04/24,-0.02210353
2020/04/27,-0.02304198
2020/04/28,-0.02130485
2020/04/29,-0.023032
2020/04/30,-0.02506864
2020/05/06,-0.03046972
2020/05/07,-0.0303
2020/05/08,-0.02970099
2020/05/11,-0.03549144
2020/05/12,-0.03329506
2020/05/13,-0.03611042
2020/05/14,-0.03587081
2020/05/15,-0.03845655
2020/05/18,-0.03912544
2020/05/19,-0.0385464
2020/05/20,-0.03660959
2020/05/21,-0.03694903
2020/05/22,-0.03821694
2020/05/25,-0.0371487
2020/05/26,-0.04015375
