date,value
2009/04/22,0.0
2009/04/23,0.0
2009/04/24,0.0
2009/04/27,0.0
2009/04/28,0.0
2009/04/29,0.0
2009/04/30,0.001
2009/05/04,0.001
2009/05/05,0.002
2009/05/06,0.003
2009/05/07,0.004
2009/05/08,0.004
2009/05/11,0.003
2009/05/12,0.002
2009/05/13,0.003
2009/05/14,0.001
2009/05/15,0.004
2009/05/18,0.007
2009/05/19,0.01
2009/05/20,0.01
2009/05/21,0.007
2009/05/22,0.003
2009/05/25,0.008
2009/05/26,0.007
2009/05/27,0.017
2009/06/01,0.035
2009/06/02,0.029
2009/06/03,0.034
2009/06/04,0.03
2009/06/05,0.033
2009/06/08,0.026
2009/06/09,0.019
2009/06/10,0.031
2009/06/11,0.031
2009/06/12,0.031
2009/06/15,0.021
2009/06/16,0.01
2009/06/17,0.009
2009/06/18,0.005
2009/06/19,0.007
2009/06/22,0.012
2009/06/23,0.0
2009/06/24,0.008
2009/06/25,0.017
2009/06/26,0.028
2009/06/29,0.026
2009/06/30,0.018
2009/07/02,0.018
2009/07/03,0.02
2009/07/06,0.017
2009/07/07,0.01
2009/07/08,0.001
2009/07/09,0.0
2009/07/10,-0.001
2009/07/13,-0.015
2009/07/14,0.002
2009/07/15,0.016
2009/07/16,0.019
2009/07/17,0.03
2009/07/20,0.055
2009/07/21,0.061
2009/07/22,0.053
2009/07/23,0.073
2009/07/24,0.089
2009/07/27,0.107
2009/07/28,0.128
2009/07/29,0.095
2009/07/30,0.096
2009/07/31,0.115
2009/08/03,0.135
2009/08/04,0.131
2009/08/05,0.114
2009/08/06,0.115
2009/08/10,0.104
2009/08/11,0.11
2009/08/12,0.079
2009/08/13,0.097
2009/08/14,0.095
2009/08/17,0.055
2009/08/18,0.059
2009/08/19,0.047
2009/08/20,0.066
2009/08/21,0.063
2009/08/24,0.078
2009/08/25,0.075
2009/08/26,0.075
2009/08/27,0.059
2009/08/28,0.048
2009/08/31,0.024
2009/09/01,0.029
2009/09/02,0.018
2009/09/03,0.035
2009/09/04,0.06
2009/09/07,0.072
2009/09/08,0.087
2009/09/09,0.08
2009/09/10,0.088
2009/09/11,0.093
2009/09/14,0.084
2009/09/15,0.079
2009/09/16,0.099
2009/09/17,0.114
2009/09/18,0.103
2009/09/21,0.089
2009/09/22,0.099
2009/09/23,0.094
2009/09/24,0.071
2009/09/25,0.069
2009/09/28,0.045
2009/09/29,0.062
2009/09/30,0.053
2009/10/02,0.032
2009/10/05,0.032
2009/10/06,0.053
2009/10/07,0.075
2009/10/08,0.088
2009/10/09,0.093
2009/10/12,0.085
2009/10/13,0.095
2009/10/14,0.114
2009/10/15,0.116
2009/10/16,0.112
2009/10/19,0.131
2009/10/20,0.143
2009/10/21,0.147
2009/10/22,0.143
2009/10/23,0.161
2009/10/27,0.145
2009/10/28,0.124
2009/10/29,0.098
2009/10/30,0.118
2009/11/02,0.116
2009/11/03,0.104
2009/11/04,0.122
2009/11/05,0.117
2009/11/06,0.131
2009/11/09,0.145
2009/11/10,0.143
2009/11/11,0.153
2009/11/12,0.15
2009/11/13,0.156
2009/11/16,0.173
2009/11/17,0.171
2009/11/18,0.168
2009/11/19,0.166
2009/11/20,0.156
2009/11/23,0.168
2009/11/24,0.159
2009/11/25,0.171
2009/11/26,0.155
2009/11/27,0.105
2009/11/30,0.135
2009/12/01,0.155
2009/12/02,0.164
2009/12/03,0.175
2009/12/04,0.172
2009/12/07,0.171
2009/12/08,0.164
2009/12/09,0.145
2009/12/10,0.139
2009/12/11,0.15
2009/12/14,0.159
2009/12/15,0.147
2009/12/16,0.135
2009/12/17,0.119
2009/12/18,0.104
2009/12/21,0.094
2009/12/22,0.099
2009/12/23,0.116
2009/12/24,0.124
2009/12/28,0.126
2009/12/29,0.126
2009/12/30,0.123
2009/12/31,0.133
2010/01/04,0.129
2010/01/05,0.16
2010/01/06,0.169
2010/01/07,0.163
2010/01/08,0.161
2010/01/11,0.166
2010/01/12,0.163
2010/01/13,0.135
2010/01/14,0.137
2010/01/15,0.14
2010/01/18,0.125
2010/01/19,0.133
2010/01/20,0.125
2010/01/21,0.092
2010/01/22,0.083
2010/01/25,0.075
2010/01/26,0.045
2010/01/27,0.036
2010/01/28,0.047
2010/01/29,0.039
2010/02/01,0.045
2010/02/02,0.051
2010/02/03,0.074
2010/02/04,0.056
2010/02/05,0.026
2010/02/08,0.016
2010/02/09,0.02
2010/02/10,0.032
2010/02/22,0.056
2010/02/23,0.065
2010/02/24,0.062
2010/02/25,0.059
2010/02/26,0.065
2010/03/01,0.083
2010/03/02,0.084
2010/03/03,0.086
2010/03/04,0.074
2010/03/05,0.088
2010/03/08,0.106
2010/03/09,0.104
2010/03/10,0.105
2010/03/11,0.107
2010/03/12,0.104
2010/03/15,0.095
2010/03/16,0.089
2010/03/17,0.108
2010/03/18,0.109
2010/03/19,0.114
2010/03/22,0.096
2010/03/23,0.096
2010/03/24,0.098
2010/03/25,0.094
2010/03/26,0.108
2010/03/29,0.115
2010/03/30,0.122
2010/03/31,0.112
2010/04/01,0.132
2010/04/07,0.148
2010/04/08,0.149
2010/04/09,0.156
2010/04/12,0.149
2010/04/13,0.143
2010/04/14,0.139
2010/04/15,0.138
2010/04/16,0.122
2010/04/19,0.098
2010/04/20,0.11
2010/04/21,0.108
2010/04/22,0.109
2010/04/23,0.103
2010/04/26,0.117
2010/04/27,0.103
2010/04/28,0.09
2010/04/29,0.078
2010/04/30,0.092
2010/05/03,0.082
2010/05/04,0.076
2010/05/05,0.053
2010/05/06,0.036
2010/05/07,0.026
2010/05/10,0.046
2010/05/11,0.042
2010/05/12,0.047
2010/05/13,0.059
2010/05/14,0.052
2010/05/17,0.031
2010/05/18,0.031
2010/05/19,0.012
2010/05/20,-0.001
2010/05/24,0.014
2010/05/25,-0.018
2010/05/26,-0.005
2010/05/27,0.016
2010/05/28,0.035
2010/05/31,0.036
2010/06/01,0.025
2010/06/02,0.018
2010/06/03,0.032
2010/06/04,0.035
2010/06/07,0.017
2010/06/08,0.019
2010/06/09,0.021
2010/06/10,0.022
2010/06/11,0.036
2010/06/14,0.046
2010/06/15,0.046
2010/06/17,0.053
2010/06/18,0.055
2010/06/21,0.081
2010/06/22,0.078
2010/06/23,0.079
2010/06/24,0.072
2010/06/25,0.066
2010/06/28,0.063
2010/06/29,0.039
2010/06/30,0.035
2010/07/02,0.021
2010/07/05,0.014
2010/07/06,0.024
2010/07/07,0.015
2010/07/08,0.026
2010/07/09,0.046
2010/07/12,0.056
2010/07/13,0.051
2010/07/14,0.055
2010/07/15,0.04
2010/07/16,0.038
2010/07/19,0.031
2010/07/20,0.044
2010/07/21,0.058
2010/07/22,0.068
2010/07/23,0.081
2010/07/26,0.078
2010/07/27,0.081
2010/07/28,0.083
2010/07/29,0.083
2010/07/30,0.08
2010/08/02,0.094
2010/08/03,0.091
2010/08/04,0.094
2010/08/05,0.092
2010/08/06,0.095
2010/08/09,0.1
2010/08/10,0.087
2010/08/11,0.076
2010/08/12,0.067
2010/08/13,0.069
2010/08/16,0.072
2010/08/17,0.077
2010/08/18,0.075
2010/08/19,0.078
2010/08/20,0.075
2010/08/23,0.07
2010/08/24,0.065
2010/08/25,0.061
2010/08/26,0.059
2010/08/27,0.052
2010/08/30,0.061
2010/08/31,0.056
2010/09/01,0.064
2010/09/02,0.081
2010/09/03,0.084
2010/09/06,0.101
2010/09/07,0.105
2010/09/08,0.094
2010/09/09,0.1
2010/09/10,0.101
2010/09/13,0.118
2010/09/14,0.122
2010/09/15,0.122
2010/09/16,0.118
2010/09/17,0.132
2010/09/20,0.137
2010/09/21,0.141
2010/09/24,0.144
2010/09/27,0.154
2010/09/28,0.14
2010/09/29,0.154
2010/09/30,0.154
2010/10/04,0.171
2010/10/05,0.167
2010/10/06,0.171
2010/10/07,0.169
2010/10/08,0.168
2010/10/11,0.178
2010/10/12,0.175
2010/10/13,0.189
2010/10/14,0.198
2010/10/15,0.194
2010/10/18,0.18
2010/10/19,0.199
2010/10/20,0.186
2010/10/21,0.19
2010/10/22,0.19
2010/10/25,0.195
2010/10/26,0.197
2010/10/27,0.173
2010/10/28,0.168
2010/10/29,0.164
2010/11/01,0.191
2010/11/02,0.195
2010/11/03,0.209
2010/11/04,0.222
2010/11/05,0.234
2010/11/08,0.25
2010/11/09,0.241
2010/11/10,0.23
2010/11/11,0.234
2010/11/12,0.212
2010/11/15,0.195
2010/11/16,0.179
2010/11/17,0.151
2010/11/18,0.175
2010/11/19,0.176
2010/11/22,0.175
2010/11/23,0.151
2010/11/24,0.156
2010/11/25,0.165
2010/11/26,0.154
2010/11/29,0.158
2010/11/30,0.157
2010/12/01,0.171
2010/12/02,0.178
2010/12/03,0.172
2010/12/06,0.164
2010/12/07,0.176
2010/12/08,0.165
2010/12/09,0.156
2010/12/10,0.15
2010/12/13,0.153
2010/12/14,0.156
2010/12/15,0.138
2010/12/16,0.123
2010/12/17,0.128
2010/12/20,0.122
2010/12/21,0.135
2010/12/22,0.137
2010/12/23,0.127
2010/12/24,0.123
2010/12/28,0.107
2010/12/29,0.121
2010/12/30,0.122
2010/12/31,0.134
2011/01/03,0.147
2011/01/04,0.161
2011/01/05,0.16
2011/01/06,0.155
2011/01/07,0.136
