date,value
2007/10/01,0.0
2007/10/02,0.01142857
2007/10/03,0.00857143
2007/10/04,0.00214286
2007/10/05,0.00785714
2007/10/08,0.015
2007/10/09,0.01142857
2007/10/11,0.02785714
2007/10/12,0.01928571
2007/10/15,0.02285714
2007/10/16,0.00857143
2007/10/17,0.00428571
2007/10/18,0.00928571
2007/10/19,0.00357143
2007/10/22,-0.02428571
2007/10/23,-0.00928571
2007/10/24,-0.01071429
2007/10/25,-0.00357143
2007/10/26,0.00928571
2007/10/29,0.03357143
2007/10/30,0.02571429
2007/10/31,0.02571429
2007/11/01,0.02571429
2007/11/02,0.00357143
2007/11/05,-0.00714286
2007/11/06,0.00285714
2007/11/07,0.01142857
2007/11/08,-0.01142857
2007/11/09,-0.01214286
2007/11/12,-0.04214286
2007/11/13,-0.04
2007/11/14,-0.02142857
2007/11/15,-0.03142857
2007/11/16,-0.04214286
2007/11/19,-0.04
2007/11/20,-0.05142857
2007/11/21,-0.07285714
2007/11/22,-0.07785714
2007/11/23,-0.07857143
2007/11/26,-0.05785714
2007/11/27,-0.06857143
2007/11/28,-0.07214286
2007/11/29,-0.05214286
2007/11/30,-0.04571429
2007/12/03,-0.04571429
2007/12/04,-0.04642857
2007/12/05,-0.045
2007/12/06,-0.03642857
2007/12/07,-0.03285714
2007/12/10,-0.03571429
2007/12/11,-0.025
2007/12/12,-0.03642857
2007/12/13,-0.04642857
2007/12/14,-0.06
2007/12/17,-0.08857143
2007/12/18,-0.09
2007/12/19,-0.08428571
2007/12/20,-0.09142857
2007/12/21,-0.07642857
2007/12/24,-0.06357143
2007/12/27,-0.05928571
2007/12/28,-0.06
2007/12/31,-0.05285714
2008/01/02,-0.06142857
2008/01/03,-0.075
2008/01/04,-0.07214286
2008/01/07,-0.09071429
2008/01/08,-0.08714286
2008/01/09,-0.08571429
2008/01/10,-0.08928571
2008/01/11,-0.08857143
2008/01/14,-0.08928571
2008/01/15,-0.09928571
2008/01/16,-0.13012257
2008/01/17,-0.12223411
2008/01/18,-0.12151714
2008/01/21,-0.14589948
2008/01/22,-0.18534086
2008/01/23,-0.16741304
2008/01/24,-0.16095852
2008/01/25,-0.13514225
2008/01/28,-0.15020219
2008/01/29,-0.14016193
2008/01/30,-0.15020219
2008/01/31,-0.14661645
2008/02/01,-0.13370831
2008/02/12,-0.1638273
2008/02/13,-0.16884698
2008/02/14,-0.15091916
2008/02/15,-0.15307007
2008/02/18,-0.15378794
2008/02/19,-0.14661645
2008/02/20,-0.16239336
2008/02/21,-0.15952459
2008/02/22,-0.16239336
2008/02/25,-0.15809065
2008/02/26,-0.15809065
2008/02/27,-0.15163613
2008/02/29,-0.16024155
2008/03/03,-0.17817027
2008/03/04,-0.18247298
2008/03/05,-0.1867757
2008/03/06,-0.17817027
2008/03/07,-0.19466415
2008/03/10,-0.21259197
2008/03/11,-0.21044106
2008/03/12,-0.19896686
2008/03/13,-0.21832952
2008/03/14,-0.21761165
2008/03/17,-0.23625734
2008/03/18,-0.23267159
2008/03/19,-0.21832952
2008/03/20,-0.23052069
2008/03/24,-0.22693494
2008/03/25,-0.211875
2008/03/26,-0.20900623
2008/03/27,-0.20757229
2008/03/28,-0.19896686
2008/03/31,-0.2004008
2008/04/01,-0.20111777
2008/04/02,-0.18534086
2008/04/03,-0.17888724
2008/04/07,-0.1753015
2008/04/08,-0.18032118
2008/04/09,-0.18462389
2008/04/10,-0.18247298
2008/04/11,-0.17673543
2008/04/14,-0.18820963
2008/04/15,-0.18605873
2008/04/16,-0.18028155
2008/04/17,-0.17378109
2008/04/18,-0.17955827
2008/04/21,-0.16944775
2008/04/22,-0.1708916
2008/04/23,-0.16583679
2008/04/24,-0.16655916
2008/04/25,-0.16655916
2008/04/28,-0.15861396
2008/04/29,-0.16078108
2008/04/30,-0.15861396
2008/05/02,-0.15067056
2008/05/05,-0.14922582
2008/05/06,-0.15211441
2008/05/07,-0.15861396
2008/05/08,-0.15861396
2008/05/09,-0.16655916
2008/05/12,-0.16150255
2008/05/13,-0.15428063
2008/05/14,-0.15283678
2008/05/15,-0.14778107
2008/05/16,-0.14417011
2008/05/19,-0.14128152
2008/05/20,-0.15067056
2008/05/21,-0.1550039
2008/05/22,-0.16583679
2008/05/23,-0.16728154
2008/05/26,-0.17739205
2008/05/27,-0.17161487
2008/05/28,-0.17594821
2008/05/29,-0.17233635
2008/05/30,-0.17233635
2008/06/02,-0.17594821
2008/06/03,-0.18389161
2008/06/04,-0.18100302
2008/06/05,-0.18317014
2008/06/06,-0.18172539
2008/06/09,-0.18967059
2008/06/10,-0.20844778
2008/06/11,-0.20917016
2008/06/12,-0.22289164
2008/06/13,-0.2265026
2008/06/16,-0.21928067
2008/06/17,-0.21566971
2008/06/18,-0.21494734
2008/06/19,-0.2265026
2008/06/20,-0.23011446
2008/06/23,-0.23589165
2008/06/24,-0.24022498
2008/06/25,-0.23300306
2008/06/26,-0.22939209
2008/06/27,-0.24094736
2008/06/30,-0.24311447
2008/07/01,-0.24817018
2008/07/02,-0.25466974
2008/07/03,-0.26189166
2008/07/04,-0.266225
2008/07/07,-0.26478026
2008/07/08,-0.27561405
2008/07/09,-0.26333551
2008/07/10,-0.26261404
2008/07/11,-0.25539211
2008/07/14,-0.26044692
2008/07/15,-0.27646162
2008/07/16,-0.27864495
2008/07/17,-0.2706385
2008/07/18,-0.2706385
2008/07/21,-0.25244047
2008/07/22,-0.25316825
2008/07/23,-0.24079423
2008/07/24,-0.23569799
2008/07/25,-0.24807291
2008/07/29,-0.26044692
2008/07/30,-0.25171179
2008/07/31,-0.24952846
2008/08/01,-0.25244047
2008/08/04,-0.25753581
2008/08/05,-0.26554226
2008/08/06,-0.25171179
2008/08/07,-0.25025624
2008/08/08,-0.25244047
2008/08/11,-0.2451618
2008/08/12,-0.24952846
2008/08/13,-0.25826359
2008/08/14,-0.2546247
2008/08/15,-0.25972004
2008/08/18,-0.26335893
2008/08/19,-0.2706385
2008/08/20,-0.26335893
2008/08/21,-0.27427739
2008/08/22,-0.27209406
2008/08/25,-0.26481448
2008/08/26,-0.27136628
2008/08/27,-0.25972004
2008/08/28,-0.26190337
2008/08/29,-0.25680803
2008/09/01,-0.26918205
2008/09/02,-0.27136628
2008/09/03,-0.27937273
2008/09/04,-0.28592452
2008/09/05,-0.30048277
2008/09/08,-0.27500516
2008/09/09,-0.28738008
2008/09/10,-0.29465875
2008/09/11,-0.3121281
2008/09/12,-0.30339388
2008/09/15,-0.30994477
2008/09/16,-0.33178259
2008/09/17,-0.33396592
2008/09/18,-0.33978904
2008/09/19,-0.31722434
2008/09/22,-0.30630589
2008/09/23,-0.31431234
2008/09/24,-0.31285588
2008/09/25,-0.31431234
2008/09/26,-0.32304746
2008/09/30,-0.34779639
2008/10/01,-0.34124459
2008/10/02,-0.34706861
2008/10/03,-0.35653062
2008/10/06,-0.38564711
2008/10/07,-0.39438223
2008/10/08,-0.43951162
2008/10/09,-0.42786629
2008/10/13,-0.43732829
2008/10/14,-0.40748402
2008/10/15,-0.42495338
2008/10/16,-0.45506425
2008/10/17,-0.46240958
2008/10/20,-0.44331444
