date,value
1999/04/21,0.0
1999/04/22,0.0
1999/04/23,0.0
1999/04/26,-0.001
1999/04/27,-0.002
1999/04/28,-0.005
1999/04/29,-0.015
1999/04/30,-0.009
1999/05/03,-0.004
1999/05/04,0.007
1999/05/05,0.008
1999/05/06,0.009
1999/05/07,0.002
1999/05/10,0.002
1999/05/11,-0.004
1999/05/12,-0.006
1999/05/13,-0.01
1999/05/14,0.009
1999/05/15,0.014
1999/05/17,0.018
1999/05/18,0.027
1999/05/19,0.028
1999/05/20,0.031
1999/05/21,0.033
1999/05/24,0.041
1999/05/25,0.02
1999/05/26,0.015
1999/05/27,0.027
1999/05/28,0.019
1999/05/29,0.03
1999/05/31,0.021
1999/06/01,0.024
1999/06/02,0.04
1999/06/03,0.045
1999/06/04,0.047
1999/06/05,0.058
1999/06/07,0.084
1999/06/08,0.104
1999/06/09,0.125
1999/06/10,0.123
1999/06/11,0.104
1999/06/14,0.102
1999/06/15,0.108
1999/06/16,0.137
1999/06/17,0.18
1999/06/21,0.191
1999/06/22,0.228
1999/06/23,0.21
1999/06/24,0.234
1999/06/25,0.185
1999/06/28,0.189
1999/06/29,0.227
1999/06/30,0.224
1999/07/02,0.245
1999/07/03,0.24
1999/07/05,0.231
1999/07/06,0.219
1999/07/07,0.223
1999/07/08,0.243
1999/07/09,0.253
1999/07/12,0.26
1999/07/13,0.231
1999/07/14,0.183
1999/07/15,0.182
1999/07/16,0.136
1999/07/17,0.122
1999/07/19,0.133
1999/07/20,0.189
1999/07/21,0.191
1999/07/22,0.187
1999/07/23,0.175
1999/07/26,0.165
1999/07/27,0.127
1999/07/28,0.144
1999/07/29,0.119
1999/07/30,0.116
1999/07/31,0.108
1999/08/02,0.083
1999/08/03,0.081
1999/08/04,0.079
1999/08/05,0.065
1999/08/06,0.061
1999/08/07,0.099
1999/08/09,0.103
1999/08/10,0.137
1999/08/11,0.138
1999/08/12,0.154
1999/08/13,0.179
1999/08/16,0.225
1999/08/17,0.23
1999/08/18,0.216
1999/08/19,0.224
1999/08/20,0.251
1999/08/21,0.241
1999/08/23,0.24
1999/08/24,0.229
1999/08/25,0.257
1999/08/26,0.259
1999/08/27,0.247
1999/08/30,0.255
1999/08/31,0.268
1999/09/01,0.291
1999/09/02,0.291
1999/09/03,0.269
1999/09/04,0.277
1999/09/06,0.28
1999/09/07,0.251
1999/09/08,0.265
1999/09/09,0.268
1999/09/10,0.277
1999/09/13,0.268
1999/09/14,0.251
1999/09/15,0.234
1999/09/16,0.227
1999/09/17,0.216
1999/09/18,0.233
1999/09/20,0.231
1999/09/27,0.202
1999/09/28,0.175
1999/09/29,0.194
1999/09/30,0.202
1999/10/01,0.214
1999/10/02,0.202
1999/10/04,0.197
1999/10/05,0.179
1999/10/06,0.169
1999/10/07,0.185
1999/10/08,0.179
1999/10/11,0.183
1999/10/12,0.229
1999/10/13,0.246
1999/10/14,0.258
1999/10/15,0.255
1999/10/16,0.254
1999/10/18,0.247
1999/10/19,0.233
1999/10/20,0.218
1999/10/21,0.218
1999/10/22,0.202
1999/10/25,0.217
1999/10/26,0.22
1999/10/27,0.233
1999/10/28,0.233
1999/10/29,0.247
1999/10/30,0.285
1999/11/01,0.289
1999/11/02,0.273
1999/11/03,0.248
1999/11/04,0.235
1999/11/05,0.251
1999/11/06,0.244
1999/11/08,0.252
1999/11/09,0.25
1999/11/10,0.246
1999/11/11,0.269
1999/11/15,0.284
1999/11/16,0.293
1999/11/17,0.322
1999/11/18,0.349
1999/11/19,0.365
1999/11/20,0.401
1999/11/22,0.418
1999/11/23,0.403
1999/11/24,0.386
1999/11/25,0.393
1999/11/26,0.332
1999/11/29,0.366
1999/11/30,0.343
1999/12/01,0.362
1999/12/02,0.365
1999/12/03,0.396
1999/12/04,0.421
1999/12/06,0.427
1999/12/07,0.416
1999/12/08,0.417
1999/12/09,0.413
1999/12/10,0.403
1999/12/13,0.463
1999/12/14,0.472
1999/12/15,0.504
1999/12/16,0.477
1999/12/17,0.485
1999/12/18,0.5
1999/12/20,0.501
1999/12/21,0.544
1999/12/22,0.528
1999/12/23,0.553
1999/12/24,0.59
1999/12/27,0.652
1999/12/28,0.663
2000/01/04,0.718
2000/01/05,0.745
2000/01/06,0.728
2000/01/07,0.729
2000/01/10,0.776
2000/01/11,0.718
2000/01/12,0.721
2000/01/13,0.691
2000/01/14,0.692
2000/01/15,0.736
2000/01/17,0.741
2000/01/18,0.722
2000/01/19,0.706
2000/01/20,0.73
2000/01/21,0.763
2000/01/24,0.787
2000/01/25,0.779
2000/01/26,0.825
2000/01/27,0.811
2000/01/28,0.785
2000/01/29,0.794
2000/01/31,0.836
2000/02/01,0.86
2000/02/09,0.909
2000/02/10,0.899
2000/02/11,0.919
2000/02/14,0.867
2000/02/15,0.871
2000/02/16,0.902
2000/02/17,0.923
2000/02/18,0.913
2000/02/19,0.922
2000/02/21,0.829
2000/02/22,0.787
2000/02/23,0.788
2000/02/24,0.811
2000/02/25,0.78
2000/02/29,0.808
2000/03/01,0.859
2000/03/02,0.857
2000/03/03,0.87
2000/03/04,0.868
2000/03/06,0.852
2000/03/07,0.838
2000/03/08,0.86
2000/03/09,0.919
2000/03/10,0.906
2000/03/13,0.79
2000/03/14,0.771
2000/03/15,0.71
2000/03/16,0.699
2000/03/17,0.711
2000/03/20,0.672
2000/03/21,0.774
2000/03/22,0.846
2000/03/23,0.949
2000/03/24,0.99
2000/03/27,1.072
2000/03/28,1.09
2000/03/29,1.093
2000/03/30,1.092
2000/03/31,1.044
2000/04/01,1.132
2000/04/05,1.166
2000/04/06,1.114
2000/04/07,1.104
2000/04/08,1.126
2000/04/10,1.179
2000/04/11,1.152
2000/04/12,1.098
2000/04/13,1.048
2000/04/14,0.957
2000/04/15,0.867
2000/04/17,0.933
2000/04/18,0.999
2000/04/19,0.95
2000/04/20,0.938
2000/04/21,0.941
2000/04/24,0.858
2000/04/25,0.916
2000/04/26,0.842
2000/04/27,0.859
2000/04/28,0.93
2000/04/29,0.924
2000/05/02,0.9
2000/05/03,0.848
2000/05/04,0.806
2000/05/05,0.869
2000/05/06,0.849
2000/05/08,0.826
2000/05/09,0.821
2000/05/10,0.806
2000/05/11,0.744
2000/05/12,0.779
2000/05/15,0.749
2000/05/16,0.837
2000/05/17,0.926
2000/05/18,0.937
2000/05/19,0.94
2000/05/20,0.87
2000/05/22,0.87
2000/05/23,0.839
2000/05/24,0.785
2000/05/25,0.761
2000/05/26,0.796
2000/05/29,0.81
2000/05/30,0.848
2000/05/31,0.899
2000/06/01,0.887
2000/06/02,0.903
2000/06/03,0.914
2000/06/05,0.922
2000/06/07,0.989
2000/06/08,0.959
2000/06/09,0.975
2000/06/12,0.974
2000/06/13,0.961
2000/06/14,0.99
2000/06/15,0.97
2000/06/16,0.958
2000/06/17,0.938
2000/06/19,0.928
2000/06/20,0.9
2000/06/21,0.903
2000/06/22,0.946
2000/06/23,0.929
2000/06/26,0.886
2000/06/27,0.845
2000/06/28,0.851
2000/06/29,0.804
2000/06/30,0.813
2000/07/03,0.771
2000/07/04,0.718
2000/07/05,0.806
2000/07/06,0.762
2000/07/07,0.73
2000/07/10,0.721
2000/07/11,0.726
2000/07/12,0.732
2000/07/13,0.8
2000/07/14,0.851
2000/07/15,0.855
2000/07/17,0.838
2000/07/18,0.793
2000/07/19,0.815
2000/07/20,0.759
2000/07/21,0.748
2000/07/24,0.726
2000/07/25,0.69
2000/07/26,0.698
2000/07/27,0.688
2000/07/28,0.714
2000/07/29,0.712
2000/07/31,0.691
2000/08/01,0.659
2000/08/02,0.619
2000/08/03,0.612
2000/08/04,0.63
2000/08/05,0.605
2000/08/07,0.595
2000/08/08,0.621
2000/08/09,0.702
2000/08/10,0.709
2000/08/11,0.706
2000/08/14,0.671
2000/08/15,0.685
2000/08/16,0.742
2000/08/17,0.794
2000/08/18,0.785
2000/08/19,0.821
2000/08/21,0.83
2000/08/22,0.789
2000/08/24,0.802
2000/08/25,0.791
2000/08/28,0.728
2000/08/29,0.743
2000/08/30,0.686
2000/08/31,0.71
2000/09/01,0.676
2000/09/02,0.736
2000/09/04,0.77
2000/09/05,0.769
2000/09/06,0.739
2000/09/07,0.685
2000/09/08,0.639
2000/09/11,0.623
2000/09/13,0.66
2000/09/14,0.601
2000/09/15,0.61
2000/09/16,0.615
2000/09/18,0.584
2000/09/19,0.546
2000/09/20,0.554
2000/09/21,0.538
2000/09/22,0.454
2000/09/25,0.447
2000/09/26,0.459
2000/09/27,0.426
2000/09/28,0.401
2000/09/29,0.359
2000/09/30,0.314
2000/10/02,0.273
2000/10/03,0.256
2000/10/04,0.218
2000/10/05,0.212
2000/10/06,0.284
2000/10/07,0.298
2000/10/09,0.266
2000/10/11,0.233
2000/10/12,0.176
2000/10/13,0.169
2000/10/16,0.109
2000/10/17,0.093
2000/10/18,0.028
2000/10/19,-0.037
2000/10/20,0.02
2000/10/21,0.07
2000/10/23,0.094
2000/10/24,0.154
2000/10/25,0.188
2000/10/26,0.173
2000/10/27,0.144
2000/10/30,0.108
2000/10/31,0.079
2000/11/01,0.053
2000/11/02,0.089
2000/11/03,0.136
2000/11/04,0.118
2000/11/06,0.119
2000/11/07,0.179
2000/11/08,0.219
2000/11/09,0.235
2000/11/10,0.22
2000/11/13,0.15
2000/11/14,0.142
2000/11/15,0.139
2000/11/16,0.107
2000/11/17,0.122
2000/11/18,0.078
2000/11/20,0.015
2000/11/21,0.078
2000/11/22,0.095
2000/11/23,0.103
2000/11/24,0.149
2000/11/27,0.145
2000/11/28,0.131
2000/11/29,0.114
2000/11/30,0.096
2000/12/01,0.107
2000/12/02,0.084
2000/12/04,0.06
2000/12/05,0.064
2000/12/06,0.058
2000/12/07,0.067
2000/12/08,0.072
2000/12/11,0.077
2000/12/12,0.101
2000/12/13,0.106
