date,value
2007/10/05,0.0
2007/10/08,-0.00578871
2007/10/09,0.00144718
2007/10/11,0.00578871
2007/10/12,-0.00506512
2007/10/15,-0.01374819
2007/10/16,-0.03328509
2007/10/17,-0.03473227
2007/10/18,-0.03545586
2007/10/19,-0.052822
2007/10/22,-0.06150507
2007/10/23,-0.0463097
2007/10/24,-0.04775687
2007/10/25,-0.0397974
2007/10/26,-0.02821997
2007/10/29,-0.02243126
2007/10/30,-0.02170767
2007/10/31,-0.01013025
2007/11/01,-0.02532562
2007/11/02,-0.04848046
2007/11/05,-0.06222865
2007/11/06,-0.05571635
2007/11/07,-0.06150507
2007/11/08,-0.07742402
2007/11/09,-0.08465991
2007/11/12,-0.0984081
2007/11/13,-0.08176556
2007/11/14,-0.07670043
2007/11/15,-0.08972504
2007/11/16,-0.10636758
2007/11/19,-0.1186686
2007/11/20,-0.12011577
2007/11/21,-0.13241679
2007/11/22,-0.12952243
2007/11/23,-0.11722142
2007/11/26,-0.1251809
2007/11/27,-0.1251809
2007/11/28,-0.11287988
2007/11/29,-0.10130246
2007/11/30,-0.09044863
2007/12/03,-0.08972504
2007/12/04,-0.10347323
2007/12/05,-0.0918958
2007/12/06,-0.07742402
2007/12/07,-0.07525326
2007/12/10,-0.06729378
2007/12/11,-0.08031838
2007/12/12,-0.08900145
2007/12/13,-0.10853835
2007/12/14,-0.13024602
2007/12/17,-0.16931983
2007/12/18,-0.16208394
2007/12/19,-0.15484805
2007/12/20,-0.15484805
2007/12/21,-0.14327062
2007/12/24,-0.12735166
2007/12/26,-0.1251809
2007/12/27,-0.13458755
2007/12/28,-0.14037627
2007/12/31,-0.13024602
2008/01/02,-0.13603473
2008/01/03,-0.14761216
2008/01/04,-0.16642547
2008/01/07,-0.17510854
2008/01/08,-0.18668596
2008/01/09,-0.18089725
2008/01/10,-0.18523878
2008/01/11,-0.19175109
2008/01/14,-0.18885673
2008/01/15,-0.20839363
2008/01/16,-0.21057055
2008/01/17,-0.20621671
2008/01/18,-0.2054916
2008/01/21,-0.22217946
2008/01/22,-0.22508228
2008/01/23,-0.18662604
2008/01/24,-0.17864507
2008/01/25,-0.16558435
2008/01/28,-0.16413334
2008/01/29,-0.16123131
2008/01/30,-0.17574224
2008/01/31,-0.16268232
2008/02/01,-0.14744469
2008/02/12,-0.19750984
2008/02/13,-0.19968675
2008/02/14,-0.19750984
2008/02/15,-0.19605882
2008/02/18,-0.1938819
2008/02/19,-0.19243089
2008/02/20,-0.20331469
2008/02/21,-0.20984465
2008/02/22,-0.20839363
2008/02/25,-0.19749005
2008/02/26,-0.19385578
2008/02/27,-0.1924016
2008/02/29,-0.20984781
2008/03/03,-0.21566295
2008/03/04,-0.22729323
2008/03/05,-0.22365897
2008/03/06,-0.23310837
2008/03/07,-0.24619284
2008/03/10,-0.26000399
2008/03/11,-0.23819682
2008/03/12,-0.23456256
2008/03/13,-0.23819682
2008/03/14,-0.24473945
2008/03/17,-0.25493534
2008/03/18,-0.23235872
2008/03/19,-0.22944482
2008/03/20,-0.23381449
2008/03/24,-0.23381449
2008/03/25,-0.21851986
2008/03/26,-0.21997642
2008/03/27,-0.21633582
2008/03/28,-0.21415099
2008/03/31,-0.20978053
2008/04/01,-0.18938796
2008/04/02,-0.17482081
2008/04/03,-0.16899538
2008/04/07,-0.17263598
2008/04/08,-0.17627816
2008/04/09,-0.19084372
2008/04/10,-0.19375762
2008/04/11,-0.19739901
2008/04/14,-0.20832397
2008/04/15,-0.19958385
2008/04/16,-0.18280179
2008/04/17,-0.17842342
2008/04/18,-0.17696448
2008/04/21,-0.17550555
2008/04/22,-0.17915407
2008/04/23,-0.16966825
2008/04/24,-0.1725869
2008/04/25,-0.17039811
2008/04/28,-0.15945336
2008/04/29,-0.16237201
2008/04/30,-0.16820853
2008/05/02,-0.15288699
