date,value
2002/06/21,0.0
2002/06/24,0.0
2002/06/25,0.0
2002/06/26,0.0
2002/06/27,-0.001
2002/06/28,-0.001
2002/07/01,-0.001
2002/07/02,-0.006
2002/07/03,-0.005
2002/07/04,-0.005
2002/07/05,0.002
2002/07/08,0.0
2002/07/09,-0.005
2002/07/10,-0.012
2002/07/11,-0.012
2002/07/12,-0.013
2002/07/15,-0.016
2002/07/16,-0.02
2002/07/17,-0.017
2002/07/18,-0.02
2002/07/19,-0.034
2002/07/22,-0.042
2002/07/23,-0.044
2002/07/24,-0.031
2002/07/25,-0.036
2002/07/26,-0.026
2002/07/29,-0.008
2002/07/30,-0.006
2002/07/31,-0.007
2002/08/01,-0.02
2002/08/02,-0.028
2002/08/05,-0.043
2002/08/06,-0.033
2002/08/07,-0.023
2002/08/08,-0.012
2002/08/09,-0.008
2002/08/12,-0.011
2002/08/13,-0.016
2002/08/14,-0.006
2002/08/15,0.006
2002/08/16,0.011
2002/08/19,0.024
2002/08/20,0.018
2002/08/21,0.027
2002/08/22,0.032
2002/08/23,0.021
2002/08/26,0.018
2002/08/27,0.014
2002/08/28,0.0
2002/08/29,0.0
2002/08/30,0.0
2002/09/02,-0.003
2002/09/03,-0.022
2002/09/04,-0.017
2002/09/05,-0.022
2002/09/09,-0.008
2002/09/10,0.0
2002/09/11,0.006
2002/09/12,-0.012
2002/09/13,-0.015
2002/09/16,-0.013
2002/09/17,-0.02
2002/09/18,-0.027
2002/09/19,-0.04
2002/09/20,-0.044
2002/09/23,-0.053
2002/09/24,-0.061
2002/09/25,-0.048
2002/09/26,-0.028
2002/09/27,-0.041
2002/09/30,-0.057
2002/10/01,-0.04
2002/10/02,-0.04
2002/10/03,-0.046
2002/10/04,-0.062
2002/10/07,-0.071
2002/10/08,-0.066
2002/10/09,-0.072
2002/10/11,-0.021
2002/10/14,-0.02
2002/10/15,0.018
2002/10/16,-0.012
2002/10/17,0.007
2002/10/18,0.012
2002/10/21,0.025
2002/10/22,0.016
