date,value
2016/03/29,0.0
2016/03/30,-7.998e-05
2016/03/31,-0.00017996
2016/04/01,-0.00012997
2016/04/06,0.00054988
2016/04/07,0.00127972
2016/04/08,0.00102977
2016/04/11,0.00098978
2016/04/12,0.0004499
2016/04/13,0.00065985
2016/04/14,0.00077983
2016/04/15,0.00129971
2016/04/18,0.00133971
2016/04/19,0.00078983
2016/04/20,0.00054988
2016/04/21,3.999e-05
2016/04/22,-0.00036992
2016/04/25,-0.00074984
2016/04/26,-0.00177961
2016/04/27,-9.998e-05
2016/04/28,0.00163964
2016/04/29,0.00229949
2016/05/03,0.00301934
2016/05/04,0.00395913
2016/05/05,0.00399912
2016/05/06,0.00442903
2016/05/09,0.00485893
2016/05/10,0.00539881
2016/05/11,0.00569875
2016/05/12,0.00585871
2016/05/13,0.00673852
2016/05/16,0.00688848
2016/05/17,0.00645858
2016/05/18,0.00594869
2016/05/19,0.00505889
2016/05/20,0.00528884
2016/05/23,0.00507888
2016/05/24,0.00569875
2016/05/25,0.00551879
2016/05/26,0.00560877
2016/05/27,0.00638859
2016/05/30,0.00653856
2016/05/31,0.0063586
2016/06/01,0.00695847
2016/06/02,0.00663854
2016/06/03,0.00586871
2016/06/06,0.00740837
2016/06/07,0.00755834
2016/06/08,0.0077283
2016/06/13,0.00675851
2016/06/14,0.00610866
2016/06/15,0.00531883
2016/06/16,0.00555878
2016/06/17,0.0059087
2016/06/20,0.00599868
2016/06/21,0.00701846
2016/06/22,0.00741837
2016/06/23,0.00879806
2016/06/24,0.0086581
2016/06/27,0.00668853
2016/06/28,0.0068185
2016/06/29,0.0081782
2016/06/30,0.0086581
2016/07/01,0.01074764
2016/07/04,0.01132751
2016/07/05,0.01208734
2016/07/06,0.01350703
2016/07/07,0.01305713
2016/07/11,0.01373698
2016/07/12,0.01324709
2016/07/13,0.01343704
2016/07/14,0.01332707
2016/07/15,0.01328708
2016/07/18,0.01382696
2016/07/19,0.01366699
2016/07/20,0.01446682
2016/07/21,0.01441683
2016/07/22,0.0154766
2016/07/25,0.01601648
2016/07/26,0.01631641
2016/07/27,0.01601648
2016/07/28,0.01701626
2016/07/29,0.01659635
2016/08/01,0.01715623
2016/08/02,0.01716622
2016/08/03,0.01665634
2016/08/04,0.01706625
2016/08/05,0.018186
2016/08/08,0.01754614
2016/08/09,0.01789606
2016/08/10,0.01796605
2016/08/11,0.01935574
2016/08/12,0.01985563
2016/08/15,0.02070544
2016/08/16,0.02010558
2016/08/17,0.02127532
2016/08/18,0.02150527
2016/08/19,0.02329488
2016/08/22,0.02443462
2016/08/23,0.02405471
2016/08/24,0.0250045
2016/08/25,0.02464458
2016/08/26,0.02531443
2016/08/29,0.02493451
2016/08/30,0.02515447
2016/08/31,0.02457459
2016/09/01,0.02384475
2016/09/02,0.02376477
2016/09/05,0.02371478
2016/09/06,0.022705
2016/09/07,0.02355482
2016/09/08,0.02343484
2016/09/09,0.02326488
2016/09/12,0.02106537
2016/09/13,0.02158525
2016/09/14,0.02019556
2016/09/19,0.01988563
2016/09/20,0.01979564
2016/09/21,0.01987563
2016/09/22,0.02109536
2016/09/23,0.02115535
2016/09/26,0.02140529
2016/09/29,0.01974566
2016/09/30,0.02025554
2016/10/03,0.01976565
2016/10/04,0.02027554
2016/10/05,0.01988563
2016/10/06,0.02022555
2016/10/07,0.02034552
2016/10/11,0.02042551
2016/10/12,0.02041551
2016/10/13,0.0209254
2016/10/14,0.02079543
2016/10/17,0.02061546
2016/10/18,0.02140529
2016/10/19,0.02160525
2016/10/20,0.02236508
2016/10/21,0.02295495
2016/10/24,0.02354482
2016/10/25,0.02326488
2016/10/26,0.02249505
2016/10/27,0.02256504
2016/10/28,0.022715
2016/10/31,0.02236508
2016/11/01,0.02186519
2016/11/02,0.02241507
2016/11/03,0.0222651
2016/11/04,0.02207514
2016/11/07,0.02221511
2016/11/08,0.02266501
2016/11/09,0.02162524
2016/11/10,0.01984563
2016/11/11,0.0186159
2016/11/14,0.01602647
2016/11/15,0.01706625
2016/11/16,0.01577653
2016/11/17,0.01696627
2016/11/18,0.01520665
2016/11/21,0.01516666
2016/11/22,0.01487673
2016/11/23,0.01447682
2016/11/24,0.01411689
2016/11/25,0.01381696
2016/11/28,0.01370698
2016/11/29,0.01377697
2016/11/30,0.01465678
2016/12/01,0.01420687
2016/12/02,0.01386695
2016/12/05,0.01473676
2016/12/06,0.01490672
2016/12/07,0.01483674
2016/12/08,0.01472676
2016/12/09,0.01572654
2016/12/12,0.0145668
2016/12/13,0.01534662
2016/12/14,0.01583652
2016/12/15,0.01357701
2016/12/16,0.01443682
2016/12/19,0.01376697
2016/12/20,0.01418688
2016/12/21,0.01504669
2016/12/22,0.01520665
2016/12/23,0.01537662
2016/12/28,0.01605647
2016/12/29,0.01685629
2016/12/30,0.01686629
2017/01/03,0.01678631
2017/01/04,0.01715623
2017/01/05,0.01672632
2017/01/06,0.01781608
2017/01/09,0.01775609
2017/01/10,0.0177161
2017/01/11,0.01775609
2017/01/12,0.01849593
2017/01/13,0.0172662
2017/01/16,0.01692628
2017/01/17,0.01782608
2017/01/18,0.0177161
2017/01/19,0.01676631
2017/01/20,0.01585651
2017/01/23,0.01605647
2017/01/24,0.01667633
2017/01/25,0.01583652
2017/01/26,0.01607646
2017/02/02,0.01640639
2017/02/03,0.0163564
2017/02/06,0.01674632
2017/02/07,0.01780608
2017/02/08,0.01860591
2017/02/09,0.01842595
2017/02/10,0.01849593
2017/02/13,0.018176
2017/02/14,0.01781608
2017/02/15,0.01735618
2017/02/16,0.01759613
2017/02/17,0.01808602
2017/02/20,0.01905581
2017/02/21,0.01905581
2017/02/22,0.01946572
2017/02/23,0.02055548
2017/02/24,0.02070544
2017/03/01,0.02202515
2017/03/02,0.02236508
2017/03/03,0.02353482
2017/03/06,0.02402471
2017/03/07,0.02300494
2017/03/08,0.0222551
2017/03/09,0.02247506
2017/03/10,0.02075543
2017/03/13,0.02106537
2017/03/14,0.02061546
2017/03/15,0.01932575
2017/03/16,0.02097539
2017/03/17,0.02145528
2017/03/20,0.02184519
2017/03/21,0.02248505
2017/03/22,0.02277499
2017/03/23,0.02337486
2017/03/24,0.0231749
2017/03/27,0.02322489
2017/03/28,0.02349483
2017/03/29,0.02430465
2017/03/30,0.02449461
2017/03/31,0.02450461
2017/04/05,0.02484453
2017/04/06,0.02642419
2017/04/07,0.02693407
2017/04/10,0.02713403
2017/04/11,0.02722401
2017/04/12,0.02721401
2017/04/13,0.02570435
2017/04/18,0.02620424
2017/04/19,0.02655416
2017/04/20,0.02670413
2017/04/21,0.02742397
2017/04/24,0.02738398
2017/04/25,0.02838376
2017/04/26,0.02920358
2017/04/27,0.02791386
2017/04/28,0.02935354
2017/05/02,0.02934354
2017/05/03,0.03059327
2017/05/04,0.03060327
2017/05/05,0.03081322
2017/05/08,0.03126312
2017/05/09,0.03224291
2017/05/10,0.03247286
2017/05/11,0.03241287
2017/05/12,0.03237288
2017/05/15,0.0327128
2017/05/16,0.03263282
2017/05/17,0.03270281
2017/05/18,0.03207294
2017/05/19,0.03270281
2017/05/22,0.03217292
2017/05/23,0.03357261
2017/05/24,0.03281278
2017/05/25,0.03325268
2017/05/26,0.03441243
2017/05/31,0.03442243
2017/06/01,0.03510228
2017/06/02,0.03532223
2017/06/05,0.0354722
2017/06/06,0.03561217
2017/06/07,0.03593209
2017/06/08,0.03571214
2017/06/09,0.03628202
2017/06/12,0.0368019
2017/06/13,0.03730179
2017/06/14,0.03831157
2017/06/15,0.03806163
2017/06/16,0.03904141
2017/06/19,0.03906141
2017/06/20,0.03904141
2017/06/21,0.03951131
2017/06/22,0.03876147
2017/06/23,0.03936134
2017/06/26,0.0390814
2017/06/27,0.03977125
2017/06/28,0.03951131
2017/06/29,0.03949131
2017/06/30,0.03959129
2017/07/03,0.03962128
2017/07/04,0.03997121
2017/07/05,0.03996121
2017/07/06,0.04027114
2017/07/07,0.04035112
2017/07/10,0.03940133
2017/07/11,0.03995121
2017/07/12,0.04023115
2017/07/13,0.04097099
2017/07/14,0.040931
2017/07/17,0.04155086
2017/07/18,0.04128092
2017/07/19,0.04211074
2017/07/20,0.04247066
2017/07/21,0.04367039
2017/07/24,0.04374038
2017/07/25,0.04413029
2017/07/26,0.04423027
2017/07/27,0.0450201
2017/07/28,0.04524005
2017/07/31,0.04597988
2017/08/01,0.04583992
2017/08/02,0.04656975
2017/08/03,0.04684969
