date,value
2018/08/21,0.0
2018/08/22,-9.999e-05
2018/08/23,0.00055993
2018/08/24,0.00077991
2018/08/27,6.999e-05
2018/08/28,-0.00070991
2018/08/29,-0.00117986
2018/08/30,-0.00122985
2018/08/31,-0.00076991
2018/09/03,-0.00143983
2018/09/04,-0.00158981
2018/09/05,-0.00116986
2018/09/06,-0.00089989
2018/09/07,-0.00196976
2018/09/10,-0.00145982
2018/09/11,-0.00238971
2018/09/12,-0.00204975
2018/09/13,-0.00215974
2018/09/14,-0.00292965
2018/09/17,-0.00260969
2018/09/18,-0.00281966
2018/09/19,-0.00340959
2018/09/20,-0.00315962
2018/09/21,-0.00382954
2018/09/25,-0.00531936
2018/09/26,-0.00436948
2018/09/27,-0.00524937
2018/09/28,-0.00547934
2018/10/01,-0.0058293
2018/10/02,-0.00475943
2018/10/03,-0.00558933
2018/10/04,-0.00649922
2018/10/05,-0.00595928
2018/10/08,-0.00597928
2018/10/09,-0.00561933
2018/10/11,-0.00376955
2018/10/12,-0.00526937
2018/10/15,-0.00508939
2018/10/16,-0.00523937
2018/10/17,-0.00615926
2018/10/18,-0.00566932
2018/10/19,-0.00609927
2018/10/22,-0.00655921
2018/10/23,-0.0058593
2018/10/24,-0.00570931
2018/10/25,-0.00562932
2018/10/26,-0.00471943
2018/10/29,-0.00513938
2018/10/30,-0.00639923
2018/10/31,-0.00756909
2018/11/01,-0.00729912
2018/11/02,-0.00863896
2018/11/05,-0.00897892
2018/11/06,-0.00883894
2018/11/07,-0.00856897
2018/11/08,-0.00989881
2018/11/09,-0.00944887
2018/11/12,-0.00927889
2018/11/13,-0.0091389
2018/11/14,-0.00934888
2018/11/15,-0.01043875
2018/11/16,-0.00928889
2018/11/19,-0.00974883
2018/11/20,-0.01090869
2018/11/21,-0.0116286
2018/11/22,-0.01099868
2018/11/23,-0.01179858
2018/11/26,-0.01185858
2018/11/27,-0.01266848
2018/11/28,-0.01312842
2018/11/29,-0.01221853
2018/11/30,-0.01279846
2018/12/03,-0.01264848
2018/12/04,-0.01179858
2018/12/05,-0.01275847
2018/12/06,-0.01293845
2018/12/07,-0.01198856
2018/12/10,-0.01243851
2018/12/11,-0.01268848
2018/12/12,-0.01298844
2018/12/13,-0.01259849
2018/12/14,-0.01183858
2018/12/17,-0.01193857
2018/12/18,-0.01078871
