date,value
2007/10/01,0.0
2007/10/02,0.0017331
2007/10/03,0.00404391
2007/10/04,0.00404391
2007/10/05,0.01328712
2007/10/08,0.00982091
2007/10/09,0.01328712
2007/10/11,0.02079723
2007/10/12,0.01733102
2007/10/15,0.01213172
2007/10/16,-0.0011554
2007/10/17,0.00404391
2007/10/18,0.00404391
2007/10/19,-0.00635471
2007/10/22,-0.01790872
2007/10/23,-0.00982091
2007/10/24,-0.01213172
2007/10/25,-0.00577701
2007/10/26,0.00404391
2007/10/29,0.01097631
2007/10/30,0.00635471
2007/10/31,0.01617562
2007/11/01,-0.0005777
2007/11/02,-0.00982091
2007/11/05,-0.01675332
2007/11/06,-0.00982091
2007/11/07,-0.01733102
2007/11/08,-0.02541883
2007/11/09,-0.03581745
2007/11/12,-0.04737146
2007/11/13,-0.03408434
2007/11/14,-0.02772964
2007/11/15,-0.04043905
2007/11/16,-0.04217215
2007/11/19,-0.04968226
2007/11/20,-0.04159445
2007/11/21,-0.05834778
2007/11/22,-0.05314847
2007/11/23,-0.04332756
2007/11/26,-0.04852686
2007/11/27,-0.04679376
2007/11/28,-0.03408434
2007/11/29,-0.02946274
2007/11/30,-0.01848642
2007/12/03,-0.02253033
2007/12/04,-0.03119584
2007/12/05,-0.01906412
2007/12/06,-0.01444252
2007/12/07,-0.00924321
2007/12/10,-0.00577701
2007/12/11,-0.01213172
2007/12/12,-0.01328712
2007/12/13,-0.02599653
2007/12/14,-0.03523975
2007/12/17,-0.05488157
2007/12/18,-0.04910456
2007/12/19,-0.05199307
2007/12/20,-0.05314847
2007/12/21,-0.04332756
2007/12/24,-0.03755055
2007/12/25,-0.03697285
2007/12/26,-0.03523975
2007/12/27,-0.03639515
2007/12/28,-0.03235124
2007/12/31,-0.03408434
2008/01/02,-0.04332756
2008/01/03,-0.04390526
2008/01/04,-0.05430387
2008/01/07,-0.05430387
2008/01/08,-0.05545927
2008/01/09,-0.05488157
2008/01/10,-0.05545927
2008/01/11,-0.06123628
2008/01/14,-0.05777008
2008/01/15,-0.0803004
2008/01/16,-0.09131105
2008/01/17,-0.10116287
2008/01/18,-0.10811764
2008/01/21,-0.13419572
2008/01/22,-0.13419572
2008/01/23,-0.13129867
2008/01/24,-0.11275384
2008/01/25,-0.10753823
2008/01/28,-0.10521966
2008/01/29,-0.09652666
2008/01/30,-0.10232261
