date,value
2015/05/29,0.0
2015/06/01,-0.00011
2015/06/02,0.00064002
2015/06/03,0.00052002
2015/06/04,0.00170005
2015/06/05,0.00146004
2015/06/08,0.00393012
2015/06/09,0.00380011
2015/06/10,0.0032001
2015/06/11,0.0034701
2015/06/12,0.00374011
2015/06/15,0.00313009
2015/06/16,0.00356011
2015/06/17,0.00362011
2015/06/18,0.00290009
2015/06/22,0.00273008
2015/06/23,0.00351011
2015/06/24,0.00398012
2015/06/25,0.00235007
2015/06/26,0.00236007
2015/06/29,-0.00229007
2015/06/30,-0.0033001
2015/07/01,-0.00178005
2015/07/02,-0.00130004
2015/07/03,-0.00170005
2015/07/06,-0.00422013
2015/07/07,-0.00455014
2015/07/08,-0.00633019
2015/07/09,-0.00499015
2015/07/13,-0.00098003
2015/07/14,0.00191006
2015/07/15,0.00219007
2015/07/16,0.0032201
2015/07/17,0.00374011
2015/07/20,0.00469014
2015/07/21,0.00545016
2015/07/22,0.0032501
2015/07/23,0.00537016
2015/07/24,0.0034201
2015/07/27,0.00130004
2015/07/28,0.00427013
2015/07/29,0.00608018
2015/07/30,0.00752023
2015/07/31,0.01248037
2015/08/03,0.01289039
2015/08/04,0.01312039
2015/08/05,0.01292039
2015/08/06,0.01068032
2015/08/07,0.01048031
2015/08/10,0.01302039
2015/08/11,0.01801054
2015/08/12,0.02531076
2015/08/13,0.02256068
2015/08/14,0.02163065
2015/08/17,0.02780083
2015/08/18,0.02531076
2015/08/19,0.02172065
2015/08/20,0.01525046
2015/08/21,0.01191036
2015/08/24,-0.0065202
2015/08/25,-0.00901027
2015/08/26,-0.00852026
2015/08/27,0.00158005
2015/08/28,0.00257008
2015/08/31,0.00161005
2015/09/01,-0.01242037
2015/09/02,-0.00860026
2015/09/03,-0.00477014
2015/09/04,-0.01064032
2015/09/08,-0.00192006
2015/09/09,-0.00460014
2015/09/10,-0.0031901
2015/09/11,-0.00480014
2015/09/14,-0.00594018
2015/09/15,-0.00222007
2015/09/16,0.00062002
2015/09/17,0.00033001
2015/09/18,-0.00306009
2015/09/21,0.00145004
2015/09/22,-0.00447013
2015/09/23,-0.00062002
2015/09/24,-0.0032801
2015/09/25,-0.00146004
2015/09/30,-0.00719022
2015/10/01,-0.00756023
2015/10/02,0.00081002
2015/10/05,0.00732022
2015/10/06,0.00878026
2015/10/07,0.01268038
2015/10/08,0.0133004
2015/10/12,0.01134034
2015/10/13,0.01164035
2015/10/14,0.01256038
2015/10/15,0.01237037
2015/10/16,0.01293039
2015/10/19,0.01093033
2015/10/20,0.01193036
2015/10/21,0.01262038
2015/10/22,0.02055062
2015/10/23,0.01484045
2015/10/26,0.02087063
2015/10/27,0.01774053
2015/10/28,0.02046061
2015/10/29,0.01860056
2015/10/30,0.01748052
2015/11/02,0.01601048
2015/11/03,0.01519046
2015/11/04,0.0131704
2015/11/05,0.0134604
2015/11/06,0.0065902
2015/11/09,0.00365011
2015/11/10,0.00350011
2015/11/11,0.00378011
2015/11/12,0.00052002
2015/11/13,-0.00382011
2015/11/16,6e-05
2015/11/17,0.00191006
2015/11/18,0.00510015
2015/11/19,0.00587018
2015/11/20,0.00484015
2015/11/23,0.00395012
2015/11/24,0.00404012
2015/11/25,0.00248007
2015/11/27,0.00647019
2015/11/30,0.00497015
2015/12/01,0.0100403
2015/12/02,0.00854026
2015/12/03,0.00012
2015/12/04,0.00518016
2015/12/07,0.00616018
2015/12/08,0.00294009
2015/12/09,0.00112003
2015/12/10,0.00079002
2015/12/11,-0.00778023
2015/12/14,-0.00981029
2015/12/15,-0.00632019
2015/12/16,-0.00530016
2015/12/17,-0.0033501
2015/12/18,-0.00535016
2015/12/21,-0.00628019
2015/12/22,-0.00218007
2015/12/23,0.00173005
2015/12/24,0.00026001
2015/12/28,0.00021001
2015/12/29,0.00396012
2015/12/30,0.00238007
2015/12/31,7e-05
2016/01/04,-0.00156005
2016/01/05,-0.00069002
2016/01/06,-0.00108003
2016/01/07,-0.00761023
2016/01/08,-0.01169035
2016/01/11,-0.01099033
2016/01/12,-0.01048031
2016/01/13,-0.01484045
2016/01/14,-0.01387042
2016/01/15,-0.01946058
2016/01/19,-0.01979059
2016/01/20,-0.03112093
2016/01/21,-0.02880086
2016/01/22,-0.02055062
2016/01/25,-0.02364071
2016/01/26,-0.01746052
2016/01/27,-0.01641049
2016/01/28,-0.01372041
2016/01/29,-0.00714021
2016/02/01,-0.00367011
2016/02/02,-0.00724022
2016/02/03,-0.00564017
2016/02/16,-0.01523046
2016/02/17,-0.01064032
2016/02/18,-0.00582017
2016/02/19,-0.00548016
2016/02/22,-0.00045001
2016/02/23,-0.0065002
2016/02/24,-0.00711021
2016/02/25,-0.00163005
2016/02/26,-0.00164005
2016/03/01,0.00305009
2016/03/02,0.00255008
2016/03/03,0.00096003
2016/03/04,0.00380011
2016/03/07,-0.00186006
2016/03/08,-0.00037001
2016/03/09,0.00447013
2016/03/10,0.00266008
2016/03/11,0.01159035
2016/03/14,0.01070032
2016/03/15,0.00763023
2016/03/16,0.0098603
2016/03/17,0.01615048
2016/03/18,0.01256038
2016/03/21,0.01371041
2016/03/22,0.01270038
2016/03/23,0.01259038
2016/03/24,0.01149034
2016/03/28,0.01230037
2016/03/29,0.01754053
2016/03/30,0.01874056
2016/03/31,0.01516045
2016/04/01,0.01646049
2016/04/06,0.0132304
2016/04/07,0.0100603
2016/04/08,0.01516045
2016/04/11,0.01358041
2016/04/12,0.01547046
2016/04/13,0.01760053
2016/04/14,0.01854056
2016/04/15,0.01801054
2016/04/18,0.02018061
2016/04/19,0.01951059
2016/04/20,0.01848055
2016/04/21,0.01510045
2016/04/22,0.01161035
2016/04/25,0.01181035
2016/04/26,0.01300039
2016/04/27,0.0134504
2016/04/28,0.0134604
2016/04/29,0.01353041
2016/05/03,0.01165035
2016/05/04,0.00970029
2016/05/05,0.00832025
2016/05/06,0.00963029
2016/05/09,0.01208036
2016/05/10,0.01730052
2016/05/11,0.01713051
2016/05/12,0.01729052
2016/05/13,0.01423043
2016/05/16,0.01726052
2016/05/17,0.01499045
2016/05/18,0.01205036
2016/05/19,0.00941028
2016/05/20,0.0100703
2016/05/23,0.00606018
2016/05/24,0.01107033
2016/05/25,0.01370041
2016/05/26,0.01404042
2016/05/27,0.01253038
2016/05/31,0.01594048
2016/06/01,0.01518046
2016/06/02,0.0167005
2016/06/03,0.02485075
2016/06/06,0.02055062
2016/06/07,0.02373071
2016/06/08,0.02267068
2016/06/13,0.01238037
2016/06/14,0.00725022
2016/06/15,0.00890027
2016/06/16,0.00704021
2016/06/17,0.00872026
2016/06/20,0.01359041
2016/06/21,0.01580047
2016/06/22,0.01403042
2016/06/23,0.01965059
2016/06/24,0.0067002
2016/06/27,0.00459014
2016/06/28,0.01115033
2016/06/29,0.01910057
2016/06/30,0.02627079
2016/07/01,0.02788084
2016/07/05,0.02902087
2016/07/06,0.03047091
2016/07/07,0.02922088
2016/07/11,0.03217097
2016/07/12,0.03308099
2016/07/13,0.03283098
2016/07/14,0.03164095
2016/07/15,0.02542076
2016/07/18,0.02684081
2016/07/19,0.0266108
2016/07/20,0.02841085
2016/07/21,0.02807084
2016/07/22,0.02945088
2016/07/25,0.03108093
2016/07/26,0.03130094
2016/07/27,0.02957089
2016/07/28,0.03128094
2016/07/29,0.03509105
2016/08/01,0.02815084
2016/08/02,0.02593078
2016/08/03,0.02534076
2016/08/04,0.02694081
2016/08/05,0.02390072
2016/08/08,0.02287069
2016/08/09,0.02395072
2016/08/10,0.02428073
2016/08/11,0.02599078
2016/08/12,0.02813084
2016/08/15,0.02792084
2016/08/16,0.02553077
2016/08/17,0.02698081
2016/08/18,0.02834085
2016/08/19,0.02863086
2016/08/22,0.03283098
2016/08/23,0.03263098
2016/08/24,0.03224097
2016/08/25,0.02815084
2016/08/26,0.02352071
2016/08/29,0.02687081
2016/08/30,0.02352071
2016/08/31,0.02188066
2016/09/01,0.02195066
2016/09/02,0.0233907
2016/09/06,0.02357071
2016/09/07,0.0233607
2016/09/08,0.02122064
2016/09/09,0.01199036
2016/09/12,0.01562047
2016/09/13,0.01079032
2016/09/14,0.00873026
2016/09/19,0.00809024
2016/09/20,0.00744022
2016/09/21,0.01358041
2016/09/22,0.02279068
2016/09/23,0.01757053
2016/09/26,0.01769053
2016/09/29,0.01743052
2016/09/30,0.01954059
2016/10/03,0.01779053
2016/10/04,0.01409042
2016/10/05,0.01078032
2016/10/06,0.00861026
2016/10/07,0.00811024
2016/10/11,0.00699021
2016/10/12,0.00595018
2016/10/13,0.00794024
2016/10/14,0.00624019
2016/10/17,0.00730022
2016/10/18,0.0100403
2016/10/19,0.00634019
2016/10/20,0.00503015
2016/10/21,0.00514015
2016/10/24,0.00856026
2016/10/25,0.00630019
2016/10/26,0.00118004
2016/10/27,-0.00282008
2016/10/28,-0.00258008
2016/10/31,-0.00235007
2016/11/01,-0.00508015
2016/11/02,-0.00564017
2016/11/03,-0.01131034
2016/11/04,-0.01192036
2016/11/07,-0.00463014
2016/11/08,-0.00358011
2016/11/09,-0.01025031
2016/11/10,-0.01748052
2016/11/11,-0.02079062
2016/11/14,-0.02442073
2016/11/15,-0.0200906
2016/11/16,-0.02368071
2016/11/17,-0.02124064
2016/11/18,-0.0234007
2016/11/21,-0.01935058
2016/11/22,-0.01686051
2016/11/23,-0.01900057
2016/11/25,-0.01883056
2016/11/28,-0.01949058
2016/11/29,-0.01779053
2016/11/30,-0.01844055
2016/12/01,-0.02375071
2016/12/02,-0.02149064
2016/12/05,-0.01881056
2016/12/06,-0.01567047
2016/12/07,-0.01216036
2016/12/08,-0.01357041
2016/12/09,-0.01207036
2016/12/12,-0.01393042
2016/12/13,-0.01107033
2016/12/14,-0.01431043
2016/12/15,-0.01776053
2016/12/16,-0.01791054
2016/12/19,-0.01528046
2016/12/20,-0.01369041
2016/12/21,-0.0134204
2016/12/22,-0.01364041
2016/12/23,-0.0099703
2016/12/27,-0.00600018
2016/12/28,-0.00777023
2016/12/29,-0.00475014
2016/12/30,-0.00719022
2017/01/03,-0.00900027
2017/01/04,-0.00252008
2017/01/05,-0.0065802
2017/01/06,-0.00631019
2017/01/09,-0.00573017
2017/01/10,-0.00765023
2017/01/11,-0.0067702
2017/01/12,-0.00806024
2017/01/13,-0.01260038
2017/01/17,-0.01038031
2017/01/18,-0.01108033
2017/01/19,-0.01517046
2017/01/20,-0.01609048
2017/01/23,-0.01755053
2017/01/24,-0.0166505
2017/02/02,-0.01924058
2017/02/03,-0.01863056
2017/02/06,-0.02187066
2017/02/07,-0.01948058
2017/02/08,-0.01554047
2017/02/09,-0.01516045
2017/02/10,-0.01395042
2017/02/13,-0.0133304
2017/02/14,-0.01856056
2017/02/15,-0.02074062
2017/02/16,-0.01719052
2017/02/17,-0.01710051
2017/02/21,-0.01571047
2017/02/22,-0.01525046
2017/02/23,-0.01467044
2017/02/24,-0.01569047
2017/03/01,-0.01265038
2017/03/02,-0.01388042
2017/03/03,-0.00913027
2017/03/06,-0.01100033
2017/03/07,-0.01618049
2017/03/08,-0.01865056
2017/03/09,-0.0166505
2017/03/10,-0.01300039
2017/03/13,-0.01452044
2017/03/14,-0.01581047
2017/03/15,-0.01314039
2017/03/16,-0.01359041
2017/03/17,-0.01252038
2017/03/20,-0.01524046
2017/03/21,-0.01812054
2017/03/22,-0.01754053
2017/03/23,-0.01636049
2017/03/24,-0.01463044
2017/03/27,-0.01977059
2017/03/28,-0.01926058
2017/03/29,-0.0166205
2017/03/30,-0.01547046
2017/03/31,-0.01686051
2017/04/05,-0.01534046
2017/04/06,-0.01119034
2017/04/07,-0.01135034
2017/04/10,-0.01087033
2017/04/11,-0.01023031
2017/04/12,-0.01145034
2017/04/13,-0.01777053
2017/04/17,-0.01388042
2017/04/18,-0.01306039
2017/04/19,-0.01188036
2017/04/20,-0.01062032
2017/04/21,-0.01154035
2017/04/24,-0.00855026
2017/04/25,-0.0100503
2017/04/26,-0.00968029
2017/04/27,-0.0101303
2017/04/28,-0.00973029
2017/05/02,-0.01124034
2017/05/03,-0.01178035
2017/05/04,-0.01019031
2017/05/05,-0.0066202
2017/05/08,-0.0065902
2017/05/09,-0.00881026
2017/05/10,-0.00794024
2017/05/11,-0.01023031
2017/05/12,-0.00932028
2017/05/15,-0.00697021
2017/05/16,-0.00809024
2017/05/17,-0.00941028
2017/05/18,-0.00542016
2017/05/19,-0.00218007
2017/05/22,-0.00279008
2017/05/23,0.00016
2017/05/24,0.00095003
2017/05/25,0.00356011
2017/05/26,0.00549016
2017/05/31,0.00843025
2017/06/01,0.01130034
2017/06/02,0.01537046
2017/06/05,0.01467044
2017/06/06,0.01466044
2017/06/07,0.01501045
2017/06/08,0.01433043
2017/06/09,0.01315039
2017/06/12,0.01379041
2017/06/13,0.01709051
2017/06/14,0.02063062
2017/06/15,0.01867056
2017/06/16,0.02144064
2017/06/19,0.02403072
2017/06/20,0.02110063
2017/06/21,0.02115063
2017/06/22,0.02023061
2017/06/23,0.01971059
2017/06/26,0.01923058
2017/06/27,0.0168005
2017/06/28,0.0201006
2017/06/29,0.01510045
2017/06/30,0.01630049
2017/07/03,0.01530046
2017/07/05,0.01448043
2017/07/06,0.01271038
2017/07/07,0.0132404
2017/07/10,0.01215036
2017/07/11,0.01103033
2017/07/12,0.0133504
2017/07/13,0.01298039
2017/07/14,0.01801054
2017/07/17,0.01882056
2017/07/18,0.01952059
2017/07/19,0.02178065
2017/07/20,0.02358071
2017/07/21,0.02635079
2017/07/24,0.02303069
2017/07/25,0.02224067
2017/07/26,0.02396072
2017/07/27,0.02239067
2017/07/28,0.02259068
2017/07/31,0.0200006
2017/08/01,0.02456074
2017/08/02,0.02525076
2017/08/03,0.0232307
2017/08/04,0.02378071
2017/08/07,0.02454074
2017/08/08,0.02256068
2017/08/09,0.01943058
2017/08/10,0.0132904
2017/08/11,0.01632049
2017/08/14,0.01977059
2017/08/15,0.01941058
2017/08/16,0.02068062
2017/08/17,0.01397042
2017/08/18,0.01484045
2017/08/21,0.01457044
2017/08/22,0.01929058
2017/08/23,0.01759053
2017/08/24,0.0165405
2017/08/25,0.01897057
2017/08/28,0.0165505
2017/08/29,0.01907057
2017/08/30,0.01884057
2017/08/31,0.02213066
2017/09/01,0.02260068
2017/09/05,0.01730052
2017/09/06,0.01956059
2017/09/07,0.02188066
2017/09/08,0.02112063
2017/09/11,0.02776083
2017/09/12,0.02802084
2017/09/13,0.0301009
2017/09/14,0.02873086
2017/09/15,0.02906087
2017/09/18,0.03144094
2017/09/19,0.033361
2017/09/20,0.03492105
2017/09/21,0.03248097
2017/09/22,0.03282098
2017/09/25,0.02823085
2017/09/26,0.02686081
2017/09/27,0.02926088
2017/09/28,0.03354101
2017/09/29,0.03576107
2017/10/02,0.03867116
2017/10/03,0.04236127
2017/10/05,0.04356131
2017/10/06,0.04161125
2017/10/11,0.04237127
2017/10/12,0.04170125
2017/10/13,0.04266128
2017/10/16,0.04256128
2017/10/17,0.04415132
2017/10/18,0.04364131
2017/10/19,0.04357131
2017/10/20,0.04496135
2017/10/23,0.04420133
2017/10/24,0.04546136
2017/10/25,0.04194126
2017/10/26,0.04359131
2017/10/27,0.04843145
2017/10/30,0.04701141
2017/10/31,0.04792144
2017/11/01,0.05176155
2017/11/02,0.05206156
2017/11/03,0.05234157
2017/11/06,0.05415162
2017/11/07,0.05248157
2017/11/08,0.05370161
2017/11/09,0.04829145
2017/11/10,0.04717142
2017/11/13,0.04695141
2017/11/14,0.04616138
2017/11/15,0.04377131
2017/11/16,0.04838145
2017/11/17,0.04694141
2017/11/20,0.04876146
2017/11/21,0.05268158
2017/11/22,0.05257158
2017/11/24,0.0568117
2017/11/27,0.05581167
2017/11/28,0.0600518
2017/11/29,0.05616168
2017/11/30,0.0565517
2017/12/01,0.05518166
2017/12/04,0.05495165
2017/12/05,0.05260158
2017/12/06,0.04879146
2017/12/07,0.05074152
2017/12/08,0.05459164
2017/12/11,0.05721172
2017/12/12,0.05646169
2017/12/13,0.05565167
2017/12/14,0.05446163
2017/12/15,0.0567317
2017/12/18,0.06424193
2017/12/19,0.0631919
2017/12/20,0.06220187
2017/12/21,0.06477194
2017/12/22,0.06434193
2017/12/27,0.06440193
2017/12/28,0.06365191
2017/12/29,0.06255188
2018/01/02,0.06135184
2018/01/03,0.06368191
2018/01/04,0.07101213
2018/01/05,0.07454224
2018/01/08,0.07528226
2018/01/09,0.07621229
2018/01/10,0.07594228
2018/01/11,0.07818235
2018/01/12,0.08844265
2018/01/16,0.09124274
2018/01/17,0.09534286
2018/01/18,0.09595288
2018/01/19,0.0966229
2018/01/22,0.10206306
2018/01/23,0.10370311
2018/01/24,0.10058302
2018/01/25,0.09573287
2018/01/26,0.10451314
2018/01/29,0.10109303
2018/01/30,0.09411282
2018/01/31,0.09288279
