date,value
2011/01/14,0.0
2011/01/17,0.0
2011/01/18,0.001
2011/01/19,0.002
2011/01/20,0.002
2011/01/21,0.001
2011/01/24,0.002
2011/01/25,0.001
2011/01/26,0.002
2011/01/27,-0.001
2011/01/28,-0.008
2011/02/08,-0.013
2011/02/09,-0.017
2011/02/10,-0.018
2011/02/11,-0.012
2011/02/14,-0.006
2011/02/15,-0.004
2011/02/16,-0.003
2011/02/17,-0.001
2011/02/18,-0.002
2011/02/21,-0.003
2011/02/22,-0.004
2011/02/23,-0.007
2011/02/24,-0.011
2011/02/25,-0.008
2011/03/01,-0.001
2011/03/02,-0.001
2011/03/03,0.005
2011/03/04,0.001
2011/03/07,-0.006
2011/03/08,0.0
2011/03/09,-0.001
2011/03/10,-0.006
2011/03/11,-0.006
2011/03/14,-0.004
2011/03/15,-0.006
2011/03/16,-0.007
2011/03/17,-0.007
2011/03/18,-0.008
2011/03/21,-0.008
2011/03/22,-0.007
2011/03/23,-0.001
2011/03/24,0.006
2011/03/25,0.008
2011/03/28,0.011
2011/03/29,0.016
2011/03/30,0.021
2011/03/31,0.021
2011/04/01,0.023
2011/04/06,0.025
2011/04/07,0.022
2011/04/08,0.02
2011/04/11,0.013
2011/04/12,0.01
2011/04/13,0.022
2011/04/14,0.02
2011/04/15,0.008
2011/04/18,-0.001
2011/04/19,0.006
2011/04/20,0.015
2011/04/21,0.017
2011/04/22,0.017
2011/04/25,0.018
2011/04/26,0.017
2011/04/27,0.014
2011/04/28,0.002
2011/04/29,0.002
2011/05/03,-0.031
2011/05/04,-0.038
2011/05/05,-0.047
2011/05/06,-0.032
2011/05/09,-0.031
2011/05/10,-0.031
2011/05/11,-0.036
2011/05/12,-0.039
2011/05/13,-0.035
2011/05/16,-0.042
2011/05/17,-0.052
2011/05/18,-0.052
2011/05/19,-0.051
2011/05/20,-0.053
2011/05/23,-0.06
2011/05/24,-0.059
2011/05/25,-0.064
2011/05/26,-0.057
2011/05/27,-0.05
2011/05/31,-0.039
2011/06/01,-0.041
2011/06/02,-0.04
2011/06/03,-0.046
2011/06/07,-0.036
