date,value
1987/04/29,0.0
1987/04/30,0.0
1987/05/01,0.0
1987/05/04,0.0
1987/05/05,0.0
1987/05/06,0.0
1987/05/07,0.0
1987/05/08,0.0
1987/05/11,0.0
1987/05/12,0.0
1987/05/13,0.0
1987/05/14,0.0
1987/05/15,0.0
1987/05/18,0.0
1987/05/19,0.0
1987/05/20,0.0
1987/05/21,0.0
1987/05/22,0.0
1987/05/25,0.0
1987/05/26,0.0
1987/05/27,0.001
1987/05/28,0.0
1987/05/29,0.002
1987/06/01,0.002
1987/06/02,-0.001
1987/06/03,-0.002
1987/06/04,-0.006
1987/06/05,-0.008
1987/06/08,-0.007
1987/06/09,-0.004
1987/06/10,-0.005
1987/06/11,-0.003
1987/06/12,-0.005
1987/06/15,-0.002
1987/06/16,-0.005
1987/06/17,-0.005
1987/06/18,-0.006
1987/06/19,-0.006
1987/06/22,-0.005
1987/06/23,-0.008
1987/06/24,-0.011
1987/06/25,-0.015
1987/06/26,-0.014
1987/06/29,-0.021
1987/06/30,-0.02
1987/07/01,-0.02
1987/07/02,-0.021
1987/07/03,-0.024
1987/07/06,-0.022
1987/07/07,-0.017
1987/07/08,-0.014
1987/07/09,-0.008
1987/07/10,0.008
1987/07/13,0.021
1987/07/14,0.032
1987/07/15,0.039
1987/07/16,0.038
1987/07/17,0.031
1987/07/20,0.035
1987/07/21,0.035
1987/07/22,0.033
1987/07/23,0.026
1987/07/24,0.046
1987/07/27,0.057
1987/07/28,0.064
1987/07/29,0.034
1987/07/30,0.055
1987/07/31,0.049
1987/08/03,0.05
1987/08/04,0.068
1987/08/05,0.07
1987/08/06,0.072
1987/08/07,0.087
1987/08/10,0.094
1987/08/11,0.101
1987/08/12,0.119
1987/08/13,0.13
1987/08/14,0.107
1987/08/17,0.147
1987/08/18,0.174
1987/08/19,0.18
1987/08/20,0.19
1987/08/21,0.183
1987/08/24,0.2
1987/08/25,0.224
1987/08/26,0.24
1987/08/27,0.243
1987/08/28,0.257
1987/08/31,0.306
1987/09/01,0.358
1987/09/02,0.378
1987/09/03,0.357
1987/09/04,0.304
1987/09/07,0.386
1987/09/08,0.374
1987/09/09,0.378
1987/09/10,0.374
1987/09/11,0.391
1987/09/14,0.486
1987/09/15,0.52
1987/09/16,0.511
1987/09/17,0.568
1987/09/18,0.632
1987/09/21,0.673
1987/09/22,0.74
1987/09/23,0.807
1987/09/24,0.881
1987/09/25,0.959
1987/09/28,0.959
1987/09/29,0.986
1987/09/30,1.057
1987/10/01,1.143
1987/10/02,1.123
1987/10/05,1.006
1987/10/06,1.042
1987/10/07,1.042
1987/10/08,0.993
1987/10/09,0.914
1987/10/12,0.843
1987/10/13,0.779
1987/10/14,0.709
1987/10/15,0.638
1987/10/16,0.62
1987/10/19,0.718
1987/10/20,0.648
1987/10/21,0.586
1987/10/22,0.526
1987/10/23,0.465
1987/10/26,0.465
1987/10/27,0.372
1987/10/28,0.372
1987/10/29,0.347
1987/10/30,0.336
1987/11/02,0.348
1987/11/03,0.374
1987/11/04,0.39
1987/11/05,0.365
1987/11/06,0.342
1987/11/09,0.29
1987/11/10,0.267
1987/11/11,0.248
1987/11/12,0.248
1987/11/13,0.253
1987/11/16,0.275
1987/11/17,0.299
1987/11/18,0.314
1987/11/19,0.338
1987/11/20,0.336
1987/11/23,0.384
1987/11/24,0.41
1987/11/25,0.435
1987/11/26,0.426
1987/11/27,0.401
1987/11/30,0.423
1987/12/01,0.424
1987/12/02,0.405
1987/12/03,0.381
1987/12/04,0.36
1987/12/07,0.339
1987/12/08,0.361
1987/12/09,0.382
1987/12/10,0.362
1987/12/11,0.357
1987/12/14,0.344
1987/12/15,0.327
1987/12/16,0.307
1987/12/17,0.315
1987/12/18,0.316
1987/12/21,0.279
1987/12/22,0.278
1987/12/23,0.258
1987/12/24,0.242
1987/12/25,0.242
1987/12/28,0.223
1987/12/29,0.241
1987/12/30,0.241
1987/12/31,0.241
1988/01/01,0.241
1988/01/04,0.241
1988/01/05,0.243
1988/01/06,0.261
1988/01/07,0.28
1988/01/08,0.286
1988/01/11,0.281
1988/01/12,0.3
1988/01/13,0.289
1988/01/14,0.274
1988/01/15,0.295
1988/01/18,0.339
1988/01/19,0.343
1988/01/20,0.366
1988/01/21,0.365
1988/01/22,0.364
1988/01/25,0.403
1988/01/26,0.407
1988/01/27,0.393
1988/01/28,0.418
1988/01/29,0.404
1988/02/01,0.416
1988/02/02,0.445
1988/02/03,0.451
1988/02/04,0.461
1988/02/05,0.493
1988/02/08,0.523
1988/02/09,0.509
1988/02/10,0.542
1988/02/11,0.565
1988/02/12,0.59
1988/02/15,0.59
1988/02/16,0.59
1988/02/17,0.59
1988/02/18,0.59
1988/02/19,0.59
1988/02/22,0.591
1988/02/23,0.609
1988/02/24,0.616
1988/02/25,0.609
1988/02/26,0.588
1988/02/29,0.655
1988/03/01,0.646
1988/03/02,0.621
1988/03/03,0.586
1988/03/04,0.571
1988/03/07,0.568
1988/03/08,0.542
1988/03/09,0.568
1988/03/10,0.582
1988/03/11,0.565
1988/03/14,0.569
1988/03/15,0.542
1988/03/16,0.568
1988/03/17,0.587
1988/03/18,0.62
1988/03/21,0.649
1988/03/22,0.651
1988/03/23,0.622
1988/03/24,0.633
1988/03/25,0.607
1988/03/28,0.562
1988/03/29,0.562
1988/03/30,0.597
1988/03/31,0.605
1988/04/01,0.599
1988/04/04,0.599
1988/04/05,0.643
1988/04/06,0.652
1988/04/07,0.687
1988/04/08,0.696
1988/04/11,0.727
1988/04/12,0.709
1988/04/13,0.749
1988/04/14,0.765
1988/04/15,0.732
1988/04/18,0.803
1988/04/19,0.801
1988/04/20,0.769
1988/04/21,0.781
1988/04/22,0.766
1988/04/25,0.788
1988/04/26,0.827
1988/04/27,0.865
1988/04/28,0.88
1988/04/29,0.899
1988/05/02,0.952
1988/05/03,0.954
1988/05/04,0.963
1988/05/05,0.983
1988/05/06,1.016
1988/05/09,1.022
1988/05/10,1.013
1988/05/11,1.059
1988/05/12,1.062
1988/05/13,1.103
1988/05/16,1.17
1988/05/17,1.152
1988/05/18,1.105
1988/05/19,1.058
1988/05/20,1.024
1988/05/23,0.947
1988/05/24,0.946
1988/05/25,0.916
1988/05/26,0.947
1988/05/27,0.983
1988/05/30,0.998
1988/05/31,1.027
1988/06/01,1.066
1988/06/02,1.088
1988/06/03,1.086
1988/06/06,1.167
1988/06/07,1.173
1988/06/08,1.194
1988/06/09,1.246
1988/06/10,1.264
1988/06/13,1.238
1988/06/14,1.264
1988/06/15,1.305
1988/06/16,1.27
1988/06/17,1.302
1988/06/20,1.274
1988/06/21,1.259
1988/06/22,1.248
1988/06/23,1.202
1988/06/24,1.182
1988/06/27,1.146
1988/06/28,1.108
1988/06/29,1.147
1988/06/30,1.169
1988/07/01,1.209
1988/07/04,1.228
1988/07/05,1.221
1988/07/06,1.26
1988/07/07,1.282
1988/07/08,1.25
1988/07/11,1.253
1988/07/12,1.26
1988/07/13,1.302
1988/07/14,1.348
1988/07/15,1.377
1988/07/18,1.394
1988/07/19,1.384
1988/07/20,1.423
1988/07/21,1.463
1988/07/22,1.496
1988/07/25,1.541
1988/07/26,1.562
1988/07/27,1.617
1988/07/28,1.669
1988/07/29,1.721
1988/08/01,1.781
1988/08/02,1.837
1988/08/03,1.892
1988/08/04,1.948
1988/08/05,1.991
1988/08/08,2.03
1988/08/09,2.074
1988/08/10,2.087
1988/08/11,2.041
1988/08/12,2.084
1988/08/15,2.104
1988/08/16,2.14
1988/08/17,2.204
1988/08/18,2.269
1988/08/19,2.325
1988/08/22,2.379
1988/08/23,2.393
1988/08/24,2.327
1988/08/25,2.292
1988/08/26,2.23
1988/08/29,2.159
1988/08/30,2.131
1988/08/31,2.184
1988/09/01,2.22
1988/09/02,2.208
1988/09/05,2.28
1988/09/06,2.265
1988/09/07,2.262
1988/09/08,2.209
1988/09/09,2.18
1988/09/12,2.152
1988/09/13,2.206
1988/09/14,2.222
1988/09/15,2.222
1988/09/16,2.23
1988/09/19,2.32
1988/09/20,2.367
1988/09/21,2.333
1988/09/22,2.399
1988/09/23,2.467
1988/09/26,2.467
1988/09/27,2.467
1988/09/28,2.467
1988/09/29,2.44
1988/09/30,2.384
1988/10/03,2.243
1988/10/04,2.176
1988/10/05,2.13
1988/10/06,2.105
1988/10/07,2.056
1988/10/10,2.056
1988/10/11,1.943
1988/10/12,1.878
1988/10/13,1.813
1988/10/14,1.751
1988/10/17,1.599
1988/10/18,1.547
1988/10/19,1.479
1988/10/20,1.406
1988/10/21,1.356
1988/10/24,1.436
1988/10/25,1.436
1988/10/26,1.41
1988/10/27,1.45
1988/10/28,1.487
1988/10/31,1.487
1988/11/01,1.497
1988/11/02,1.466
1988/11/03,1.514
1988/11/04,1.535
1988/11/07,1.596
1988/11/08,1.631
1988/11/09,1.647
1988/11/10,1.635
1988/11/11,1.686
1988/11/14,1.734
1988/11/15,1.784
1988/11/16,1.812
1988/11/17,1.842
1988/11/18,1.908
1988/11/21,1.909
1988/11/22,1.931
1988/11/23,1.89
1988/11/24,1.836
1988/11/25,1.745
1988/11/28,1.897
1988/11/29,1.839
1988/11/30,1.736
1988/12/01,1.758
1988/12/02,1.724
1988/12/05,1.603
1988/12/06,1.715
1988/12/07,1.744
1988/12/08,1.645
1988/12/09,1.597
1988/12/12,1.513
1988/12/13,1.511
1988/12/14,1.488
1988/12/15,1.409
1988/12/16,1.32
1988/12/19,1.312
1988/12/20,1.222
1988/12/21,1.145
1988/12/22,1.148
1988/12/23,1.228
1988/12/26,1.228
1988/12/27,1.347
1988/12/28,1.262
1988/12/29,1.185
1988/12/30,1.185
1989/01/02,1.185
1989/01/03,1.185
1989/01/04,1.185
1989/01/05,1.102
1989/01/06,1.153
1989/01/09,1.267
1989/01/10,1.315
1989/01/11,1.375
1989/01/12,1.357
1989/01/13,1.439
1989/01/16,1.45
1989/01/17,1.524
1989/01/18,1.505
1989/01/19,1.428
1989/01/20,1.477
1989/01/23,1.453
1989/01/24,1.454
1989/01/25,1.413
1989/01/26,1.383
1989/01/27,1.463
1989/01/30,1.465
1989/01/31,1.51
1989/02/01,1.518
1989/02/02,1.518
1989/02/03,1.518
1989/02/06,1.518
1989/02/07,1.518
1989/02/08,1.518
1989/02/09,1.518
1989/02/10,1.588
1989/02/13,1.595
1989/02/14,1.68
1989/02/15,1.61
1989/02/16,1.605
1989/02/17,1.651
1989/02/20,1.676
1989/02/21,1.666
1989/02/22,1.639
1989/02/23,1.66
1989/02/24,1.676
1989/02/27,1.694
1989/02/28,1.726
1989/03/01,1.756
1989/03/02,1.758
1989/03/03,1.792
1989/03/06,1.778
1989/03/07,1.782
1989/03/08,1.809
1989/03/09,1.834
1989/03/10,1.831
1989/03/13,1.923
1989/03/14,1.889
1989/03/15,1.865
1989/03/16,1.788
1989/03/17,1.767
1989/03/20,1.758
1989/03/21,1.782
1989/03/22,1.787
1989/03/23,1.836
1989/03/24,1.86
1989/03/27,1.853
1989/03/28,1.88
1989/03/29,1.88
1989/03/30,1.912
1989/03/31,1.881
1989/04/03,1.847
1989/04/04,1.88
1989/04/05,1.88
1989/04/06,1.934
1989/04/07,1.942
1989/04/10,2.02
1989/04/11,2.038
1989/04/12,2.009
1989/04/13,2.026
1989/04/14,1.962
1989/04/17,2.087
1989/04/18,2.115
1989/04/19,2.122
1989/04/20,2.111
1989/04/21,2.166
1989/04/24,2.205
1989/04/25,2.155
1989/04/26,2.074
1989/04/27,2.13
1989/04/28,2.087
1989/05/01,2.195
1989/05/02,2.276
1989/05/03,2.253
1989/05/04,2.3
1989/05/05,2.285
1989/05/08,2.402
1989/05/09,2.415
1989/05/10,2.443
1989/05/11,2.449
1989/05/12,2.436
1989/05/15,2.525
1989/05/16,2.538
1989/05/17,2.619
1989/05/18,2.639
1989/05/19,2.621
1989/05/22,2.786
1989/05/23,2.782
1989/05/24,2.863
1989/05/25,2.915
1989/05/26,2.905
1989/05/29,2.919
1989/05/30,2.945
1989/05/31,2.942
1989/06/01,2.835
1989/06/02,2.787
1989/06/05,2.689
1989/06/06,2.551
1989/06/07,2.538
1989/06/08,2.538
1989/06/09,2.592
1989/06/12,2.746
1989/06/13,2.764
1989/06/14,2.829
1989/06/15,2.865
1989/06/16,2.874
1989/06/19,2.979
1989/06/20,2.877
1989/06/21,2.935
1989/06/22,2.941
1989/06/23,2.849
1989/06/26,2.703
1989/06/27,2.7
1989/06/28,2.756
1989/06/29,2.675
1989/06/30,2.676
1989/07/03,2.555
1989/07/04,2.552
1989/07/05,2.583
1989/07/06,2.481
1989/07/07,2.389
1989/07/10,2.391
1989/07/11,2.287
1989/07/12,2.381
1989/07/13,2.273
1989/07/14,2.251
1989/07/17,2.448
1989/07/18,2.483
1989/07/19,2.564
1989/07/20,2.618
1989/07/21,2.624
1989/07/24,2.534
1989/07/25,2.505
1989/07/26,2.507
1989/07/27,2.597
1989/07/28,2.609
1989/07/31,2.788
1989/08/01,2.767
1989/08/02,2.843
1989/08/03,2.887
1989/08/04,2.858
1989/08/07,2.988
1989/08/08,3.011
1989/08/09,2.894
1989/08/10,2.831
1989/08/11,2.71
1989/08/14,2.794
1989/08/15,2.876
1989/08/16,2.936
1989/08/17,2.891
1989/08/18,2.949
1989/08/21,3.006
1989/08/22,3.015
1989/08/23,2.936
1989/08/24,3.029
1989/08/25,3.091
1989/08/28,3.128
1989/08/29,3.152
1989/08/30,3.053
1989/08/31,3.113
1989/09/01,3.169
1989/09/04,3.152
1989/09/05,3.114
1989/09/06,3.138
1989/09/07,3.228
1989/09/08,3.293
1989/09/11,3.279
1989/09/12,3.279
1989/09/13,3.372
1989/09/14,3.372
1989/09/15,3.431
1989/09/18,3.409
1989/09/19,3.396
1989/09/20,3.38
1989/09/21,3.365
1989/09/22,3.432
1989/09/25,3.503
1989/09/26,3.444
1989/09/27,3.384
1989/09/28,3.384
1989/09/29,3.312
1989/10/02,3.109
1989/10/03,3.189
1989/10/04,3.053
1989/10/05,2.938
1989/10/06,3.04
1989/10/09,3.173
1989/10/10,3.173
1989/10/11,3.306
1989/10/12,3.292
1989/10/13,3.302
1989/10/16,3.126
1989/10/17,3.278
1989/10/18,3.215
1989/10/19,3.27
1989/10/20,3.311
1989/10/23,3.281
1989/10/24,3.346
1989/10/25,3.346
1989/10/26,3.436
1989/10/27,3.436
1989/10/30,3.526
1989/10/31,3.526
1989/11/01,3.523
1989/11/02,3.527
1989/11/03,3.495
1989/11/06,3.424
1989/11/07,3.306
1989/11/08,3.357
1989/11/09,3.375
1989/11/10,3.371
1989/11/13,3.371
1989/11/14,3.503
1989/11/15,3.485
1989/11/16,3.482
1989/11/17,3.457
1989/11/20,3.429
1989/11/21,3.35
1989/11/22,3.32
1989/11/23,3.355
1989/11/24,3.254
1989/11/27,3.123
1989/11/28,2.897
1989/11/29,3.125
1989/11/30,2.939
1989/12/01,2.845
1989/12/04,2.728
1989/12/05,2.731
1989/12/06,2.561
1989/12/07,2.48
1989/12/08,2.637
1989/12/11,2.502
1989/12/12,2.559
1989/12/13,2.676
1989/12/14,2.605
1989/12/15,2.682
1989/12/18,2.749
1989/12/19,2.751
1989/12/20,2.714
1989/12/21,2.661
1989/12/22,2.688
1989/12/25,2.688
1989/12/26,2.851
1989/12/27,2.915
1989/12/28,3.008
1989/12/29,3.008
1990/01/01,3.008
1990/01/02,3.008
1990/01/03,3.008
1990/01/04,3.086
1990/01/05,3.084
1990/01/08,3.102
1990/01/09,3.029
1990/01/10,3.068
1990/01/11,3.161
1990/01/12,3.303
1990/01/15,3.366
1990/01/16,3.372
1990/01/17,3.343
1990/01/18,3.444
1990/01/19,3.548
1990/01/22,3.656
1990/01/23,3.683
1990/01/24,3.683
1990/01/25,3.683
1990/01/26,3.683
1990/01/29,3.683
1990/01/30,3.683
1990/01/31,3.723
1990/02/01,3.733
1990/02/02,3.767
1990/02/05,3.776
1990/02/06,3.763
1990/02/07,3.73
1990/02/08,3.72
1990/02/09,3.85
1990/02/12,3.845
1990/02/13,3.75
1990/02/14,3.807
1990/02/15,3.73
1990/02/16,3.612
1990/02/19,3.653
1990/02/20,3.795
1990/02/21,3.68
1990/02/22,3.614
1990/02/23,3.639
1990/02/26,3.397
1990/02/27,3.509
1990/02/28,3.568
1990/03/01,3.481
1990/03/02,3.484
1990/03/05,3.337
1990/03/06,3.493
1990/03/07,3.471
1990/03/08,3.46
1990/03/09,3.46
1990/03/12,3.622
1990/03/13,3.664
1990/03/14,3.661
1990/03/15,3.692
1990/03/16,3.532
1990/03/19,3.487
1990/03/20,3.507
1990/03/21,3.437
1990/03/22,3.347
1990/03/23,3.235
1990/03/26,3.226
1990/03/27,3.169
1990/03/28,3.194
1990/03/29,3.194
1990/03/30,3.224
1990/04/02,3.438
1990/04/03,3.4
1990/04/04,3.331
1990/04/05,3.331
1990/04/06,3.181
1990/04/09,2.966
1990/04/10,2.939
1990/04/11,2.962
1990/04/12,3.031
1990/04/13,2.899
1990/04/16,2.836
1990/04/17,2.793
1990/04/18,2.698
1990/04/19,2.654
1990/04/20,2.817
1990/04/23,2.828
1990/04/24,2.89
1990/04/25,2.858
1990/04/26,2.848
1990/04/27,2.926
1990/04/30,2.772
1990/05/01,2.575
1990/05/02,2.518
1990/05/03,2.501
1990/05/04,2.548
1990/05/07,2.623
1990/05/08,2.651
1990/05/09,2.636
1990/05/10,2.484
1990/05/11,2.477
1990/05/14,2.458
1990/05/15,2.561
1990/05/16,2.387
1990/05/17,2.353
1990/05/18,2.188
1990/05/21,2.052
1990/05/22,1.955
1990/05/23,2.066
1990/05/24,1.911
1990/05/25,1.761
1990/05/28,1.761
1990/05/29,1.949
1990/05/30,1.985
1990/05/31,2.127
1990/06/01,2.224
1990/06/04,2.116
1990/06/05,2.128
1990/06/06,2.048
1990/06/07,1.89
1990/06/08,1.856
1990/06/11,1.67
1990/06/12,1.804
1990/06/13,1.803
1990/06/14,1.695
1990/06/15,1.613
1990/06/18,1.669
1990/06/19,1.617
1990/06/20,1.485
1990/06/21,1.46
1990/06/22,1.433
1990/06/25,1.48
1990/06/26,1.384
1990/06/27,1.289
1990/06/28,1.289
1990/06/29,1.345
1990/07/02,1.345
1990/07/03,1.286
1990/07/04,1.226
1990/07/05,1.2
1990/07/06,1.276
1990/07/09,1.378
1990/07/10,1.464
1990/07/11,1.363
1990/07/12,1.267
1990/07/13,1.346
1990/07/16,1.281
1990/07/17,1.321
1990/07/18,1.304
1990/07/19,1.379
1990/07/20,1.435
1990/07/23,1.368
1990/07/24,1.462
1990/07/25,1.484
1990/07/26,1.451
1990/07/27,1.514
1990/07/30,1.589
1990/07/31,1.593
1990/08/01,1.65
1990/08/02,1.531
1990/08/03,1.423
1990/08/06,1.373
1990/08/07,1.245
1990/08/08,1.188
1990/08/09,1.086
1990/08/10,1.045
1990/08/13,0.966
1990/08/14,1.013
1990/08/15,1.078
1990/08/16,1.093
1990/08/17,1.001
1990/08/20,0.956
1990/08/21,0.877
1990/08/22,0.828
1990/08/23,0.77
1990/08/24,0.712
1990/08/27,0.788
1990/08/28,0.835
1990/08/29,0.797
1990/08/30,0.797
1990/08/31,0.859
1990/09/03,0.847
1990/09/04,0.853
1990/09/05,0.767
1990/09/06,0.744
1990/09/07,0.744
1990/09/10,0.8
1990/09/11,0.774
1990/09/12,0.801
1990/09/13,0.845
1990/09/14,0.826
1990/09/17,0.808
1990/09/18,0.761
1990/09/19,0.709
1990/09/20,0.632
1990/09/21,0.688
1990/09/24,0.605
1990/09/25,0.589
1990/09/26,0.556
1990/09/27,0.602
1990/09/28,0.602
1990/10/01,0.55
1990/10/02,0.572
1990/10/03,0.572
1990/10/04,0.595
1990/10/05,0.643
1990/10/08,0.682
1990/10/09,0.621
1990/10/10,0.621
1990/10/11,0.555
1990/10/12,0.582
1990/10/15,0.611
1990/10/16,0.647
1990/10/17,0.645
1990/10/18,0.692
1990/10/19,0.689
1990/10/22,0.78
1990/10/23,0.811
1990/10/24,0.877
1990/10/25,0.877
1990/10/26,0.802
1990/10/29,0.795
1990/10/30,0.789
1990/10/31,0.789
1990/11/01,0.729
1990/11/02,0.717
1990/11/05,0.852
1990/11/06,0.81
1990/11/07,0.874
1990/11/08,0.828
1990/11/09,0.803
1990/11/12,0.803
1990/11/13,0.881
1990/11/14,0.911
1990/11/15,0.953
1990/11/16,0.913
1990/11/19,1.031
1990/11/20,1.049
1990/11/21,1.076
1990/11/22,1.139
1990/11/23,1.214
1990/11/26,1.124
1990/11/27,1.057
1990/11/28,0.987
