date,value
2016/06/29,0.0
2016/06/30,0.00092034
2016/07/01,0.0024409
2016/07/04,0.00254094
2016/07/05,0.00427158
2016/07/06,0.0062123
2016/07/07,0.00581215
2016/07/11,0.00963356
2016/07/12,0.01037384
2016/07/13,0.01056391
2016/07/14,0.00698258
2016/07/15,0.00295109
2016/07/18,0.0040615
2016/07/19,0.00370137
2016/07/20,0.00410152
2016/07/21,0.00333123
2016/07/22,0.00518192
2016/07/25,0.00564209
2016/07/26,0.00434161
2016/07/27,0.00546202
2016/07/28,0.00331123
2016/07/29,0.00599222
2016/08/01,-0.0018907
2016/08/02,-0.00786291
2016/08/03,-0.00559207
2016/08/04,-0.00221082
2016/08/05,-0.00335124
2016/08/08,-0.00312115
2016/08/09,-0.00037014
2016/08/10,-0.00228084
2016/08/11,-0.00224083
2016/08/12,0.0013405
2016/08/15,-0.00022008
2016/08/16,-0.00366135
2016/08/17,0.0002701
2016/08/18,0.00249092
2016/08/19,0.00246091
2016/08/22,0.00760281
2016/08/23,0.00748277
2016/08/24,0.00639237
2016/08/25,0.00341126
2016/08/26,5.002e-05
2016/08/29,0.00807299
2016/08/30,0.00523194
2016/08/31,0.00457169
2016/09/01,0.00473175
2016/09/02,0.00534198
2016/09/06,0.00463171
2016/09/07,0.00306113
2016/09/08,-0.00302112
2016/09/09,-0.01709633
2016/09/12,-0.00893331
2016/09/13,-0.02207817
2016/09/14,-0.02148795
2016/09/19,-0.02065764
2016/09/20,-0.0210678
2016/09/21,-0.01226454
2016/09/22,-0.00547202
2016/09/23,-0.00717265
2016/09/26,-0.00909336
2016/09/29,-0.00668247
2016/09/30,-0.00646239
2016/10/03,-0.00830307
2016/10/04,-0.01446535
2016/10/05,-0.01371507
2016/10/06,-0.01502556
2016/10/07,-0.0148655
2016/10/11,-0.01712634
2016/10/12,-0.0164861
2016/10/13,-0.0140452
2016/10/14,-0.02010744
2016/10/17,-0.01808669
2016/10/18,-0.01481548
2016/10/19,-0.01591589
2016/10/20,-0.01522563
2016/10/21,-0.01398517
2016/10/24,-0.01228455
2016/10/25,-0.01384512
2016/10/26,-0.01853686
2016/10/27,-0.02138791
2016/10/28,-0.02395886
2016/10/31,-0.02506928
2016/11/01,-0.02993107
2016/11/02,-0.0337925
2016/11/03,-0.03714374
2016/11/04,-0.03628342
2016/11/07,-0.03118154
2016/11/08,-0.03127157
2016/11/09,-0.03461281
2016/11/10,-0.03565319
2016/11/14,-0.03680362
2016/11/15,-0.03366246
2016/11/16,-0.03318228
2016/11/17,-0.03450277
2016/11/18,-0.0356732
2016/11/21,-0.03110151
2016/11/22,-0.0289207
2016/11/23,-0.03025119
2016/11/25,-0.02725008
2016/11/28,-0.02854056
2016/11/29,-0.02658984
2016/11/30,-0.02774026
2016/12/01,-0.02987105
2016/12/02,-0.0273101
2016/12/05,-0.0224383
2016/12/06,-0.02122785
2016/12/07,-0.01453538
2016/12/08,-0.01737643
2016/12/09,-0.01608595
2016/12/12,-0.01473545
2016/12/13,-0.01233456
2016/12/14,-0.01689625
2016/12/15,-0.01639607
2016/12/16,-0.01638606
2016/12/19,-0.01261467
2016/12/20,-0.01227454
2016/12/21,-0.01070396
2016/12/22,-0.01159429
2016/12/23,-0.00789292
2016/12/27,-0.00612227
2016/12/28,-0.0059422
2016/12/29,-0.00421156
2016/12/30,-0.00503186
2017/01/03,-0.00121045
2017/01/04,0.00262097
2017/01/05,0.0016106
2017/01/06,-0.0008103
2017/01/09,0.00020007
2017/01/10,-0.0029711
2017/01/11,-0.00228084
2017/01/12,-0.00553205
2017/01/13,-0.0086432
2017/01/17,-0.00655242
2017/01/18,-0.01016376
2017/01/19,-0.01311485
2017/01/20,-0.01375509
2017/01/23,-0.01502556
2017/01/24,-0.01465542
2017/02/02,-0.01835679
2017/02/03,-0.01610596
2017/02/06,-0.01690626
2017/02/07,-0.0148655
2017/02/08,-0.01232456
2017/02/09,-0.01321489
2017/02/10,-0.01197443
2017/02/13,-0.01086402
2017/02/14,-0.01317487
2017/02/15,-0.01389514
2017/02/16,-0.0121745
2017/02/17,-0.01187439
2017/02/21,-0.00874323
2017/02/22,-0.00960355
2017/02/23,-0.00701259
2017/02/24,-0.00637236
2017/03/01,-0.00453168
2017/03/02,-0.00464172
2017/03/03,-0.00158058
2017/03/06,-0.00434161
2017/03/07,-0.00959355
2017/03/08,-0.01397517
2017/03/09,-0.01505557
2017/03/10,-0.01241459
2017/03/13,-0.01575583
2017/03/14,-0.01770655
2017/03/15,-0.01229455
2017/03/16,-0.01367506
2017/03/17,-0.01333493
2017/03/20,-0.01504557
2017/03/21,-0.01967728
2017/03/22,-0.01964727
2017/03/23,-0.02035753
2017/03/24,-0.01977732
2017/03/27,-0.02289847
2017/03/28,-0.02003741
2017/03/29,-0.0159359
2017/03/30,-0.01415524
2017/03/31,-0.0137751
2017/04/05,-0.01493553
2017/04/06,-0.01165431
2017/04/07,-0.01171433
2017/04/10,-0.01013375
2017/04/11,-0.00877325
2017/04/12,-0.01024379
2017/04/13,-0.0159359
2017/04/17,-0.01286476
2017/04/18,-0.0132549
2017/04/19,-0.01508558
2017/04/20,-0.01304483
2017/04/21,-0.01497554
2017/04/24,-0.01113412
2017/04/25,-0.01079399
2017/04/26,-0.010804
2017/04/27,-0.01131419
2017/04/28,-0.01097406
2017/05/02,-0.01339496
2017/05/03,-0.01316487
2017/05/04,-0.01382512
2017/05/05,-0.01210448
2017/05/08,-0.0127047
2017/05/09,-0.01225453
2017/05/10,-0.01114412
2017/05/11,-0.01192441
2017/05/12,-0.01095405
2017/05/15,-0.00920341
2017/05/16,-0.00905335
2017/05/17,-0.01520563
2017/05/18,-0.01391515
2017/05/19,-0.00897332
2017/05/22,-0.00906335
2017/05/23,-0.00709262
2017/05/24,-0.00645239
2017/05/25,-0.00779288
2017/05/26,-0.00731271
2017/05/31,-0.00695257
2017/06/01,-0.00384142
2017/06/02,-0.002691
2017/06/05,-0.00416154
2017/06/06,-0.00483179
2017/06/07,-0.00523194
2017/06/08,-0.00526195
2017/06/09,-0.00308114
2017/06/12,-0.00137051
2017/06/13,0.00127047
2017/06/14,0.00265098
2017/06/15,0.0008003
2017/06/16,0.00416154
2017/06/19,0.00528195
2017/06/20,0.00329122
2017/06/21,0.00305113
2017/06/22,0.00277103
2017/06/23,0.00444164
2017/06/26,0.00638236
2017/06/27,0.00380141
2017/06/28,0.00790292
2017/06/29,0.00311115
2017/06/30,0.00456169
2017/07/03,0.00698258
2017/07/05,0.00819303
2017/07/06,0.00464172
2017/07/07,0.00548203
2017/07/10,0.00497184
2017/07/11,0.00612227
2017/07/12,0.00853316
2017/07/13,0.00785291
2017/07/14,0.0113442
2017/07/17,0.01185439
2017/07/18,0.01199444
2017/07/19,0.01448536
2017/07/20,0.01632604
2017/07/21,0.01632604
2017/07/24,0.01374509
2017/07/25,0.01212449
2017/07/26,0.0129648
2017/07/27,0.01122415
2017/07/28,0.0116243
2017/07/31,0.01211448
2017/08/01,0.01328492
2017/08/02,0.01197443
2017/08/03,0.010824
2017/08/04,0.01040385
2017/08/07,0.01045387
2017/08/08,0.00710263
2017/08/09,0.00464172
2017/08/10,-0.00179066
2017/08/11,-0.00158058
2017/08/14,0.00164061
2017/08/15,0.00209077
2017/08/16,0.00464172
2017/08/17,-0.002691
2017/08/18,-0.00401148
2017/08/21,-0.00346128
2017/08/22,0.00035013
2017/08/23,-0.00088033
2017/08/24,-0.00105039
2017/08/25,0.00077029
2017/08/28,-0.00049018
2017/08/29,-0.00051019
2017/08/30,1e-05
2017/08/31,0.00333123
2017/09/01,0.00427158
2017/09/05,0.00137051
2017/09/06,0.00278103
2017/09/07,0.00263097
2017/09/08,0.00036013
2017/09/11,0.00340126
2017/09/12,0.00610226
2017/09/13,0.00749277
2017/09/14,0.00981363
2017/09/15,0.01122415
2017/09/18,0.01247462
2017/09/19,0.01488551
2017/09/20,0.01574583
2017/09/21,0.01596591
2017/09/22,0.01661615
2017/09/25,0.01719636
2017/09/26,0.016226
2017/09/27,0.01719636
2017/09/28,0.02112782
2017/09/29,0.02185809
2017/10/02,0.02477917
2017/10/03,0.02727009
2017/10/05,0.02614968
2017/10/06,0.02470914
2017/10/11,0.02472915
2017/10/12,0.02259836
2017/10/13,0.02385883
2017/10/16,0.02349869
2017/10/17,0.02508928
2017/10/18,0.0267499
2017/10/19,0.02767024
2017/10/20,0.02936086
2017/10/23,0.02969099
2017/10/24,0.0289207
2017/10/25,0.02545942
2017/10/26,0.02384882
2017/10/27,0.02429899
2017/10/30,0.02181807
2017/10/31,0.02036754
2017/11/01,0.02122785
2017/11/02,0.02064764
2017/11/03,0.02012745
2017/11/06,0.01979733
2017/11/07,0.01862689
2017/11/08,0.01908706
2017/11/09,0.01650611
2017/11/10,0.0143153
2017/11/13,0.01423527
2017/11/14,0.01302482
2017/11/15,0.0091934
2017/11/16,0.01535568
2017/11/17,0.01483549
2017/11/20,0.01661615
2017/11/21,0.01942719
2017/11/22,0.01941718
2017/11/24,0.01949721
2017/11/27,0.01852685
2017/11/28,0.02214819
2017/11/29,0.02318858
2017/11/30,0.02575953
2017/12/01,0.02739013
2017/12/04,0.02860058
2017/12/05,0.02720006
2017/12/06,0.02603963
2017/12/07,0.02605964
2017/12/08,0.02910077
2017/12/11,0.02979102
2017/12/12,0.03181177
2017/12/13,0.03253204
2017/12/14,0.03114152
2017/12/15,0.03428268
2017/12/18,0.03534308
2017/12/19,0.03366246
2017/12/20,0.0321519
2017/12/21,0.03456279
2017/12/22,0.03417264
2017/12/26,0.03435271
2017/12/27,0.03585327
2017/12/28,0.03546312
2017/12/29,0.03361244
2018/01/02,0.03148165
2018/01/03,0.03225193
2018/01/04,0.03358243
2018/01/05,0.03504297
2018/01/08,0.03634345
2018/01/09,0.03636345
2018/01/10,0.03690365
2018/01/11,0.04103518
2018/01/12,0.04355612
2018/01/16,0.0429659
2018/01/17,0.04600702
2018/01/18,0.04445645
2018/01/19,0.04369617
2018/01/22,0.04597701
2018/01/23,0.04561688
2018/01/24,0.04421636
2018/01/25,0.04182548
2018/01/26,0.04753759
2018/01/29,0.04611706
2018/01/30,0.04092514
2018/01/31,0.03983474
2018/02/01,0.04057501
2018/02/02,0.02867061
2018/02/05,0.005412
2018/02/06,0.0099937
2018/02/07,0.00793294
2018/02/08,-0.00398147
2018/02/09,-0.00389144
2018/02/12,-0.00087032
2018/02/21,-0.00029011
2018/02/22,-0.00069026
2018/02/23,0.00219081
2018/02/26,0.00285105
2018/02/27,0.00039014
2018/03/01,-0.002711
2018/03/02,-0.00300111
2018/03/05,-0.00128047
2018/03/06,0.00036013
2018/03/07,0.00105039
2018/03/08,0.00229085
2018/03/09,0.00450167
2018/03/12,0.00254094
2018/03/13,0.00177066
2018/03/14,0.00059022
2018/03/15,-0.00103038
2018/03/16,0.00172064
2018/03/19,-0.00250093
2018/03/20,-0.00305113
2018/03/21,-0.00343127
2018/03/22,-0.01198443
2018/03/23,-0.01804668
2018/03/26,-0.01214449
2018/03/27,-0.01521563
2018/03/28,-0.01361504
2018/03/29,-0.00992367
2018/04/02,-0.0173064
2018/04/03,-0.01295479
2018/04/09,-0.00931345
2018/04/10,-0.00292108
2018/04/11,-0.0040415
2018/04/12,-0.00125046
2018/04/13,-0.0002801
2018/04/16,0.0043116
2018/04/17,0.00457169
2018/04/18,0.00367136
2018/04/19,-0.00088033
2018/04/20,-0.00221082
2018/04/23,-2.001e-05
2018/04/24,-0.00041015
2018/04/25,-5.002e-05
2018/04/26,0.00299111
2018/04/27,0.00327121
2018/04/30,-0.0010904
2018/05/02,-0.00255094
2018/05/03,-0.00353131
2018/05/04,-0.00181067
2018/05/07,-0.00095035
2018/05/08,-0.00133049
2018/05/09,0.00309114
2018/05/10,0.00537199
2018/05/11,0.0056821
2018/05/14,0.00659244
2018/05/15,0.00562208
2018/05/16,0.00806298
2018/05/17,0.00736272
2018/05/18,0.00657243
2018/05/21,0.01035383
2018/05/22,0.00899333
2018/05/23,0.01036383
2018/05/24,0.01004372
2018/05/25,0.00907336
2018/05/29,0.00640237
2018/05/30,0.01057391
2018/05/31,0.00713264
2018/06/01,0.0078329
2018/06/04,0.00840311
2018/06/05,0.00805298
2018/06/06,0.00796295
2018/06/07,0.00826306
2018/06/08,0.00991367
2018/06/11,0.0113642
2018/06/12,0.01145424
2018/06/13,0.00925342
2018/06/14,0.01114412
2018/06/15,0.01177436
2018/06/19,0.01138421
2018/06/20,0.01030381
2018/06/21,0.00870322
2018/06/22,0.00975361
2018/06/25,0.00613227
2018/06/26,0.00640237
2018/06/27,0.0043316
2018/06/28,0.00802297
2018/06/29,0.00709262
2018/07/02,0.00584216
2018/07/03,0.0078429
2018/07/05,0.01278473
2018/07/06,0.01573582
2018/07/09,0.01732641
2018/07/10,0.02019747
2018/07/11,0.01774657
2018/07/12,0.0224283
2018/07/13,0.0229785
2018/07/16,0.02330862
2018/07/17,0.02173804
2018/07/18,0.02299851
2018/07/19,0.0227084
2018/07/20,0.02357872
2018/07/23,0.02214819
2018/07/24,0.0272901
2018/07/25,0.02809039
2018/07/26,0.02813041
2018/07/27,0.02985104
2018/07/30,0.03084141
2018/07/31,0.03427268
2018/08/01,0.03181177
2018/08/02,0.03327231
2018/08/03,0.03692366
2018/08/06,0.03650351
2018/08/07,0.03751388
2018/08/08,0.03657353
2018/08/09,0.03532307
2018/08/10,0.03320228
2018/08/13,0.03252203
2018/08/14,0.03441273
2018/08/15,0.03327231
2018/08/16,0.03786401
2018/08/17,0.03944459
2018/08/20,0.040535
2018/08/21,0.04068505
2018/08/22,0.03976471
2018/08/23,0.04024489
2018/08/24,0.04017486
2018/08/27,0.04097516
2018/08/28,0.03910447
2018/08/29,0.03937457
2018/08/30,0.0370237
2018/08/31,0.03552314
2018/09/04,0.03245201
2018/09/05,0.03336234
2018/09/06,0.03320228
2018/09/07,0.03088143
2018/09/10,0.03408261
2018/09/11,0.03336234
2018/09/12,0.03599332
2018/09/13,0.03830417
2018/09/14,0.03796405
2018/09/17,0.03862429
2018/09/18,0.03908446
2018/09/19,0.03763392
2018/09/20,0.04164541
2018/09/21,0.04219561
2018/09/25,0.03818413
2018/09/26,0.03825415
2018/09/27,0.03733381
2018/09/28,0.03683363
2018/10/01,0.03793404
2018/10/02,0.04170543
2018/10/03,0.04177546
2018/10/04,0.03895441
2018/10/05,0.03553315
2018/10/08,0.03754389
2018/10/09,0.03779398
2018/10/11,0.01807669
