date,value
2008/06/11,0.0
2008/06/12,0.0
2008/06/13,0.0
2008/06/16,0.0
2008/06/17,0.0
2008/06/18,0.0
2008/06/19,0.0
2008/06/20,-0.001
2008/06/23,-0.001
2008/06/24,-0.002
2008/06/25,-0.002
2008/06/26,-0.002
2008/06/27,-0.002
2008/06/30,-0.002
2008/07/01,-0.002
2008/07/02,-0.003
2008/07/03,-0.004
2008/07/04,-0.004
2008/07/07,-0.004
2008/07/08,-0.005
2008/07/09,-0.004
2008/07/10,-0.004
2008/07/11,-0.004
2008/07/14,-0.004
2008/07/15,-0.005
2008/07/16,-0.004
2008/07/17,-0.005
2008/07/18,-0.007
2008/07/21,-0.007
2008/07/22,-0.008
2008/07/23,-0.009
2008/07/24,-0.014
2008/07/25,-0.016
2008/07/29,-0.017
2008/07/30,-0.017
2008/07/31,-0.017
2008/08/01,-0.017
2008/08/04,-0.017
2008/08/05,-0.018
2008/08/06,-0.017
2008/08/07,-0.018
2008/08/08,-0.019
2008/08/11,-0.018
2008/08/12,-0.018
2008/08/13,-0.022
2008/08/14,-0.021
2008/08/15,-0.025
2008/08/18,-0.025
2008/08/19,-0.049
2008/08/20,-0.038
2008/08/21,-0.037
2008/08/22,-0.043
2008/08/25,-0.046
2008/08/26,-0.07
2008/08/27,-0.062
2008/08/28,-0.049
2008/08/29,-0.053
2008/09/01,-0.05
2008/09/02,-0.053
2008/09/03,-0.067
2008/09/04,-0.087
2008/09/05,-0.097
2008/09/08,-0.086
2008/09/09,-0.119
2008/09/10,-0.125
2008/09/11,-0.153
2008/09/12,-0.117
2008/09/15,-0.148
2008/09/16,-0.215
2008/09/17,-0.236
2008/09/18,-0.213
2008/09/19,-0.137
2008/09/22,-0.119
2008/09/23,-0.132
2008/09/24,-0.131
2008/09/25,-0.121
2008/09/26,-0.141
2008/09/30,-0.18
2008/10/01,-0.188
2008/10/02,-0.218
2008/10/03,-0.242
2008/10/06,-0.365
2008/10/07,-0.325
2008/10/08,-0.346
2008/10/09,-0.34
2008/10/13,-0.353
2008/10/14,-0.312
2008/10/15,-0.357
2008/10/16,-0.411
2008/10/17,-0.42
2008/10/20,-0.409
2008/10/21,-0.401
2008/10/22,-0.444
2008/10/23,-0.458
2008/10/24,-0.51
2008/10/27,-0.516
2008/10/28,-0.492
2008/10/29,-0.449
2008/10/30,-0.376
2008/10/31,-0.376
2008/11/03,-0.364
