date,value
2010/09/15,0.0
2010/09/16,2e-05
2010/09/17,-8e-05
2010/09/20,-0.0002
2010/09/21,-0.00013
2010/09/23,-0.00048001
2010/09/24,0.00034001
2010/09/27,0.00026001
2010/09/28,0.00072001
2010/09/29,0.00110002
2010/09/30,0.00115002
2010/10/01,0.00282006
2010/10/04,0.00232005
2010/10/05,0.00376008
2010/10/06,0.0051701
2010/10/07,0.00678014
2010/10/08,0.00805016
2010/10/11,0.00772015
2010/10/12,0.00879018
2010/10/13,0.0097602
2010/10/14,0.00883018
2010/10/15,0.00959019
2010/10/18,0.00618012
2010/10/19,0.00243005
2010/10/20,0.00259005
2010/10/21,0.00430009
2010/10/22,0.00336007
2010/10/25,0.00346007
2010/10/26,0.00371007
2010/10/27,0.00223004
2010/10/28,0.00234005
2010/10/29,0.00316006
2010/11/01,0.00383008
2010/11/02,0.00619012
2010/11/03,0.00667013
2010/11/04,0.01281026
2010/11/05,0.01246025
2010/11/08,0.00960019
2010/11/09,0.01132023
2010/11/10,0.0049101
2010/11/11,0.00252005
2010/11/12,0.00451009
2010/11/15,-0.00147003
2010/11/16,-0.0051201
2010/11/17,-0.01196024
2010/11/18,-0.0098202
2010/11/19,-0.00818016
2010/11/22,-0.00958019
2010/11/23,-0.00955019
2010/11/24,-0.0150803
2010/11/25,-0.01443029
2010/11/26,-0.01686034
2010/11/29,-0.01911038
2010/11/30,-0.02456049
2010/12/01,-0.02173043
2010/12/02,-0.02167043
2010/12/03,-0.01805036
2010/12/06,-0.01905038
2010/12/07,-0.0148403
2010/12/08,-0.01559031
2010/12/09,-0.02091042
2010/12/10,-0.01879038
2010/12/13,-0.01775036
2010/12/14,-0.01877038
2010/12/15,-0.0200804
2010/12/16,-0.02082042
2010/12/17,-0.02135043
2010/12/20,-0.01904038
2010/12/21,-0.0200604
2010/12/22,-0.01920038
2010/12/23,-0.02153043
2010/12/24,-0.01905038
2010/12/27,-0.01807036
2010/12/28,-0.01814036
2010/12/29,-0.01668033
2010/12/30,-0.01770035
2010/12/31,-0.01167023
2011/01/03,-0.0149603
2011/01/04,-0.01192024
2011/01/05,-0.01199024
2011/01/06,-0.01634033
2011/01/07,-0.02579052
2011/01/10,-0.02575052
2011/01/11,-0.02837057
2011/01/12,-0.02796056
2011/01/13,-0.02397048
2011/01/14,-0.02199044
2011/01/17,-0.02611052
2011/01/18,-0.02664053
2011/01/19,-0.02570051
2011/01/20,-0.02854057
2011/01/21,-0.02905058
2011/01/24,-0.03171063
2011/01/25,-0.02968059
2011/01/26,-0.0299706
2011/01/27,-0.02892058
2011/01/28,-0.03109062
2011/01/31,-0.03218064
2011/02/01,-0.03283066
2011/02/08,-0.03257065
2011/02/09,-0.03469069
2011/02/10,-0.0352307
2011/02/11,-0.03565071
2011/02/14,-0.03377068
2011/02/15,-0.03184064
2011/02/16,-0.03282066
2011/02/17,-0.03040061
2011/02/18,-0.02919058
2011/02/21,-0.02827057
2011/02/22,-0.0249605
2011/02/23,-0.02608052
2011/02/24,-0.02379048
2011/02/25,-0.02384048
2011/03/01,-0.02200044
2011/03/02,-0.02156043
2011/03/03,-0.02328047
2011/03/04,-0.02350047
2011/03/07,-0.02305046
2011/03/08,-0.02446049
2011/03/09,-0.02462049
2011/03/10,-0.02362047
2011/03/11,-0.02366047
2011/03/14,-0.0249905
2011/03/15,-0.02697054
2011/03/16,-0.02940059
2011/03/17,-0.02759055
2011/03/18,-0.02609052
2011/03/21,-0.0248405
2011/03/22,-0.02418048
2011/03/23,-0.02419048
2011/03/24,-0.02322046
2011/03/25,-0.02425049
2011/03/28,-0.02375048
2011/03/29,-0.02462049
2011/03/30,-0.02308046
2011/03/31,-0.02373047
2011/04/01,-0.02533051
2011/04/06,-0.02352047
2011/04/07,-0.02380048
2011/04/08,-0.02146043
2011/04/11,-0.02161043
2011/04/12,-0.02065041
2011/04/13,-0.02165043
2011/04/14,-0.02281046
2011/04/15,-0.02236045
2011/04/18,-0.02279046
2011/04/19,-0.02324046
2011/04/20,-0.02228045
2011/04/21,-0.0202204
2011/04/22,-0.0201404
2011/04/25,-0.0197804
2011/04/26,-0.0201604
2011/04/27,-0.01824036
2011/04/28,-0.01927039
2011/04/29,-0.01799036
2011/05/03,-0.01711034
2011/05/04,-0.01831037
2011/05/05,-0.01948039
2011/05/06,-0.01740035
2011/05/09,-0.01760035
2011/05/10,-0.01742035
2011/05/11,-0.01862037
2011/05/12,-0.01873037
2011/05/13,-0.01831037
2011/05/16,-0.01848037
2011/05/17,-0.01824036
2011/05/18,-0.01774035
2011/05/19,-0.01593032
2011/05/20,-0.01684034
2011/05/23,-0.01818036
2011/05/24,-0.01859037
2011/05/25,-0.01907038
2011/05/26,-0.0200704
2011/05/27,-0.0197904
2011/05/30,-0.01908038
2011/05/31,-0.01832037
2011/06/01,-0.01947039
2011/06/02,-0.01903038
2011/06/03,-0.01946039
2011/06/07,-0.0202104
2011/06/08,-0.02275046
2011/06/09,-0.02163043
2011/06/10,-0.02386048
2011/06/13,-0.02419048
2011/06/14,-0.02575052
2011/06/15,-0.02698054
2011/06/16,-0.0302306
2011/06/17,-0.03165063
2011/06/20,-0.03218064
2011/06/21,-0.03030061
2011/06/22,-0.02947059
2011/06/23,-0.03054061
2011/06/24,-0.03127063
2011/06/27,-0.03247065
2011/06/28,-0.03248065
2011/06/29,-0.0299706
2011/06/30,-0.02760055
2011/07/01,-0.02384048
2011/07/04,-0.02308046
2011/07/05,-0.02200044
2011/07/06,-0.02307046
2011/07/07,-0.02118042
2011/07/08,-0.0200104
2011/07/11,-0.02328047
2011/07/12,-0.02586052
2011/07/13,-0.02595052
2011/07/14,-0.0248705
2011/07/15,-0.02437049
2011/07/18,-0.02573051
2011/07/19,-0.02529051
2011/07/20,-0.02360047
2011/07/21,-0.02158043
2011/07/22,-0.01868037
2011/07/25,-0.01825037
2011/07/26,-0.01830037
2011/07/27,-0.01791036
2011/07/28,-0.01736035
2011/07/29,-0.01752035
2011/08/01,-0.0152303
2011/08/02,-0.01617032
2011/08/03,-0.01698034
2011/08/04,-0.01867037
2011/08/05,-0.02608052
2011/08/08,-0.03676074
2011/08/09,-0.0449809
2011/08/10,-0.04614092
2011/08/11,-0.049991
2011/08/12,-0.04948099
2011/08/15,-0.04597092
2011/08/16,-0.04176084
2011/08/17,-0.03868077
2011/08/18,-0.03904078
2011/08/19,-0.04034081
2011/08/22,-0.0402308
2011/08/23,-0.04200084
2011/08/24,-0.04579092
2011/08/25,-0.04632093
2011/08/26,-0.04615092
2011/08/29,-0.0451809
2011/08/30,-0.04277086
2011/08/31,-0.03823076
2011/09/01,-0.03689074
2011/09/02,-0.03600072
2011/09/05,-0.03781076
2011/09/06,-0.04098082
2011/09/07,-0.0401308
2011/09/08,-0.03865077
2011/09/09,-0.0401908
2011/09/13,-0.04725095
2011/09/14,-0.04908098
2011/09/15,-0.05073101
2011/09/16,-0.049801
2011/09/19,-0.05223104
2011/09/20,-0.0549611
2011/09/21,-0.05675114
2011/09/22,-0.06327127
2011/09/23,-0.07095142
2011/09/26,-0.07642153
2011/09/27,-0.07580152
2011/09/28,-0.07657153
2011/09/29,-0.07667153
2011/09/30,-0.0802316
2011/10/03,-0.08439169
2011/10/04,-0.09418188
2011/10/05,-0.09665193
2011/10/06,-0.09116182
2011/10/07,-0.08653173
2011/10/11,-0.08257165
2011/10/12,-0.07550151
2011/10/13,-0.07162143
2011/10/14,-0.06935139
2011/10/17,-0.06751135
2011/10/18,-0.06900138
2011/10/19,-0.06783136
2011/10/20,-0.06549131
2011/10/21,-0.06375128
2011/10/24,-0.06307126
2011/10/25,-0.0598512
2011/10/26,-0.05860117
2011/10/27,-0.05207104
2011/10/28,-0.04835097
2011/10/31,-0.04784096
2011/11/01,-0.04914098
2011/11/02,-0.05128103
2011/11/03,-0.04942099
2011/11/04,-0.04907098
2011/11/07,-0.04846097
2011/11/08,-0.04787096
2011/11/09,-0.050191
2011/11/10,-0.05192104
2011/11/11,-0.05264105
2011/11/14,-0.05275106
2011/11/15,-0.05422108
2011/11/16,-0.05595112
2011/11/17,-0.05784116
2011/11/18,-0.05897118
2011/11/21,-0.06354127
2011/11/22,-0.06651133
2011/11/23,-0.06894138
2011/11/24,-0.06972139
2011/11/25,-0.07141143
2011/11/28,-0.0698714
2011/11/29,-0.06872137
2011/11/30,-0.06694134
2011/12/01,-0.0648313
2011/12/02,-0.06165123
2011/12/05,-0.05870117
2011/12/06,-0.05741115
2011/12/07,-0.05703114
2011/12/08,-0.05688114
2011/12/09,-0.05631113
2011/12/12,-0.05770115
2011/12/13,-0.05896118
2011/12/14,-0.06041121
2011/12/15,-0.06076122
2011/12/16,-0.0598612
2011/12/19,-0.05974119
2011/12/20,-0.05911118
2011/12/21,-0.05820116
2011/12/22,-0.05603112
2011/12/23,-0.05590112
2011/12/26,-0.05575112
2011/12/27,-0.05567111
2011/12/28,-0.0548511
2011/12/29,-0.05433109
2011/12/30,-0.05388108
2012/01/02,-0.05388108
2012/01/03,-0.05154103
2012/01/04,-0.049781
2012/01/05,-0.050061
2012/01/06,-0.049971
2012/01/09,-0.049981
2012/01/10,-0.049781
2012/01/11,-0.04851097
2012/01/12,-0.04858097
2012/01/13,-0.04913098
2012/01/16,-0.04856097
2012/01/17,-0.04780096
2012/01/18,-0.04720094
2012/01/19,-0.04312086
2012/01/20,-0.04086082
2012/01/30,-0.0297606
2012/01/31,-0.03081062
2012/02/01,-0.02892058
2012/02/02,-0.02793056
2012/02/03,-0.02614052
2012/02/04,-0.02682054
