date,value
2015/12/23,0.0
2015/12/24,0.0
2015/12/25,0.0
2015/12/28,0.0
2015/12/29,0.001
2015/12/30,0.001
2015/12/31,0.001
2016/01/04,0.0
2016/01/05,-0.001
2016/01/06,-0.001
2016/01/07,-0.002
2016/01/08,-0.002
2016/01/11,-0.002
2016/01/12,-0.006
2016/01/13,-0.003
2016/01/14,-0.005
2016/01/15,-0.005
2016/01/18,-0.007
2016/01/19,-0.007
2016/01/20,-0.011
2016/01/21,-0.017
2016/01/22,-0.011
2016/01/25,-0.008
2016/01/26,-0.013
2016/01/27,-0.003
2016/01/28,-0.007
2016/01/29,-0.004
2016/02/01,0.009
2016/02/02,0.006
2016/02/03,-0.004
2016/02/15,-0.038
2016/02/16,-0.036
2016/02/17,-0.04
2016/02/18,-0.029
2016/02/19,-0.03
2016/02/22,-0.028
2016/02/23,-0.03
2016/02/24,-0.032
2016/02/25,-0.022
2016/02/26,-0.03
2016/03/01,-0.031
2016/03/02,-0.017
2016/03/03,-0.013
2016/03/04,-0.011
2016/03/07,-0.019
2016/03/08,-0.022
2016/03/09,-0.022
2016/03/10,-0.021
2016/03/11,-0.023
2016/03/14,-0.014
2016/03/15,-0.014
2016/03/16,-0.02
2016/03/17,-0.01
2016/03/18,-0.026
2016/03/22,-0.012
2016/03/23,-0.019
2016/03/24,-0.019
2016/03/25,-0.015
2016/03/28,-0.01
2016/03/29,-0.006
2016/03/30,-0.012
2016/03/31,-0.026
2016/04/01,-0.044
2016/04/06,-0.049
2016/04/07,-0.033
2016/04/08,-0.02
2016/04/11,-0.028
2016/04/12,-0.018
2016/04/13,-0.005
2016/04/14,0.019
2016/04/15,0.013
2016/04/18,-0.009
2016/04/19,0.006
2016/04/20,0.008
2016/04/21,0.023
2016/04/22,0.011
2016/04/25,0.013
2016/04/26,0.009
2016/04/27,0.004
2016/04/28,0.006
2016/05/06,-0.013
2016/05/09,-0.015
2016/05/10,0.0
2016/05/11,0.007
2016/05/12,0.004
2016/05/13,0.001
2016/05/16,0.005
2016/05/17,0.006
2016/05/18,0.004
2016/05/19,0.001
2016/05/20,0.007
2016/05/23,0.005
2016/05/24,-0.002
2016/05/25,0.001
2016/05/26,0.001
2016/05/27,0.0
2016/05/30,0.008
2016/05/31,0.017
2016/06/01,0.019
2016/06/02,0.003
2016/06/03,0.028
2016/06/06,0.012
2016/06/07,0.01
2016/06/08,0.022
2016/06/13,-0.006
2016/06/14,-0.015
2016/06/15,-0.013
2016/06/16,-0.024
2016/06/17,-0.017
2016/06/20,-0.004
2016/06/21,0.004
2016/06/22,-0.001
2016/06/23,-0.003
2016/06/24,-0.029
2016/06/27,-0.01
2016/06/28,-0.02
2016/06/29,-0.007
2016/06/30,-0.009
2016/07/01,-0.001
2016/07/04,0.003
2016/07/05,0.012
2016/07/06,0.012
2016/07/07,-0.009
2016/07/11,-0.006
2016/07/12,0.004
2016/07/13,0.003
2016/07/14,0.001
2016/07/15,0.004
2016/07/19,0.003
2016/07/20,0.004
2016/07/21,0.01
2016/07/22,0.002
2016/07/25,0.001
2016/07/26,0.01
2016/07/27,0.012
2016/07/28,0.006
2016/07/29,0.045
2016/08/01,0.031
2016/08/02,0.02
2016/08/03,0.0
2016/08/04,-0.004
2016/08/05,-0.014
2016/08/08,-0.003
2016/08/09,0.004
2016/08/10,0.01
2016/08/12,0.025
2016/08/15,0.019
2016/08/16,0.015
2016/08/17,0.016
2016/08/18,0.005
2016/08/19,0.014
2016/08/22,0.023
2016/08/23,0.018
2016/08/24,0.028
2016/08/25,0.02
2016/08/26,-0.005
2016/08/29,0.014
2016/08/30,0.006
2016/08/31,0.011
2016/09/01,0.01
2016/09/02,0.008
2016/09/05,0.009
2016/09/06,0.015
2016/09/07,0.026
2016/09/08,0.025
2016/09/09,0.019
2016/09/12,0.017
2016/09/13,0.017
2016/09/14,0.007
2016/09/20,-0.001
2016/09/21,0.033
2016/09/23,0.037
2016/09/26,0.037
2016/09/29,0.033
2016/09/30,0.019
2016/10/03,0.026
2016/10/04,0.02
2016/10/05,0.019
2016/10/06,0.021
2016/10/07,0.027
2016/10/11,0.027
2016/10/12,0.017
2016/10/13,0.018
2016/10/14,0.015
2016/10/17,0.023
2016/10/18,0.028
2016/10/19,0.029
2016/10/20,0.036
2016/10/21,0.037
2016/10/24,0.04
2016/10/25,0.04
2016/10/26,0.044
2016/10/27,0.039
2016/10/28,0.044
2016/10/31,0.039
2016/11/01,0.042
2016/11/02,0.042
2016/11/04,0.026
2016/11/07,0.027
2016/11/08,0.027
2016/11/09,-0.006
2016/11/10,0.019
2016/11/11,0.022
2016/11/14,0.03
2016/11/15,0.024
2016/11/16,0.024
2016/11/17,0.031
2016/11/18,0.024
2016/11/21,0.032
2016/11/22,0.034
2016/11/24,0.021
2016/11/25,0.022
2016/11/28,0.029
2016/11/29,0.024
2016/11/30,0.023
2016/12/01,0.023
2016/12/02,0.025
2016/12/05,0.015
2016/12/06,0.024
2016/12/07,0.03
2016/12/08,0.047
2016/12/09,0.04
2016/12/12,0.038
2016/12/13,0.045
2016/12/14,0.046
2016/12/15,0.023
2016/12/16,0.033
2016/12/19,0.036
2016/12/20,0.038
2016/12/21,0.038
2016/12/22,0.037
2016/12/26,0.046
2016/12/27,0.045
2016/12/28,0.042
2016/12/29,0.037
2016/12/30,0.031
2017/01/04,0.049
2017/01/05,0.047
2017/01/06,0.045
2017/01/10,0.048
2017/01/11,0.047
2017/01/12,0.053
2017/01/13,0.052
2017/01/16,0.047
2017/01/17,0.041
2017/01/18,0.044
2017/01/19,0.044
2017/01/20,0.046
2017/01/23,0.039
2017/01/24,0.035
2017/02/02,0.045
2017/02/03,0.042
2017/02/06,0.042
2017/02/07,0.044
2017/02/08,0.055
2017/02/09,0.043
2017/02/10,0.057
2017/02/13,0.055
2017/02/14,0.046
2017/02/15,0.043
2017/02/16,0.052
2017/02/17,0.055
2017/02/20,0.055
2017/02/21,0.055
2017/02/22,0.062
2017/02/23,0.059
2017/02/24,0.059
2017/03/01,0.051
2017/03/02,0.055
2017/03/03,0.059
2017/03/06,0.06
2017/03/07,0.054
2017/03/08,0.051
2017/03/09,0.056
2017/03/10,0.066
2017/03/13,0.066
2017/03/14,0.062
2017/03/15,0.058
2017/03/16,0.065
2017/03/17,0.068
2017/03/21,0.06
2017/03/22,0.053
2017/03/23,0.055
2017/03/24,0.06
2017/03/27,0.05
2017/03/28,0.059
2017/03/29,0.066
2017/03/30,0.057
2017/03/31,0.046
2017/04/05,0.045
2017/04/06,0.033
2017/04/07,0.041
2017/04/10,0.048
2017/04/11,0.049
2017/04/12,0.043
2017/04/13,0.036
2017/04/14,0.035
2017/04/17,0.039
2017/04/18,0.041
2017/04/19,0.041
2017/04/20,0.038
2017/04/21,0.047
2017/04/24,0.042
2017/04/25,0.046
2017/04/26,0.051
2017/04/27,0.049
2017/04/28,0.048
2017/05/02,0.052
2017/05/08,0.078
2017/05/09,0.066
2017/05/10,0.067
2017/05/11,0.064
2017/05/12,0.067
2017/05/15,0.064
2017/05/16,0.066
2017/05/17,0.073
2017/05/18,0.082
2017/05/19,0.074
2017/05/22,0.072
2017/05/23,0.077
2017/05/24,0.08
2017/05/25,0.077
2017/05/26,0.077
2017/05/31,0.082
2017/06/01,0.092
2017/06/02,0.113
2017/06/05,0.11
2017/06/06,0.111
2017/06/07,0.113
2017/06/08,0.099
2017/06/09,0.093
2017/06/12,0.098
2017/06/13,0.1
2017/06/14,0.097
2017/06/15,0.101
2017/06/16,0.096
2017/06/19,0.098
2017/06/20,0.102
2017/06/21,0.103
2017/06/22,0.099
2017/06/23,0.1
2017/06/26,0.094
2017/06/27,0.097
2017/06/28,0.094
2017/06/29,0.094
2017/06/30,0.089
2017/07/03,0.086
2017/07/04,0.086
2017/07/05,0.088
2017/07/06,0.094
2017/07/07,0.084
2017/07/10,0.084
2017/07/11,0.09
2017/07/12,0.091
2017/07/13,0.094
2017/07/14,0.105
2017/07/18,0.103
2017/07/19,0.106
2017/07/20,0.112
2017/07/21,0.121
2017/07/24,0.119
2017/07/25,0.109
2017/07/26,0.105
2017/07/27,0.106
2017/07/28,0.11
2017/07/31,0.112
2017/08/01,0.12
2017/08/02,0.118
2017/08/03,0.118
2017/08/04,0.12
2017/08/07,0.127
2017/08/08,0.126
