date,value
1997/06/03,0.0
1997/06/04,0.0
1997/06/05,0.0
1997/06/06,0.0
1997/06/07,0.0
1997/06/10,0.0
1997/06/11,0.000999
1997/06/12,0.0
1997/06/13,0.0
1997/06/14,0.0
1997/06/16,0.000999
1997/06/17,0.001998
1997/06/18,0.001998
1997/06/19,0.00599401
1997/06/20,0.01198801
1997/06/23,0.03396603
1997/06/24,0.02897103
1997/06/25,0.03596404
1997/06/26,0.05094905
1997/06/27,0.06193806
1997/06/28,0.06193806
1997/06/30,0.06693307
1997/07/02,0.15384615
1997/07/03,0.13786214
1997/07/04,0.13186813
1997/07/07,0.08291708
1997/07/08,0.05894106
1997/07/09,0.06893107
1997/07/10,0.0969031
1997/07/11,0.07892108
1997/07/14,0.04695305
1997/07/15,0.05894106
1997/07/16,0.0989011
1997/07/17,0.08391608
1997/07/18,0.06393606
1997/07/21,0.04895105
1997/07/22,0.04895105
1997/07/23,0.03296703
1997/07/24,0.03296703
1997/07/25,0.02197802
1997/07/28,0.06293706
1997/07/29,0.07692308
1997/07/30,0.08391608
1997/07/31,0.07392607
1997/08/01,0.05894106
1997/08/04,0.06793207
1997/08/05,0.05094905
1997/08/06,0.04195804
1997/08/07,0.03696304
1997/08/08,0.05594406
1997/08/11,0.05394605
1997/08/12,0.04495504
1997/08/13,0.03896104
1997/08/14,0.02997003
1997/08/15,0.02897103
1997/08/19,-0.02297702
1997/08/20,-0.04595405
1997/08/21,-0.04395604
1997/08/22,-0.07092907
1997/08/25,-0.12287712
1997/08/26,-0.12587413
1997/08/27,-0.13086913
1997/08/28,-0.15284715
1997/09/01,-0.18081918
1997/09/02,-0.14785215
1997/09/03,-0.15084915
1997/09/04,-0.14985015
1997/09/05,-0.12887113
1997/09/08,-0.09390609
1997/09/09,-0.09290709
1997/09/10,-0.11188811
1997/09/11,-0.11788212
1997/09/12,-0.14185814
1997/09/15,-0.14085914
1997/09/17,-0.16783217
1997/09/18,-0.16283716
1997/09/19,-0.16383616
1997/09/22,-0.16683317
1997/09/23,-0.15284715
1997/09/24,-0.13486513
1997/09/25,-0.07492507
1997/09/26,-0.08391608
1997/09/30,-0.08791209
1997/10/01,-0.09390609
1997/10/02,-0.08291708
1997/10/03,-0.09090909
1997/10/06,-0.1018981
1997/10/07,-0.11688312
1997/10/08,-0.12287712
1997/10/09,-0.11988012
1997/10/13,-0.10889111
1997/10/14,-0.11788212
1997/10/15,-0.0959041
1997/10/16,-0.0999001
1997/10/17,-0.11488511
1997/10/20,-0.14585415
1997/10/21,-0.15084915
1997/10/22,-0.13686314
1997/10/23,-0.14885115
1997/10/24,-0.17882118
1997/10/27,-0.17082917
1997/10/28,-0.21078921
1997/10/29,-0.19380619
1997/10/30,-0.21778222
1997/11/03,-0.2037962
1997/11/04,-0.13586414
1997/11/05,-0.14985015
1997/11/06,-0.16083916
1997/11/07,-0.15284715
1997/11/10,-0.15184815
1997/11/11,-0.18381618
1997/11/13,-0.2017982
1997/11/14,-0.2007992
1997/11/17,-0.21278721
1997/11/18,-0.21378621
1997/11/19,-0.21978022
1997/11/20,-0.22977023
1997/11/21,-0.21678322
1997/11/24,-0.22977023
1997/11/25,-0.25774226
1997/11/26,-0.23776224
1997/11/27,-0.23376623
1997/11/28,-0.23576424
1997/12/01,-0.24075924
1997/12/02,-0.24675325
1997/12/03,-0.25174825
1997/12/04,-0.24475524
1997/12/05,-0.24775225
1997/12/08,-0.2047952
1997/12/09,-0.21778222
1997/12/10,-0.21478521
1997/12/11,-0.24975025
