date,value
1988/11/28,0.0
1988/11/29,0.0
1988/11/30,0.0
1988/12/01,0.0
1988/12/02,0.0
1988/12/05,0.0
1988/12/06,0.0
1988/12/07,0.0
1988/12/08,0.0
1988/12/09,-0.007
1988/12/12,-0.01
1988/12/13,-0.013
1988/12/14,-0.009
1988/12/15,-0.017
1988/12/16,-0.019
1988/12/19,-0.019
1988/12/20,-0.024
1988/12/21,-0.017
1988/12/22,-0.016
1988/12/23,-0.016
1988/12/26,-0.008
1988/12/27,-0.011
1988/12/28,-0.011
1988/12/29,-0.006
1988/12/30,-0.003
1989/01/02,-0.003
1989/01/03,-0.003
1989/01/04,-0.003
1989/01/05,-0.011
1989/01/06,-0.016
1989/01/09,-0.014
1989/01/10,-0.017
1989/01/11,-0.011
1989/01/12,-0.013
1989/01/13,-0.017
1989/01/16,-0.019
1989/01/17,-0.021
1989/01/18,-0.024
1989/01/19,-0.027
1989/01/20,-0.027
1989/01/23,-0.02
1989/01/24,-0.015
1989/01/25,-0.013
1989/01/26,-0.02
1989/01/27,-0.022
1989/01/30,-0.017
1989/01/31,-0.022
1989/02/01,-0.029
1989/02/02,-0.024
1989/02/03,-0.02
1989/02/06,-0.02
1989/02/07,-0.02
1989/02/08,-0.02
1989/02/09,-0.002
1989/02/10,-0.013
1989/02/13,-0.011
1989/02/14,-0.004
1989/02/15,-0.001
1989/02/16,-0.003
1989/02/17,0.0
1989/02/20,0.003
1989/02/21,-0.01
1989/02/22,-0.005
1989/02/23,0.0
1989/02/24,0.001
1989/02/27,-0.013
1989/02/28,-0.009
1989/03/01,-0.025
1989/03/02,-0.029
1989/03/03,-0.022
1989/03/06,-0.03
1989/03/07,-0.03
1989/03/08,-0.034
1989/03/09,-0.037
1989/03/10,-0.04
1989/03/13,-0.052
1989/03/14,-0.049
1989/03/15,-0.05
1989/03/16,-0.046
1989/03/17,-0.052
1989/03/20,-0.062
1989/03/21,-0.058
1989/03/22,-0.069
1989/03/23,-0.076
1989/03/24,-0.079
1989/03/27,-0.079
1989/03/28,-0.06
1989/03/29,-0.06
1989/03/30,-0.05
1989/03/31,-0.055
1989/04/03,-0.05
1989/04/04,-0.041
1989/04/05,-0.041
1989/04/06,-0.053
1989/04/07,-0.057
1989/04/10,-0.06
1989/04/11,-0.057
1989/04/12,-0.059
1989/04/13,-0.06
1989/04/14,-0.057
1989/04/17,-0.054
1989/04/18,-0.044
1989/04/19,-0.053
1989/04/20,-0.051
1989/04/21,-0.044
1989/04/24,-0.058
1989/04/25,-0.058
1989/04/26,-0.061
1989/04/27,-0.059
1989/04/28,-0.078
1989/05/01,-0.094
1989/05/02,-0.087
1989/05/03,-0.086
1989/05/04,-0.093
1989/05/05,-0.1
1989/05/08,-0.086
1989/05/09,-0.084
1989/05/10,-0.088
1989/05/11,-0.096
1989/05/12,-0.105
1989/05/15,-0.106
1989/05/16,-0.102
1989/05/17,-0.114
1989/05/18,-0.112
1989/05/19,-0.106
1989/05/22,-0.121
1989/05/23,-0.121
1989/05/24,-0.124
1989/05/25,-0.119
1989/05/26,-0.122
1989/05/29,-0.123
1989/05/30,-0.133
1989/05/31,-0.132
1989/06/01,-0.133
1989/06/02,-0.128
1989/06/05,-0.145
1989/06/06,-0.143
1989/06/07,-0.134
1989/06/08,-0.134
1989/06/09,-0.149
1989/06/12,-0.16
1989/06/13,-0.164
1989/06/14,-0.168
1989/06/15,-0.16
1989/06/16,-0.158
1989/06/19,-0.157
1989/06/20,-0.157
1989/06/21,-0.144
1989/06/22,-0.129
1989/06/23,-0.125
1989/06/26,-0.124
1989/06/27,-0.126
1989/06/28,-0.148
1989/06/29,-0.157
1989/06/30,-0.159
1989/07/03,-0.145
1989/07/04,-0.142
1989/07/05,-0.124
1989/07/06,-0.126
1989/07/07,-0.128
1989/07/10,-0.125
1989/07/11,-0.123
1989/07/12,-0.112
1989/07/13,-0.117
1989/07/14,-0.122
1989/07/17,-0.122
1989/07/18,-0.123
1989/07/19,-0.127
1989/07/20,-0.121
1989/07/21,-0.12
1989/07/24,-0.115
1989/07/25,-0.102
1989/07/26,-0.097
1989/07/27,-0.089
1989/07/28,-0.088
1989/07/31,-0.073
1989/08/01,-0.072
1989/08/02,-0.073
1989/08/03,-0.076
1989/08/04,-0.09
1989/08/07,-0.093
1989/08/08,-0.079
1989/08/09,-0.079
1989/08/10,-0.086
1989/08/11,-0.096
1989/08/14,-0.1
1989/08/15,-0.103
1989/08/16,-0.098
1989/08/17,-0.104
1989/08/18,-0.097
1989/08/21,-0.101
1989/08/22,-0.099
1989/08/23,-0.103
1989/08/24,-0.106
1989/08/25,-0.106
1989/08/28,-0.113
1989/08/29,-0.107
1989/08/30,-0.115
1989/08/31,-0.116
1989/09/01,-0.118
1989/09/04,-0.116
1989/09/05,-0.121
1989/09/06,-0.122
1989/09/07,-0.126
1989/09/08,-0.131
1989/09/11,-0.127
1989/09/12,-0.127
1989/09/13,-0.118
1989/09/14,-0.118
1989/09/15,-0.121
1989/09/18,-0.121
1989/09/19,-0.122
1989/09/20,-0.121
1989/09/21,-0.122
1989/09/22,-0.125
1989/09/25,-0.111
1989/09/26,-0.103
1989/09/27,-0.092
1989/09/28,-0.092
1989/09/29,-0.089
1989/10/02,-0.093
1989/10/03,-0.097
1989/10/04,-0.099
1989/10/05,-0.102
1989/10/06,-0.105
1989/10/09,-0.112
