date,value
2013/11/26,0.0
2013/11/27,-4e-05
2013/11/28,-9e-05
2013/11/29,-0.00013
2013/12/02,-0.00027001
2013/12/03,0.00032001
2013/12/04,0.00029001
2013/12/05,0.00017
2013/12/06,0.00021
2013/12/09,0.00077002
2013/12/10,0.00167003
2013/12/11,0.00265005
2013/12/12,0.00238005
2013/12/13,0.00204004
2013/12/16,0.00359007
2013/12/17,0.00348007
2013/12/18,0.00338007
2013/12/19,0.00637013
2013/12/20,0.00698014
2013/12/23,0.00791016
2013/12/24,0.00858017
2013/12/26,0.00926019
2013/12/27,0.00886018
2013/12/30,0.0097802
2013/12/31,0.00903018
2014/01/02,0.0099702
2014/01/03,0.00968019
2014/01/06,0.01428029
2014/01/07,0.01730035
2014/01/08,0.01564031
2014/01/09,0.01621032
2014/01/10,0.01794036
2014/01/13,0.01706034
2014/01/14,0.01802036
2014/01/15,0.01932039
2014/01/16,0.0200504
2014/01/17,0.01922038
2014/01/21,0.02164043
2014/01/22,0.02191044
2014/01/23,0.02316046
2014/01/24,0.01944039
2014/01/27,0.01817036
2014/01/28,0.01788036
2014/01/29,0.01683034
2014/02/05,0.01329027
2014/02/06,0.01529031
2014/02/07,0.01834037
2014/02/10,0.01891038
2014/02/11,0.02100042
2014/02/12,0.02153043
2014/02/13,0.02350047
2014/02/14,0.02335047
2014/02/18,0.02554051
2014/02/19,0.02638053
2014/02/20,0.02621052
2014/02/21,0.02846057
2014/02/24,0.0300106
2014/02/25,0.03098062
2014/02/26,0.02920058
2014/02/27,0.02870057
2014/03/03,0.03088062
2014/03/04,0.03104062
2014/03/05,0.03027061
2014/03/06,0.0301706
2014/03/07,0.0300806
2014/03/10,0.0299006
2014/03/11,0.02957059
2014/03/12,0.0297906
2014/03/13,0.03047061
2014/03/14,0.02843057
2014/03/17,0.02834057
2014/03/18,0.0301506
2014/03/19,0.03182064
2014/03/20,0.02969059
2014/03/21,0.03294066
2014/03/24,0.03308066
2014/03/25,0.03358067
2014/03/26,0.03458069
2014/03/27,0.03421068
2014/03/28,0.03421068
2014/03/31,0.0351407
2014/04/01,0.0348107
2014/04/02,0.0348307
2014/04/03,0.0352307
2014/04/07,0.03452069
2014/04/08,0.03446069
2014/04/09,0.03424068
2014/04/10,0.03551071
2014/04/11,0.03333067
2014/04/14,0.03438069
2014/04/15,0.03392068
2014/04/16,0.03374067
2014/04/17,0.03429069
2014/04/21,0.03462069
2014/04/22,0.03537071
2014/04/23,0.03604072
2014/04/24,0.03619072
2014/04/25,0.03596072
2014/04/28,0.03598072
2014/04/29,0.03567071
2014/04/30,0.03590072
2014/05/02,0.03687074
2014/05/05,0.03620072
2014/05/06,0.0398708
2014/05/07,0.03939079
2014/05/08,0.04032081
2014/05/09,0.03838077
2014/05/12,0.03971079
2014/05/13,0.04047081
2014/05/14,0.04169083
2014/05/15,0.04033081
2014/05/16,0.04037081
2014/05/19,0.04046081
2014/05/20,0.04061081
2014/05/21,0.0400708
2014/05/22,0.03916078
2014/05/23,0.03918078
2014/05/27,0.04081082
2014/05/28,0.04044081
2014/05/29,0.04066081
2014/05/30,0.04049081
2014/06/03,0.04086082
2014/06/04,0.04150083
2014/06/05,0.04205084
2014/06/06,0.04369087
2014/06/09,0.04401088
2014/06/10,0.04409088
2014/06/11,0.04392088
2014/06/12,0.04397088
2014/06/13,0.04394088
2014/06/16,0.0448409
2014/06/17,0.0452009
