date,value
1994/01/12,0.0
1994/01/13,0.0
1994/01/14,0.0
1994/01/15,0.008
1994/01/17,0.006
1994/01/18,-0.024
1994/01/19,-0.02
1994/01/20,-0.034
1994/01/21,-0.011
1994/01/22,-0.006
1994/01/24,-0.009
1994/01/25,-0.028
1994/01/26,-0.025
1994/01/27,-0.006
1994/01/28,-0.007
1994/01/31,0.006
1994/02/01,0.012
1994/02/02,0.021
1994/02/03,0.031
1994/02/04,0.022
1994/02/05,0.02
1994/02/14,-0.008
1994/02/15,-0.007
1994/02/16,-0.019
1994/02/17,-0.015
1994/02/18,-0.02
1994/02/19,-0.024
1994/02/21,-0.025
1994/02/22,-0.03
1994/02/23,-0.027
1994/02/24,-0.039
1994/02/25,-0.043
1994/02/26,-0.051
1994/02/28,-0.069
1994/03/01,-0.06
1994/03/02,-0.061
1994/03/03,-0.056
1994/03/04,-0.034
1994/03/05,-0.034
1994/03/07,-0.039
1994/03/08,-0.061
1994/03/09,-0.061
1994/03/10,-0.071
1994/03/11,-0.075
1994/03/12,-0.078
1994/03/14,-0.066
1994/03/15,-0.073
1994/03/16,-0.063
1994/03/17,-0.056
1994/03/18,-0.073
1994/03/19,-0.079
1994/03/21,-0.076
1994/03/22,-0.065
1994/03/23,-0.06
1994/03/24,-0.061
1994/03/25,-0.059
1994/03/26,-0.063
1994/03/28,-0.062
1994/03/30,-0.064
1994/03/31,-0.07
1994/04/01,-0.061
1994/04/02,-0.047
1994/04/06,-0.033
1994/04/07,-0.036
1994/04/08,-0.028
1994/04/09,-0.025
1994/04/11,-0.03
1994/04/12,-0.036
1994/04/13,-0.04
1994/04/14,-0.042
1994/04/15,-0.023
1994/04/16,-0.026
1994/04/18,-0.012
1994/04/19,-0.015
1994/04/20,-0.015
1994/04/21,-0.008
1994/04/22,0.005
1994/04/23,0.002
1994/04/25,0.012
1994/04/26,0.001
1994/04/27,0.006
1994/04/28,0.002
1994/04/29,-0.021
1994/04/30,-0.018
1994/05/02,-0.016
1994/05/03,-0.011
1994/05/04,0.009
1994/05/05,0.007
1994/05/06,0.011
1994/05/07,0.017
1994/05/09,0.019
1994/05/10,0.01
1994/05/11,0.023
1994/05/12,0.021
1994/05/13,0.03
1994/05/14,0.032
1994/05/16,0.034
1994/05/17,0.017
1994/05/18,0.013
1994/05/19,0.005
1994/05/20,-0.001
1994/05/21,-0.011
1994/05/23,-0.012
1994/05/24,-0.02
1994/05/25,-0.018
1994/05/26,-0.001
1994/05/27,-0.008
1994/05/28,0.004
1994/05/30,0.019
1994/05/31,0.012
1994/06/01,0.027
1994/06/02,0.033
1994/06/03,0.04
1994/06/04,0.049
1994/06/06,0.056
1994/06/07,0.051
1994/06/08,0.054
1994/06/09,0.023
1994/06/10,0.037
1994/06/11,0.05
1994/06/14,0.058
1994/06/15,0.06
1994/06/16,0.06
1994/06/17,0.058
1994/06/20,0.041
1994/06/21,0.027
1994/06/22,0.031
1994/06/23,0.017
1994/06/24,0.029
1994/06/25,0.022
1994/06/27,0.017
1994/06/28,0.018
1994/06/29,0.03
1994/06/30,0.029
1994/07/02,0.042
1994/07/04,0.059
1994/07/05,0.063
1994/07/06,0.075
1994/07/07,0.073
1994/07/08,0.089
1994/07/09,0.088
1994/07/11,0.106
1994/07/12,0.112
1994/07/13,0.106
1994/07/14,0.107
1994/07/15,0.13
1994/07/18,0.165
1994/07/19,0.157
1994/07/20,0.141
1994/07/21,0.155
1994/07/22,0.133
1994/07/23,0.146
1994/07/25,0.164
1994/07/26,0.17
1994/07/27,0.16
1994/07/28,0.158
1994/07/29,0.179
1994/07/30,0.175
1994/08/01,0.196
1994/08/02,0.207
1994/08/03,0.173
1994/08/04,0.19
1994/08/05,0.218
1994/08/06,0.227
1994/08/09,0.219
1994/08/10,0.204
1994/08/11,0.176
1994/08/12,0.163
1994/08/13,0.157
1994/08/15,0.153
1994/08/16,0.157
1994/08/17,0.172
1994/08/18,0.165
1994/08/19,0.186
1994/08/20,0.188
1994/08/22,0.188
1994/08/23,0.182
1994/08/24,0.189
1994/08/25,0.186
1994/08/26,0.189
1994/08/27,0.197
1994/08/29,0.204
1994/08/30,0.198
1994/08/31,0.201
1994/09/01,0.19
1994/09/02,0.194
1994/09/03,0.188
1994/09/05,0.177
1994/09/06,0.172
1994/09/07,0.18
1994/09/08,0.187
1994/09/09,0.195
1994/09/10,0.195
1994/09/12,0.191
1994/09/13,0.191
1994/09/14,0.199
1994/09/15,0.196
1994/09/16,0.195
1994/09/17,0.201
1994/09/21,0.192
1994/09/22,0.179
1994/09/23,0.184
1994/09/24,0.183
1994/09/26,0.195
1994/09/27,0.196
1994/09/29,0.206
1994/09/30,0.2
1994/10/01,0.204
1994/10/03,0.21
1994/10/04,0.208
1994/10/05,0.184
1994/10/06,0.153
1994/10/07,0.152
1994/10/08,0.109
1994/10/11,0.102
1994/10/12,0.139
1994/10/13,0.16
1994/10/14,0.153
1994/10/15,0.172
1994/10/17,0.178
1994/10/18,0.183
1994/10/19,0.169
1994/10/20,0.181
1994/10/21,0.184
1994/10/22,0.171
1994/10/24,0.168
1994/10/26,0.163
1994/10/27,0.155
1994/10/28,0.154
1994/10/29,0.143
1994/11/01,0.103
1994/11/02,0.119
1994/11/03,0.113
1994/11/04,0.125
1994/11/05,0.124
1994/11/07,0.117
1994/11/08,0.12
1994/11/09,0.138
1994/11/10,0.136
1994/11/11,0.136
1994/11/14,0.122
1994/11/15,0.123
1994/11/16,0.118
1994/11/17,0.11
1994/11/18,0.121
1994/11/19,0.139
1994/11/21,0.134
1994/11/22,0.125
1994/11/23,0.131
1994/11/24,0.126
1994/11/25,0.144
1994/11/26,0.146
1994/11/28,0.135
1994/11/29,0.137
1994/11/30,0.134
1994/12/01,0.149
1994/12/02,0.152
1994/12/05,0.206
1994/12/06,0.216
1994/12/07,0.227
1994/12/08,0.222
1994/12/09,0.219
1994/12/10,0.204
1994/12/12,0.201
1994/12/13,0.196
1994/12/14,0.195
1994/12/15,0.22
1994/12/16,0.216
1994/12/17,0.233
1994/12/19,0.241
1994/12/20,0.218
1994/12/21,0.235
1994/12/22,0.229
1994/12/23,0.209
1994/12/24,0.237
1994/12/27,0.236
1994/12/28,0.223
1994/12/29,0.239
1994/12/30,0.246
1994/12/31,0.247
1995/01/05,0.237
1995/01/06,0.21
1995/01/07,0.204
1995/01/09,0.195
1995/01/10,0.176
1995/01/11,0.18
1995/01/12,0.152
1995/01/13,0.153
1995/01/14,0.145
1995/01/16,0.146
1995/01/17,0.141
1995/01/18,0.159
1995/01/19,0.156
1995/01/20,0.126
1995/01/21,0.138
1995/01/23,0.121
1995/01/24,0.104
1995/01/25,0.126
1995/01/26,0.128
1995/02/04,0.137
1995/02/06,0.149
1995/02/07,0.162
1995/02/08,0.168
1995/02/09,0.17
1995/02/10,0.181
1995/02/11,0.183
1995/02/13,0.178
1995/02/14,0.18
1995/02/15,0.192
1995/02/16,0.205
1995/02/17,0.209
1995/02/18,0.20789014
1995/02/20,0.20011869
1995/02/21,0.20566921
1995/02/22,0.19900882
1995/02/23,0.18790658
1995/02/24,0.18901644
1995/02/25,0.18790658
1995/02/27,0.15015918
1995/02/28,0.16459222
1995/03/01,0.12906576
1995/03/02,0.14571852
1995/03/03,0.15793063
1995/03/04,0.16015156
1995/03/06,0.15015918
1995/03/07,0.14793946
1995/03/08,0.13794707
1995/03/09,0.13350641
1995/03/10,0.15015918
1995/03/11,0.15682077
1995/03/13,0.16126143
1995/03/14,0.15793063
1995/03/15,0.17680433
1995/03/16,0.17680433
1995/03/17,0.18124499
1995/03/18,0.18013513
1995/03/20,0.17458461
1995/03/21,0.17014274
1995/03/22,0.16792302
1995/03/23,0.1590417
1995/03/24,0.1590417
1995/03/25,0.15793063
1995/03/27,0.17902526
1995/03/28,0.18235485
1995/03/30,0.20011869
1995/03/31,0.19567803
1995/04/01,0.20789014
1995/04/06,0.21899118
1995/04/07,0.19789775
1995/04/08,0.20789014
1995/04/10,0.19678789
1995/04/11,0.18901644
1995/04/12,0.18568564
1995/04/13,0.18124499
1995/04/14,0.1623725
1995/04/15,0.13683721
1995/04/17,0.1246251
1995/04/18,0.12351524
1995/04/19,0.12684603
1995/04/20,0.13017683
1995/04/21,0.09909102
1995/04/22,0.11019327
1995/04/24,0.11685365
1995/04/25,0.09798116
1995/04/26,0.08132839
1995/04/27,0.10353168
1995/04/28,0.09020971
1995/04/29,0.09131957
1995/05/01,0.08465798
1995/05/02,0.07577666
1995/05/03,0.07577666
1995/05/04,0.05468324
1995/05/05,0.0247085
1995/05/06,0.03692061
1995/05/08,0.04469206
1995/05/09,0.06467442
1995/05/10,0.06467442
1995/05/11,0.06245469
1995/05/12,0.05690417
1995/05/13,0.08243825
1995/05/15,0.08132839
1995/05/16,0.07577666
1995/05/17,0.07355694
1995/05/18,0.07355694
1995/05/19,0.07244587
1995/05/20,0.06800521
1995/05/22,0.06356455
1995/05/23,0.06245469
1995/05/24,0.05357338
1995/05/25,0.05024258
1995/05/26,0.04580193
1995/05/27,0.03803047
1995/05/29,0.04136127
1995/05/30,0.05801404
1995/05/31,0.05801404
1995/06/01,0.06467442
1995/06/05,0.0591239
1995/06/06,0.06245469
1995/06/07,0.06467442
1995/06/08,0.0591239
1995/06/09,0.0557931
1995/06/10,0.05801404
1995/06/12,0.05801404
1995/06/13,0.03803047
1995/06/14,0.01804691
1995/06/15,0.00361387
1995/06/16,0.02137771
1995/06/17,0.00028429
1995/06/19,-0.0130389
1995/06/20,-0.00082679
1995/06/21,-0.01525862
1995/06/22,0.00472494
1995/06/23,0.02137771
1995/06/24,0.0402502
1995/06/26,0.04802165
1995/06/27,0.03580954
1995/06/28,0.02137771
1995/06/29,0.01471612
1995/06/30,0.01693705
1995/07/03,-0.0130389
1995/07/04,-0.00748717
1995/07/05,0.01582598
1995/07/06,0.01693705
1995/07/07,0.03580954
1995/07/08,0.03469968
1995/07/10,0.02803809
1995/07/11,0.03247875
1995/07/12,0.03580954
1995/07/13,0.03247875
1995/07/14,0.02026664
1995/07/15,0.01471612
1995/07/17,-0.00304651
