date,value
2000/12/15,0.0
2000/12/16,0.0
2000/12/18,0.0
2000/12/19,0.0
2000/12/20,0.0
2000/12/21,0.0
2000/12/22,0.00104
2000/12/26,0.00157
2000/12/27,0.00169
2000/12/28,0.00182
2000/12/29,0.00195
2000/12/30,0.00208
2001/01/02,0.00246
2001/01/03,0.00259
2001/01/04,0.00272
2001/01/05,0.00284
2001/01/08,0.00322
2001/01/09,0.00335
2001/01/10,0.00348
2001/01/11,0.0036
2001/01/12,0.00373
2001/01/15,0.00412
2001/01/16,0.00425
2001/01/17,0.00437
2001/01/18,0.0045
2001/01/19,0.00462
2001/01/20,0.00475
2001/01/29,0.00589
2001/01/30,0.00601
2001/01/31,0.00614
2001/02/01,0.00627
2001/02/02,0.00639
2001/02/05,0.00677
2001/02/06,0.00689
2001/02/07,0.00702
2001/02/08,0.00715
2001/02/09,0.00728
2001/02/12,0.00766
2001/02/13,0.00778
2001/02/14,0.00791
2001/02/15,0.00804
2001/02/16,0.00817
2001/02/19,0.00856
2001/02/20,0.00869
2001/02/21,0.00883
2001/02/22,0.00896
2001/02/23,0.00909
2001/02/26,0.00949
2001/02/27,0.00962
2001/03/01,0.00989
2001/03/02,0.01002
2001/03/05,0.01042
2001/03/06,0.01056
2001/03/07,0.01069
2001/03/08,0.01081
2001/03/09,0.01094
2001/03/12,0.01133
2001/03/13,0.01146
2001/03/14,0.0116
2001/03/15,0.01173
2001/03/16,0.01185
2001/03/19,0.01223
2001/03/20,0.01235
2001/03/21,0.01248
2001/03/22,0.0126
2001/03/23,0.01273
2001/03/26,0.01309
2001/03/27,0.01321
2001/03/28,0.01333
2001/03/29,0.01345
2001/03/30,0.01358
2001/04/02,0.01395
2001/04/03,0.01408
2001/04/04,0.0142
2001/04/06,0.01444
2001/04/09,0.0148
2001/04/10,0.01493
2001/04/11,0.01505
2001/04/12,0.01517
2001/04/13,0.01529
2001/04/16,0.01564
2001/04/17,0.01576
2001/04/18,0.01589
2001/04/19,0.01601
2001/04/20,0.01613
2001/04/23,0.0165
2001/04/24,0.01663
2001/04/25,0.01675
2001/04/26,0.01687
2001/04/27,0.017
2001/04/30,0.01737
2001/05/02,0.01761
2001/05/03,0.01773
2001/05/04,0.01785
2001/05/07,0.01821
2001/05/08,0.01833
2001/05/09,0.01845
2001/05/10,0.01857
2001/05/11,0.01869
2001/05/14,0.01904
2001/05/15,0.01916
2001/05/16,0.01928
2001/05/17,0.0194
2001/05/18,0.01952
2001/05/21,0.01989
2001/05/22,0.02001
2001/05/23,0.02013
2001/05/24,0.02025
2001/05/25,0.02037
2001/05/28,0.02073
2001/05/29,0.02085
2001/05/30,0.02097
2001/05/31,0.02109
2001/06/01,0.02121
2001/06/04,0.02157
2001/06/05,0.02169
2001/06/06,0.02181
2001/06/07,0.02193
2001/06/08,0.02206
2001/06/11,0.02242
2001/06/12,0.02254
2001/06/13,0.02266
2001/06/14,0.02279
2001/06/15,0.0229
2001/06/18,0.02327
2001/06/19,0.0234
2001/06/20,0.02353
2001/06/21,0.02365
2001/06/22,0.02378
2001/06/26,0.02428
2001/06/27,0.02441
2001/06/28,0.02453
2001/06/29,0.02465
2001/07/02,0.02502
2001/07/03,0.02515
2001/07/04,0.02527
2001/07/05,0.02539
2001/07/06,0.02551
2001/07/09,0.02587
2001/07/10,0.02599
2001/07/11,0.02611
2001/07/12,0.02623
2001/07/13,0.02635
2001/07/16,0.0267
2001/07/17,0.02682
2001/07/18,0.02693
2001/07/19,0.02705
2001/07/20,0.02716
2001/07/23,0.02751
2001/07/24,0.02763
2001/07/25,0.02774
2001/07/26,0.02786
2001/07/27,0.02798
2001/07/31,0.02844
2001/08/01,0.02856
2001/08/02,0.02867
2001/08/03,0.02879
2001/08/06,0.02914
2001/08/07,0.02925
2001/08/08,0.02937
2001/08/09,0.02949
2001/08/10,0.0296
2001/08/13,0.02995
2001/08/14,0.03007
2001/08/15,0.03018
2001/08/16,0.0303
2001/08/17,0.03041
2001/08/20,0.03076
2001/08/21,0.03088
2001/08/22,0.03099
2001/08/23,0.03111
2001/08/24,0.03122
2001/08/27,0.03155
2001/08/28,0.03166
2001/08/29,0.03177
2001/08/30,0.03188
2001/08/31,0.03199
2001/09/03,0.03232
2001/09/04,0.03243
2001/09/05,0.03255
2001/09/06,0.03266
2001/09/07,0.03277
2001/09/10,0.0331
2001/09/11,0.03322
2001/09/12,0.03333
2001/09/13,0.03344
2001/09/14,0.03355
2001/09/19,0.03415
2001/09/20,0.03427
2001/09/21,0.03439
2001/09/24,0.03473
2001/09/25,0.03484
2001/09/26,0.03495
2001/09/27,0.03506
2001/09/28,0.03516
2001/10/02,0.03561
2001/10/03,0.03573
2001/10/04,0.03584
2001/10/05,0.03594
2001/10/08,0.03625
2001/10/09,0.03635
2001/10/11,0.03656
2001/10/12,0.03666
2001/10/15,0.03693
2001/10/16,0.03704
2001/10/17,0.03714
2001/10/18,0.03725
2001/10/19,0.03735
2001/10/22,0.03766
2001/10/23,0.03776
2001/10/24,0.03786
2001/10/25,0.03796
2001/10/26,0.03805
2001/10/29,0.03835
2001/10/30,0.03844
2001/10/31,0.03854
2001/11/01,0.03864
2001/11/02,0.03873
2001/11/05,0.03902
2001/11/06,0.03911
2001/11/07,0.03921
2001/11/08,0.0393
2001/11/09,0.0394
2001/11/12,0.03968
2001/11/13,0.03977
2001/11/14,0.03986
2001/11/15,0.03995
2001/11/16,0.04005
2001/11/19,0.04033
2001/11/20,0.04042
2001/11/21,0.04051
2001/11/22,0.0406
2001/11/23,0.04069
2001/11/26,0.04097
2001/11/27,0.04106
2001/11/28,0.04115
2001/11/29,0.04124
2001/11/30,0.04133
2001/12/03,0.04162
2001/12/04,0.04171
2001/12/05,0.04181
2001/12/06,0.0419
2001/12/07,0.042
2001/12/10,0.04228
2001/12/11,0.04237
2001/12/12,0.04247
2001/12/13,0.04256
2001/12/14,0.04265
2001/12/17,0.04293
2001/12/18,0.04303
2001/12/19,0.04312
2001/12/20,0.04321
2001/12/21,0.04331
2001/12/24,0.04361
2001/12/25,0.04371
2001/12/26,0.04381
2001/12/27,0.04391
2001/12/28,0.044
2001/12/31,0.0443
2002/01/02,0.04449
2002/01/03,0.04459
2002/01/04,0.04469
2002/01/07,0.04498
2002/01/08,0.04508
2002/01/09,0.04517
2002/01/10,0.04527
2002/01/11,0.04536
2002/01/14,0.04564
2002/01/15,0.04573
2002/01/16,0.04583
2002/01/17,0.04592
2002/01/18,0.04601
2002/01/21,0.04628
2002/01/22,0.04637
2002/01/23,0.04646
2002/01/24,0.04655
2002/01/25,0.04664
2002/01/28,0.0469
2002/01/29,0.04699
2002/01/30,0.04708
2002/01/31,0.04717
2002/02/01,0.04726
2002/02/04,0.04752
2002/02/05,0.04761
2002/02/06,0.0477
2002/02/07,0.04779
2002/02/08,0.04788
2002/02/15,0.04852
2002/02/18,0.04878
2002/02/19,0.04887
2002/02/20,0.04896
2002/02/21,0.04905
2002/02/22,0.04915
2002/02/25,0.04943
2002/02/26,0.04952
2002/02/27,0.04962
2002/03/01,0.0498
2002/03/04,0.05007
2002/03/05,0.05016
2002/03/06,0.05025
2002/03/07,0.05034
2002/03/08,0.05043
2002/03/11,0.05068
2002/03/12,0.05076
2002/03/13,0.05085
2002/03/14,0.05093
2002/03/15,0.05101
2002/03/18,0.05126
2002/03/19,0.05135
2002/03/20,0.05143
2002/03/21,0.05152
2002/03/22,0.0516
2002/03/25,0.05185
2002/03/26,0.05194
2002/03/27,0.05202
2002/03/28,0.0521
2002/03/29,0.05219
2002/04/01,0.05244
2002/04/02,0.05252
2002/04/03,0.0526
2002/04/04,0.05268
2002/04/08,0.05301
2002/04/09,0.0531
2002/04/10,0.05318
2002/04/11,0.05326
2002/04/12,0.05334
2002/04/15,0.05363
2002/04/16,0.05371
2002/04/17,0.05378
2002/04/18,0.05385
2002/04/19,0.05393
2002/04/22,0.05415
2002/04/23,0.05423
2002/04/24,0.05431
2002/04/25,0.05438
2002/04/26,0.05446
2002/04/29,0.05469
2002/04/30,0.05476
2002/05/02,0.05492
2002/05/03,0.05499
2002/05/06,0.05522
2002/05/07,0.05529
2002/05/08,0.05537
2002/05/09,0.05544
2002/05/10,0.05552
2002/05/13,0.05574
2002/05/14,0.05581
2002/05/15,0.05589
2002/05/16,0.05596
2002/05/17,0.05604
2002/05/20,0.05626
2002/05/21,0.05633
2002/05/22,0.05641
2002/05/23,0.05648
2002/05/24,0.05655
2002/05/27,0.05678
2002/05/28,0.05685
2002/05/29,0.05693
2002/05/30,0.057
2002/05/31,0.05707
2002/06/03,0.0573
2002/06/04,0.05737
2002/06/05,0.05745
2002/06/06,0.05752
2002/06/07,0.0576
2002/06/10,0.05782
2002/06/11,0.05789
2002/06/12,0.05797
2002/06/13,0.05804
2002/06/14,0.05812
2002/06/17,0.05834
2002/06/18,0.05841
2002/06/19,0.05848
2002/06/20,0.05856
2002/06/21,0.05863
2002/06/24,0.05885
2002/06/25,0.05892
2002/06/26,0.059
2002/06/27,0.05907
2002/06/28,0.05914
2002/07/01,0.05937
2002/07/02,0.05944
2002/07/03,0.05951
2002/07/04,0.05958
2002/07/05,0.05965
2002/07/08,0.05985
2002/07/09,0.05992
2002/07/10,0.05999
2002/07/11,0.06005
2002/07/12,0.06012
2002/07/15,0.06031
2002/07/16,0.06037
2002/07/17,0.06043
2002/07/18,0.0605
2002/07/19,0.06056
2002/07/22,0.06074
2002/07/23,0.0608
2002/07/24,0.06087
2002/07/25,0.06093
2002/07/26,0.06099
2002/07/29,0.06117
2002/07/30,0.06123
2002/07/31,0.06129
2002/08/01,0.06136
2002/08/02,0.06142
2002/08/05,0.06162
2002/08/06,0.06169
2002/08/07,0.06175
2002/08/08,0.06181
2002/08/09,0.06188
2002/08/12,0.06207
2002/08/13,0.06213
2002/08/14,0.0622
2002/08/15,0.06226
2002/08/16,0.06233
2002/08/19,0.06253
2002/08/20,0.06259
2002/08/21,0.06266
2002/08/22,0.06273
2002/08/23,0.0628
2002/08/26,0.063
2002/08/27,0.06307
2002/08/28,0.06314
2002/08/29,0.0632
2002/08/30,0.06327
2002/09/02,0.06346
2002/09/03,0.06353
2002/09/04,0.06359
2002/09/05,0.06365
2002/09/09,0.06392
2002/09/10,0.06398
2002/09/11,0.06405
2002/09/12,0.06411
2002/09/13,0.06418
2002/09/16,0.06437
2002/09/17,0.06443
2002/09/18,0.0645
2002/09/19,0.06456
2002/09/20,0.06463
2002/09/23,0.06482
2002/09/24,0.06488
2002/09/25,0.06495
2002/09/26,0.06501
2002/09/27,0.06505
2002/09/30,0.06524
2002/10/01,0.06531
2002/10/02,0.06537
2002/10/03,0.06543
2002/10/04,0.06549
2002/10/07,0.06568
2002/10/08,0.06574
2002/10/09,0.0658
2002/10/11,0.06592
2002/10/14,0.0661
2002/10/15,0.06616
2002/10/16,0.06622
2002/10/17,0.06628
2002/10/18,0.06634
2002/10/21,0.06652
2002/10/22,0.06658
2002/10/23,0.06664
2002/10/24,0.0667
2002/10/25,0.06676
2002/10/28,0.06694
2002/10/29,0.067
2002/10/30,0.06706
2002/10/31,0.06712
2002/11/01,0.06719
2002/11/04,0.06736
2002/11/05,0.06742
2002/11/06,0.06748
2002/11/07,0.06754
2002/11/08,0.0676
2002/11/11,0.06778
2002/11/12,0.06784
2002/11/13,0.06789
2002/11/14,0.06795
2002/11/15,0.06801
2002/11/18,0.06818
2002/11/19,0.06824
2002/11/20,0.0683
2002/11/21,0.06835
2002/11/22,0.06841
2002/11/25,0.06858
2002/11/26,0.06863
2002/11/27,0.06869
2002/11/28,0.06875
2002/11/29,0.06881
2002/12/02,0.06898
2002/12/03,0.06903
2002/12/04,0.06909
2002/12/05,0.06914
2002/12/06,0.0692
2002/12/09,0.06936
2002/12/10,0.06941
2002/12/11,0.06947
2002/12/12,0.06952
2002/12/13,0.06958
2002/12/16,0.06974
2002/12/17,0.0698
2002/12/18,0.06985
2002/12/19,0.06991
2002/12/20,0.06997
2002/12/23,0.07015
2002/12/24,0.07021
2002/12/25,0.07027
2002/12/26,0.07033
2002/12/27,0.0704
2002/12/30,0.07058
2002/12/31,0.07064
2003/01/02,0.07076
2003/01/03,0.07081
2003/01/06,0.07098
2003/01/07,0.07104
2003/01/08,0.07109
2003/01/09,0.07115
2003/01/10,0.0712
2003/01/13,0.07137
2003/01/14,0.07142
2003/01/15,0.07148
2003/01/16,0.07154
2003/01/17,0.07159
2003/01/20,0.07176
2003/01/21,0.07182
2003/01/22,0.07188
2003/01/23,0.07193
2003/01/24,0.07199
2003/01/27,0.07215
2003/01/28,0.07221
2003/01/29,0.07226
2003/01/30,0.07231
2003/02/06,0.07268
2003/02/07,0.07273
2003/02/10,0.07289
2003/02/11,0.07294
2003/02/12,0.07299
2003/02/13,0.07304
2003/02/14,0.07309
2003/02/17,0.07324
2003/02/18,0.07329
2003/02/19,0.07334
2003/02/20,0.07339
2003/02/21,0.07344
2003/02/24,0.0736
2003/02/25,0.07365
2003/02/26,0.07371
2003/02/27,0.07376
2003/03/03,0.07399
2003/03/04,0.07404
2003/03/05,0.0741
2003/03/06,0.07415
2003/03/07,0.0742
2003/03/10,0.07436
2003/03/11,0.07441
2003/03/12,0.07447
2003/03/13,0.07452
2003/03/14,0.07457
2003/03/17,0.07473
2003/03/18,0.07478
2003/03/19,0.07483
2003/03/20,0.07488
2003/03/21,0.07494
2003/03/24,0.07509
2003/03/25,0.07515
2003/03/26,0.07521
2003/03/27,0.07526
2003/03/28,0.07531
2003/03/31,0.07548
2003/04/01,0.07554
2003/04/02,0.0756
2003/04/03,0.07566
2003/04/04,0.07571
2003/04/07,0.07587
2003/04/08,0.07593
2003/04/09,0.07597
2003/04/10,0.07603
2003/04/11,0.07608
2003/04/14,0.07623
2003/04/15,0.0763
2003/04/16,0.07635
2003/04/17,0.0764
2003/04/18,0.07645
2003/04/21,0.0766
2003/04/22,0.07664
2003/04/23,0.07669
2003/04/24,0.07674
2003/04/25,0.07679
2003/04/28,0.07693
2003/04/29,0.07698
2003/04/30,0.07703
2003/05/02,0.07712
2003/05/05,0.07727
2003/05/06,0.07732
2003/05/07,0.07736
2003/05/08,0.07741
2003/05/09,0.07746
2003/05/12,0.0776
2003/05/13,0.07765
2003/05/14,0.0777
2003/05/15,0.07775
2003/05/16,0.0778
2003/05/19,0.07794
2003/05/20,0.07799
2003/05/21,0.07804
2003/05/22,0.07809
2003/05/23,0.07814
2003/05/26,0.07828
2003/05/27,0.07833
2003/05/28,0.07838
2003/05/29,0.07843
2003/05/30,0.07848
2003/06/02,0.07864
2003/06/03,0.07869
2003/06/05,0.0788
2003/06/06,0.07885
2003/06/09,0.07901
2003/06/10,0.07906
2003/06/11,0.07911
2003/06/12,0.07917
2003/06/13,0.07922
2003/06/16,0.07938
2003/06/17,0.07943
2003/06/18,0.07949
2003/06/19,0.07954
2003/06/20,0.07959
2003/06/23,0.07974
2003/06/24,0.0798
2003/06/25,0.07985
2003/06/26,0.0799
2003/06/27,0.07996
2003/06/30,0.08011
2003/07/01,0.08017
2003/07/02,0.08022
2003/07/03,0.08027
2003/07/04,0.08032
2003/07/07,0.08047
2003/07/08,0.08052
2003/07/09,0.08057
2003/07/10,0.08062
2003/07/11,0.08067
2003/07/14,0.08081
2003/07/15,0.08086
2003/07/16,0.08091
2003/07/17,0.08096
2003/07/18,0.081
2003/07/21,0.08114
2003/07/22,0.08119
2003/07/23,0.08124
2003/07/24,0.08128
2003/07/25,0.08133
2003/07/28,0.08147
2003/07/29,0.08151
2003/07/30,0.08156
2003/07/31,0.08161
2003/08/01,0.08166
2003/08/04,0.0818
2003/08/05,0.08184
