date,value
2015/11/09,0.0
2015/11/10,-3e-05
2015/11/11,0.00011
2015/11/12,-0.00061001
2015/11/13,-0.00119001
2015/11/16,-0.00118001
2015/11/17,0.00052001
2015/11/18,0.00027
2015/11/19,-0.00118001
2015/11/20,-0.00187002
2015/11/23,-0.00230002
2015/11/24,-0.00283003
2015/11/25,-0.00200002
2015/11/27,-0.00186002
2015/11/30,-0.00066001
2015/12/01,0.00078001
2015/12/02,0.00202002
2015/12/03,0.00048
2015/12/04,-0.0002
2015/12/07,-0.00135001
2015/12/08,-0.00366004
2015/12/09,-0.00451005
2015/12/10,-0.00482005
2015/12/11,-0.01103011
2015/12/14,-0.01791018
2015/12/15,-0.01319013
2015/12/16,-0.01080011
2015/12/17,-0.00944009
2015/12/18,-0.01170012
2015/12/21,-0.01165012
2015/12/22,-0.0103701
2015/12/23,-0.00868009
2015/12/24,-0.00878009
2015/12/28,-0.00907009
2015/12/29,-0.00784008
2015/12/30,-0.00723007
2015/12/31,-0.00724007
2016/01/04,-0.00919009
2016/01/05,-0.00716007
2016/01/06,-0.00701007
2016/01/07,-0.00804008
2016/01/08,-0.00797008
2016/01/11,-0.00919009
2016/01/12,-0.00884009
2016/01/13,-0.01121011
2016/01/14,-0.01382014
2016/01/15,-0.01934019
2016/01/19,-0.0195602
2016/01/20,-0.02837028
2016/01/21,-0.02439024
2016/01/22,-0.01814018
2016/01/25,-0.01710017
2016/01/26,-0.01501015
2016/01/27,-0.01320013
2016/01/28,-0.01143011
2016/01/29,-0.0096601
2016/02/01,-0.0099801
2016/02/02,-0.01344013
2016/02/03,-0.01428014
2016/02/04,-0.01439014
2016/02/05,-0.01681017
2016/02/16,-0.02370024
2016/02/17,-0.01669017
2016/02/18,-0.01404014
2016/02/19,-0.01547015
2016/02/22,-0.01111011
2016/02/23,-0.01115011
2016/02/24,-0.01314013
2016/02/25,-0.00756008
2016/02/26,-0.00214002
2016/03/01,0.00558006
2016/03/02,0.00889009
2016/03/03,0.00875009
2016/03/04,0.01097011
2016/03/07,0.0103501
2016/03/08,0.00857009
2016/03/09,0.00775008
2016/03/10,0.00865009
2016/03/11,0.01558016
2016/03/14,0.01528015
2016/03/15,0.01287013
2016/03/16,0.01141011
2016/03/17,0.01637016
2016/03/18,0.0199102
2016/03/21,0.0196702
2016/03/22,0.01713017
2016/03/23,0.01528015
2016/03/24,0.00911009
2016/03/28,0.00754008
2016/03/29,0.00368004
2016/03/30,0.00604006
2016/03/31,0.00691007
2016/04/01,0.00640006
2016/04/06,0.00935009
2016/04/07,0.00638006
2016/04/08,0.00941009
2016/04/11,0.0096601
2016/04/12,0.01292013
2016/04/13,0.01827018
2016/04/14,0.02125021
2016/04/15,0.01850019
2016/04/18,0.01894019
2016/04/19,0.02379024
2016/04/20,0.02716027
2016/04/21,0.02675027
2016/04/22,0.02579026
2016/04/25,0.02451025
2016/04/26,0.02650027
2016/04/27,0.02885029
2016/04/28,0.03257033
2016/04/29,0.03133031
2016/05/03,0.02631026
2016/05/04,0.02516025
2016/05/05,0.02463025
2016/05/06,0.02173022
2016/05/09,0.02117021
2016/05/10,0.02443024
2016/05/11,0.02797028
2016/05/12,0.02780028
2016/05/13,0.02705027
2016/05/16,0.0298703
2016/05/17,0.0299903
2016/05/18,0.0303403
2016/05/19,0.02540025
2016/05/20,0.02874029
2016/05/23,0.02806028
2016/05/24,0.03118031
2016/05/25,0.03338033
2016/05/26,0.03240032
2016/05/27,0.03185032
2016/05/31,0.03331033
2016/06/01,0.03071031
2016/06/02,0.03117031
2016/06/03,0.03137031
2016/06/06,0.03383034
2016/06/07,0.03610036
2016/06/08,0.03820038
2016/06/13,0.03301033
2016/06/14,0.02591026
2016/06/15,0.02857029
2016/06/16,0.02276023
2016/06/17,0.02716027
2016/06/20,0.03319033
2016/06/21,0.03232032
2016/06/22,0.03408034
2016/06/23,0.03781038
2016/06/24,0.03104031
2016/06/27,0.02340023
