date,value
1995/10/21,0.0
1995/10/23,0.0007
1995/10/24,0.00081
1995/10/26,0.00104
1995/10/27,0.00119
1995/10/28,0.00134
1995/10/30,0.00159
1995/11/02,0.00203
1995/11/03,0.00229
1995/11/04,0.00248
1995/11/06,0.0028
1995/11/07,0.00296
1995/11/08,0.00312
1995/11/09,0.00328
1995/11/10,0.00346
1995/11/11,0.00362
1995/11/14,0.00407
1995/11/15,0.00424
1995/11/16,0.00439
1995/11/17,0.00458
1995/11/18,0.00473
1995/11/20,0.00503
1995/11/21,0.0052
1995/11/22,0.00535
1995/11/23,0.00545
1995/11/24,0.00562
1995/11/25,0.00578
1995/11/27,0.0061
1995/11/28,0.00625
1995/11/29,0.00641
1995/11/30,0.00657
1995/12/01,0.00678
1995/12/04,0.00726
1995/12/05,0.00742
1995/12/06,0.00758
1995/12/07,0.00774
1995/12/08,0.00791
1995/12/09,0.00807
1995/12/11,0.0084
1995/12/12,0.00856
1995/12/13,0.00872
1995/12/14,0.00889
1995/12/15,0.00906
1995/12/16,0.00921
1995/12/18,0.00953
1995/12/19,0.0097
1995/12/20,0.00986
1995/12/21,0.01002
1995/12/22,0.01018
1995/12/23,0.01034
1995/12/26,0.01083
1995/12/27,0.01099
1995/12/28,0.01115
1995/12/29,0.01137
1995/12/30,0.01152
1996/01/04,0.0123
1996/01/05,0.01245
1996/01/06,0.01259
1996/01/08,0.01292
1996/01/09,0.01308
1996/01/10,0.01323
1996/01/11,0.01339
1996/01/12,0.01354
1996/01/13,0.01369
1996/01/15,0.01398
1996/01/16,0.01413
1996/01/17,0.01428
1996/01/18,0.01443
1996/01/19,0.01457
1996/01/20,0.01471
1996/01/22,0.01499
1996/01/23,0.01513
1996/01/24,0.01527
1996/01/25,0.01542
1996/01/26,0.01558
1996/01/27,0.01574
1996/01/29,0.01606
1996/01/30,0.01623
1996/01/31,0.01638
1996/02/01,0.01653
1996/02/02,0.01671
1996/02/03,0.01688
1996/02/05,0.01722
1996/02/06,0.0174
1996/02/07,0.01758
1996/02/08,0.01775
1996/02/09,0.01793
1996/02/10,0.0181
1996/02/12,0.01846
1996/02/13,0.01864
1996/02/14,0.01881
1996/02/15,0.019
1996/02/23,0.02039
1996/02/24,0.02057
1996/02/26,0.02091
1996/02/27,0.0211
1996/02/28,0.02127
1996/02/29,0.02146
1996/03/01,0.02164
1996/03/02,0.0218
1996/03/04,0.02211
1996/03/05,0.02227
1996/03/06,0.02243
1996/03/07,0.02258
1996/03/08,0.02275
1996/03/09,0.0229
1996/03/11,0.02321
1996/03/12,0.02337
1996/03/13,0.02353
1996/03/14,0.02369
1996/03/15,0.02386
1996/03/16,0.02403
1996/03/18,0.02439
1996/03/19,0.02456
1996/03/20,0.02475
1996/03/21,0.02492
1996/03/22,0.0251
1996/03/25,0.02562
1996/03/26,0.02579
1996/03/27,0.02595
1996/03/28,0.02612
1996/04/01,0.02681
1996/04/02,0.02699
1996/04/05,0.02749
1996/04/06,0.02765
1996/04/08,0.02798
1996/04/09,0.02815
1996/04/10,0.02833
1996/04/11,0.02849
1996/04/12,0.02867
1996/04/13,0.02884
1996/04/15,0.02918
1996/04/16,0.02934
1996/04/17,0.0295
1996/04/18,0.02967
1996/04/19,0.02985
1996/04/20,0.03003
1996/04/22,0.03036
1996/04/23,0.03052
1996/04/24,0.03069
1996/04/25,0.03085
1996/04/26,0.031
1996/04/27,0.03116
1996/04/29,0.03147
1996/04/30,0.03163
1996/05/01,0.03178
1996/05/02,0.03194
1996/05/03,0.03209
1996/05/04,0.03225
1996/05/06,0.03256
1996/05/07,0.03272
1996/05/08,0.03288
1996/05/09,0.03303
1996/05/10,0.03318
1996/05/11,0.03334
1996/05/13,0.03364
1996/05/14,0.03379
1996/05/15,0.03394
1996/05/16,0.03409
1996/05/17,0.03424
1996/05/18,0.03439
1996/05/20,0.0347
1996/05/21,0.03485
1996/05/22,0.035
1996/05/23,0.03515
1996/05/24,0.0353
1996/05/25,0.03545
1996/05/27,0.03574
1996/05/28,0.0359
1996/05/29,0.03605
1996/05/30,0.0362
1996/05/31,0.03634
1996/06/01,0.03649
1996/06/03,0.03678
1996/06/04,0.03693
1996/06/05,0.03708
1996/06/06,0.03724
1996/06/07,0.03739
1996/06/08,0.03753
1996/06/10,0.03782
1996/06/11,0.03797
1996/06/12,0.03812
1996/06/13,0.03827
1996/06/14,0.03841
1996/06/15,0.03856
1996/06/17,0.03893
1996/06/18,0.03908
1996/06/19,0.03922
1996/06/21,0.0395
1996/06/22,0.03964
1996/06/24,0.03993
1996/06/25,0.04006
1996/06/26,0.0402
1996/06/27,0.04034
1996/06/28,0.04044
1996/06/29,0.04058
1996/07/02,0.04102
1996/07/03,0.04118
1996/07/04,0.04133
1996/07/05,0.04148
1996/07/06,0.04164
1996/07/08,0.04196
1996/07/09,0.04212
1996/07/10,0.04228
1996/07/11,0.04244
1996/07/12,0.0426
1996/07/13,0.04275
1996/07/15,0.04307
1996/07/16,0.04323
1996/07/17,0.04339
1996/07/18,0.04356
1996/07/19,0.04371
1996/07/20,0.04387
1996/07/22,0.04419
1996/07/23,0.04435
1996/07/24,0.0445
1996/07/25,0.04466
1996/07/26,0.04482
1996/07/27,0.04497
1996/07/29,0.04528
1996/07/30,0.04544
1996/08/02,0.0459
1996/08/03,0.04605
1996/08/05,0.04638
1996/08/06,0.04654
1996/08/07,0.04671
