date,value
2003/10/13,0.0
2003/10/14,-0.00312006
2003/10/15,-0.00465009
2003/10/16,-0.0051801
2003/10/17,-0.00422008
2003/10/20,-0.00329007
2003/10/21,-0.00042001
2003/10/22,0.00202004
2003/10/23,-0.00132003
2003/10/24,-0.00065001
2003/10/27,-0.00136003
2003/10/28,0.00090002
2003/10/29,-0.00109002
2003/10/30,-0.00247005
2003/10/31,-0.00103002
2003/11/03,-0.00241005
2003/11/04,-0.00180004
2003/11/05,-0.00246005
2003/11/06,-0.0049901
2003/11/07,-0.00779016
2003/11/10,-0.00766015
2003/11/11,-0.00784016
2003/11/12,-0.00721014
2003/11/13,-0.0049301
2003/11/14,-0.00042001
2003/11/17,5e-05
2003/11/18,0.00062001
2003/11/19,-0.00074001
2003/11/20,-0.00059001
2003/11/21,-0.00031001
2003/11/24,-0.00022
2003/11/25,-0.00284006
2003/11/26,-0.00373007
2003/11/27,-0.00432009
2003/11/28,-0.00760015
2003/12/01,-0.00769015
2003/12/02,-0.00834017
2003/12/03,-0.00749015
2003/12/04,-0.00664013
2003/12/05,-0.00234005
2003/12/08,0.00117002
2003/12/09,-0.00172003
2003/12/10,-0.00192004
2003/12/11,-0.00057001
2003/12/12,0.00199004
2003/12/15,0.00183004
2003/12/16,0.00170003
2003/12/17,0.0049401
2003/12/18,0.00671013
2003/12/19,0.00939019
2003/12/22,0.0100402
2003/12/23,0.00812016
2003/12/24,0.00824016
2003/12/25,0.00904018
2003/12/26,0.01076022
2003/12/29,0.0099702
2003/12/30,0.00806016
2003/12/31,0.00815016
2004/01/02,0.00381008
2004/01/05,0.00541011
2004/01/06,0.00848017
2004/01/07,0.01151023
2004/01/08,0.01226025
2004/01/09,0.01878038
2004/01/12,0.0198404
2004/01/13,0.02157043
2004/01/14,0.02164043
2004/01/15,0.02098042
2004/01/16,0.02051041
2004/01/19,0.02085042
2004/01/20,0.01529031
2004/01/27,0.01556031
2004/01/28,0.01470029
2004/01/29,0.0099202
2004/01/30,0.01087022
2004/02/02,0.01063021
2004/02/03,0.0100002
2004/02/04,0.01077022
2004/02/05,0.00883018
2004/02/06,0.01145023
2004/02/09,0.01335027
2004/02/10,0.01334027
2004/02/11,0.01421028
2004/02/12,0.01588032
2004/02/13,0.01592032
2004/02/16,0.01643033
2004/02/17,0.01789036
2004/02/18,0.01727035
2004/02/19,0.01836037
2004/02/20,0.01738035
2004/02/23,0.01813036
2004/02/24,0.01952039
2004/02/25,0.0201604
2004/02/26,0.0202404
2004/02/27,0.02221044
2004/03/01,0.02244045
2004/03/02,0.02147043
2004/03/03,0.02072041
2004/03/04,0.02049041
2004/03/05,0.03058061
2004/03/08,0.03250065
2004/03/09,0.03330067
2004/03/10,0.03342067
2004/03/11,0.03314066
2004/03/12,0.03186064
2004/03/15,0.03239065
2004/03/16,0.03327067
2004/03/17,0.0349907
2004/03/18,0.03531071
2004/03/19,0.03359067
2004/03/22,0.03410068
2004/03/23,0.03564071
2004/03/24,0.03560071
2004/03/25,0.03527071
2004/03/26,0.03265065
2004/03/29,0.03210064
2004/03/30,0.03141063
2004/03/31,0.03232065
2004/04/01,0.03376068
2004/04/02,0.02170043
2004/04/05,0.0197504
2004/04/06,0.01919038
2004/04/07,0.02099042
2004/04/08,0.02105042
2004/04/09,0.02061041
2004/04/12,0.0200804
2004/04/13,0.01854037
2004/04/14,0.01612032
2004/04/15,0.01342027
2004/04/16,0.01451029
2004/04/19,0.01429029
2004/04/20,0.01241025
2004/04/21,0.01164023
2004/04/22,0.01119022
2004/04/23,0.01040021
2004/04/26,0.01076022
2004/04/27,0.01208024
2004/04/28,0.00961019
2004/04/29,0.00715014
2004/04/30,0.00653013
2004/05/03,0.00730015
2004/05/04,0.00538011
2004/05/05,0.00277006
2004/05/06,0.00017
2004/05/07,-0.0101302
2004/05/10,-0.01098022
2004/05/11,-0.00973019
2004/05/12,-0.00835017
2004/05/13,-0.0099602
2004/05/14,-0.00919018
2004/05/17,-0.00769015
2004/05/18,-0.00566011
2004/05/19,-0.00638013
2004/05/20,-0.00643013
2004/05/21,-0.00682014
2004/05/24,-0.00590012
2004/05/25,-0.0048501
2004/05/26,-0.00315006
2004/05/27,-3e-05
2004/05/28,0.00140003
2004/05/31,0.00147003
2004/06/01,-0.00052001
2004/06/02,-0.00302006
2004/06/03,-0.00338007
2004/06/04,-0.00565011
