date,value
1988/02/03,0.0
1988/02/04,0.0
1988/02/05,0.0
1988/02/08,0.002
1988/02/09,-0.001
1988/02/10,0.009
1988/02/11,0.018
1988/02/12,0.026
1988/02/15,0.026
1988/02/16,0.026
1988/02/17,0.026
1988/02/18,0.026
1988/02/19,0.026
1988/02/22,0.029
1988/02/23,0.038
1988/02/24,0.038
1988/02/25,0.033
1988/02/26,0.022
1988/02/29,0.055
1988/03/01,0.05
1988/03/02,0.035
1988/03/03,0.015
1988/03/04,0.004
1988/03/07,-0.002
1988/03/08,-0.018
1988/03/09,0.001
1988/03/10,0.008
1988/03/11,-0.002
1988/03/14,-0.001
1988/03/15,-0.015
1988/03/16,0.0
1988/03/17,0.012
1988/03/18,0.031
1988/03/21,0.051
1988/03/22,0.052
1988/03/23,0.035
1988/03/24,0.039
1988/03/25,0.024
1988/03/28,-0.004
1988/03/29,-0.004
1988/03/30,0.018
1988/03/31,0.021
1988/04/01,0.018
1988/04/04,0.018
1988/04/05,0.045
1988/04/06,0.049
1988/04/07,0.07
1988/04/08,0.076
1988/04/11,0.093
1988/04/12,0.079
1988/04/13,0.102
1988/04/14,0.111
1988/04/15,0.09
1988/04/18,0.135
1988/04/19,0.132
1988/04/20,0.113
1988/04/21,0.121
1988/04/22,0.111
1988/04/25,0.128
1988/04/26,0.153
1988/04/27,0.181
1988/04/28,0.187
1988/04/29,0.197
1988/05/02,0.23
1988/05/03,0.229
1988/05/04,0.234
1988/05/05,0.249
1988/05/06,0.271
1988/05/09,0.274
1988/05/10,0.268
1988/05/11,0.298
1988/05/12,0.301
1988/05/13,0.328
1988/05/16,0.367
1988/05/17,0.353
1988/05/18,0.322
1988/05/19,0.293
1988/05/20,0.277
1988/05/23,0.22
1988/05/24,0.227
1988/05/25,0.208
1988/05/26,0.229
1988/05/27,0.253
1988/05/30,0.261
1988/05/31,0.281
1988/06/01,0.308
1988/06/02,0.324
1988/06/03,0.322
1988/06/06,0.378
1988/06/07,0.382
1988/06/08,0.404
1988/06/09,0.434
1988/06/10,0.443
1988/06/13,0.423
1988/06/14,0.442
1988/06/15,0.472
1988/06/16,0.453
